state,key,svn,english,translation
UPDATED,bravenewsector_part2_harken_2,3077,Their exterior wear leads us to believe that they have been here for at least a century. This sector must have been one of mankind's first attempts to colonise outer-space.,"По износу корпуса можно судить, что они здесь как минимум столетие. Этот сектор, вероятно, был одной из первых попыток человечества колонизировать космос."
PREVIOUS,bravenewsector_part2_harken_2,3054,Their exterior wear leads us to believe that have been here for at least a century. This sector must have been one of mankind's first attempts to colonise outer-space.,"Их внешняя изношенность заставляет нас предположить, что они находятся здесь уже не менее века. Наверное, этот сектор был одной из первых попыток человечества колонизировать космическое пространство."
CURRENT,techtree_node_caption_metallurgyrepeatable,3054,Spend research credits to continually increase our smelting efficiency.,"Тратьте чипы данных, чтобы постоянно увеличивать эффективность нашей плавки."
CURRENT,mainmenu_gamemode_arena,3054,Arena,Арена
CURRENT,mainmenu_gamemode_arena_tooltip,3054,Create epic space battles between fleets of ships and watch the carnage unfold.,Создавайте эпические космические сражения между флотами кораблей и наблюдайте за разворачивающейся бойней.
CURRENT,mainmenu_arena_caption,3054,Create epic space battles between fleets of ships and watch the carnage unfold.,Создавайте эпические космические сражения между флотами кораблей и наблюдайте за разворачивающейся бойней.
CURRENT,settings_autosaves,3054,AUTOSAVES,СОХРАНЕНИЯ
CURRENT,settings_autosaveonftl,3054,Auto-save when leaving FTL,Автосохранение при выходе из гиперпрыжка
CURRENT,settings_autosaveontimeinterval,3054,Auto-save on time interval,Автосохранение по интервалу времени
CURRENT,settings_autosaveinterval,3054,Auto-save Interval,Интервал Автосохранения
CURRENT,settings_minutes_shortened,3054,Mins.,Мин.
CURRENT,newmainmenu_returntomainmenu,3054,RETURN TO MAIN MENU,ВЕРНУТЬСЯ В ГЛАВНОЕ МЕНЮ
CURRENT,newmainmenu_mainmenu,3054,MAIN MENU,ГЛАВНОЕ МЕНЮ
CURRENT,newmainmenu_showautosaves,3054,AUTOSAVES,АВТОСОХРАНЕНИЯ
CURRENT,newmainmenu_newgameoptions,3054,Game Options,Настройки Игры
CURRENT,newmainmenu_defensiveenemies,3054,Defensive Enemies,Мирные Враги
CURRENT,newmainmenu_defensiveenemiestooltip,3054,Hostile ships will only target you once you have targeted them first.,"Вражеские корабли будут атаковать вас только после того, как вы первыми выберете их целью."
CURRENT,newmainmenu_multisectorsim,3054,Multi-System Simulation,Мультисистемная Симуляция
CURRENT,newmainmenu_multisectorsimtooltip,3054,"Enables multi-system simulation, allowing you to split up your fleet among multiple systems/sectors simultaneously.","Включает мультисистемную симуляцию, позволяя разделить ваш флот между несколькими системами/секторами одновременно."
CURRENT,hud_shipmaximumoccupancy,3054,Ship Maximum Occupancy: *X/*Y,Максимальная Вместимость Корабля: *X/*Y
CURRENT,hud_surveyinprogress,3054,WARNING - SURVEY WILL BE CANCELLED,ВНИМАНИЕ - ИССЛЕДОВАНИЕ БУДЕТ ОТМЕНЕНО
CURRENT,hud_converttracktosplitter,3054,[RMB] Convert to splitter,[ПКМ] Преобразовать в разделитель
CURRENT,hud_convertsplittertotrack,3054,[RMB] Convert to track,[ПКМ] Преобразовать в конвейер
CURRENT,shipeditor_tooltip_painthull,3054,Toggle painting the exterior panels of the hull of your ship,Переключить окраску внешних панелей корпуса вашего корабля
CURRENT,shipeditor_tooltip_painthabitation,3054,Toggle painting the exterior panels of the habitation quarters of your ship,Переключить окраску внешних панелей жилых помещений вашего корабля
CURRENT,shipeditor_tooltip_paintscaffold,3054,Toggle painting the scaffolding on your ship,Переключить окраску каркасов на вашем корабле
CURRENT,shipeditor_tooltip_paintfloor,3054,Toggle painting the floor tiles of your ship,Переключить окраску напольных плиток вашего корабля
CURRENT,shipeditor_tooltip_paintwalls,3054,Toggle painting the base colour of the walls of your ship,Переключить окраску базового цвета стен вашего корабля
CURRENT,shipeditor_mode_paintstencils,3054,Repaint Walls,Перекрасить Стены
CURRENT,shipeditor_tooltip_paintstencils,3054,Change the colour of decals applied to the walls of your ship,"Измените цвет наклеек, нанесенных на стены вашего корабля"
CURRENT,shipeditor_mode_stencils,3054,Walls,Стены
CURRENT,shipeditor_tooltip_stencils,3054,Apply or remove decals on the walls of your ship,Примените или удалите наклейки на стенах вашего корабля
CURRENT,shipeditor_stencil,3054,DECALS,НАКЛЕЙКИ
CURRENT,shipeditor_stencils_paint,3054,Paints,Краски
CURRENT,shipeditor_stencils_stencil,3054,Decals,Наклейки
CURRENT,shipeditor_stencils_selectedpaint,3054,Selected Paint,Выбранная Краска
CURRENT,galaxymap_survivalexit,3054,Reach the STARGATE!,Доберитесь до ЗВЕЗДНЫХ ВРАТ!
CURRENT,galaxymap_sectornumber,3054,SECTOR *X,СЕКТОР *X
CURRENT,galaxymap_sectorgone,3054,LOST TO THE ANOMALY,ПОГЛОЩЕНО АНОМАЛИЕЙ
CURRENT,galaxymap_switchsector,3054,Switch Sector View,Переключить Вид Сектора
CURRENT,survey_type_derelict,3054,Derelict,Заброшенный объект
CURRENT,survey_type_asteroid,3054,Asteroid belt,Астероидный пояс
CURRENT,survey_type_nebula,3054,Nebula,Туманность
CURRENT,survey_type_storm,3054,Storm,Шторм
CURRENT,survey_type_colony,3054,Colony,Колония
CURRENT,survey_title,3054,UNSURVEYED *X,НЕИССЛЕДОВАННЫЙ *X
CURRENT,survey_captionnone,3054,No survey in progress,Исследование не ведется
CURRENT,survey_captionsingle,3054,Surveyed by *X,Исследуется *X
CURRENT,survey_captionmultiple,3054,*X layers surveying,*X слоев исследуют
CURRENT,survey_local_noequipment,3054,NO SUPERCOMPUTERS INSTALLED,НЕ УСТАНОВЛЕНЫ СУПЕРКОМПЬЮТЕРЫ
CURRENT,survey_sector_title,3054,SECTOR SCAN,СКАНИРОВАНИЕ СЕКТОРА
CURRENT,survey_sector_nothingtoscan,3054,REGION FULLY SCANNED,РЕГИОН ПОЛНОСТЬЮ ОТСКАНИРОВАН
CURRENT,survey_completed,3054,SURVEY COMPLETED,ИССЛЕДОВАНИЕ ЗАВЕРШЕНО
CURRENT,survey_local_award_caption,3054,*X *Y Unlocked,*X *Y Разблокировано
CURRENT,survey_sector_award_title,3054,SURVEY AVAILABLE,ИССЛЕДОВАНИЕ ДОСТУПНО
CURRENT,survey_sector_award_caption,3054,*X available to survey,*X доступно для исследования
CURRENT,survey_sector_caption,3054,*X scanning region,*X сканирует регион
CURRENT,powergrid_controls_title,3054,Power Grid Controls,Управление Энергией
CURRENT,powergrid_controls_increase,3054,[LMB] Increase,[ЛКМ] Увеличить
CURRENT,powergrid_controls_decrease,3054,[RMB] Decrease,[ПКМ] Уменьшить
CURRENT,powergrid_controls_shift,3054,[Shift] All,[Shift] Все
CURRENT,trade_sack,3054,SACK,УВОЛИТЬ
CURRENT,techtree_cannot_afford,3054,CANNOT AFFORD RESEARCH,НЕ ХВАТАЕТ НА ИССЛЕДОВАНИЕ
CURRENT,techtree_creditsrequired,3054,CREDITS REQUIRED: *X/*Y,ТРЕБУЕТСЯ ЧИПОВ: *X/*Y
CURRENT,techtree_availablecredits,3054,Available Credits: *X,Доступно Чипов: *X
CURRENT,techtree_spendcredits,3054,Accelerate Research (Cost: 1 Credit ),Ускорить Исследование (Стоимость: 1 Чип)
CURRENT,techtree_researchcredit_tooltip,3054,Perform sector scans to find derelict ships that contain research credits.,"Проводите сканирования сектора, чтобы найти заброшенные корабли, содержащие чипы данных."
CURRENT,researchcredit_hint,3054,Load into a Science Station for analysis,Загрузите в Научную Станцию для анализа
CURRENT,techtree_node_title_tiddletcrystals,3054,Synthetic Crystals,Синтетические Кристаллы
CURRENT,techtree_node_title_quantumprocessing,3054,Quantum Processing,Квантовая Обработка
CURRENT,techtree_node_caption_quantumprocessing,3054,Simulations predict that the new charged crystals allow the Stargate to jump ships to different galaxies. The Stargate's computer systems need to be upgraded to handle this.,"Симуляции предсказывают, что новые заряженные кристаллы позволяют Звездным Вратам перемещать корабли в разные галактики. Компьютерные системы Звездных Врат необходимо модернизировать для этого."
CURRENT,techtree_node_title_sectorsurvey,3054,Sector Surveying,Исследование Сектора
CURRENT,techtree_node_caption_sectorsurvey,3054,Unlock surveying the current sector for new systems nearby.,Открывает исследование текущего сектора для поиска новых систем поблизости.
CURRENT,techtree_node_title_advancedtracks,3054,Advanced Tracks,Продвинутые Конвейеры
CURRENT,techtree_node_caption_advancedtracks,3054,"Unlocks the ability to convert tracks into splitters, and vice versa. Splitters will evenly distribute items between their output directions.",Открывает возможность преобразовать конвейеры в разделители и наоборот. Разделители будут равномерно распределить предметы между выходными направлениями.
CURRENT,techtree_node_title_reactorefficiencyrepeatable,3054,Reactor Efficiency,Эффективность Реактора
CURRENT,techtree_node_caption_reactorefficiencyrepeatable,3054,Spend research credits to continually improve the efficiency of our reactors.,"Тратьте чипы данных, чтобы постоянно повышать эффективность наших реакторов."
CURRENT,techtree_node_title_dronespeedrepeatable,3054,Drone Speed,Скорость Дронов
CURRENT,techtree_node_caption_dronespeedrepeatable,3054,Spend research credits to continually increase the speed of our drones.,"Тратьте чипы данных, чтобы постоянно увеличивать скорость наших дронов."
CURRENT,techtree_node_title_hydroponicsrepeatable,3054,Hydroponics,Гидропоника
CURRENT,techtree_node_title_metallurgyrepeatable,3054,Metallurgy,Металлургия
CURRENT,techtree_node_title_robotarmspeedrepeatable,3054,Robot Arm Speed,Скорость Руки Робота
CURRENT,techtree_node_caption_robotarmspeedrepeatable,3054,Spend research credits to continually increase our robot arm speed.,"Тратьте чипы данных, чтобы постоянно увеличивать скорость наших рук робота."
CURRENT,special_sectorsurvey,3054,Sector Surveying,Исследование Сектора
CURRENT,special_tracksplitter,3054,Splitter Tracks,Конвейеры Разделителя
CURRENT,object_tracksplitter,3054,Splitter,Разделитель
CURRENT,object_laserinfuser,3054,Laser Infuser,Лазерный Инфузор
CURRENT,object_crystalinfuser_description,3054,"Laser infuser, infuses objects with energy. No tiddlets were harmed in the making of this equipment.","Лазерный инфузор, насыщает объекты энергией. Ни один тиддлет не пострадал при создании этого оборудования."
CURRENT,object_lightningrod,3054,Lightning Rod,Громоотвод
CURRENT,object_lightningrod_description,3054,"These are installed in the exterior wall of your ship, reducing the damaging effects of lightning and providing more control over where the lightning strikes. They cannot be repaired, but they will queue the installation of their replacement, when destroyed by lightning.","Они устанавливаются во внешнюю стену вашего корабля, уменьшая повреждающие эффекты молнии и обеспечивая больший контроль над тем, куда ударяет молния. Их нельзя отремонтировать, но они поставят в очередь установку своей замены, когда будут уничтожены молнией."
CURRENT,object_researchcredit,3054,Research Credit,Чип Данных
CURRENT,object_researchcredit_description,3054,This processor chip contains information that can be used to boost our current research or improve the efficiency of our equipment.,"Этот процессорный чип содержит данные, которые можно использовать для ускорения текущих исследований или повышения эффективности оборудования."
CURRENT,object_quantumwafercomponent,3054,Quantum Wafer,Квантовая Пластина
CURRENT,object_quantumprocessorcomponent,3054,Quantum Processor,Квантовый Процессор
CURRENT,object_emptycomputegridcomponent,3054,Empty Compute Grid,Пустая Вычислительная Сеть
CURRENT,object_quantumcomputegridcomponent,3054,Quantum Compute Grid,Квантовая Вычислительная Сеть
CURRENT,object_warpalignmentcomputer,3054,Warp Alignment Computer,Компьютер Выравнивания Искривления
CURRENT,object_emptycrystalcomponent,3054,Empty Crystal,Пустой Кристалл
CURRENT,object_chargedcrystal,3054,Charged Crystal,Заряженный Кристалл
CURRENT,loader_auto,3054,AUTO,АВТО
CURRENT,alert_type_abouttoautosave,3054,AUTOSAVE,АВТОСОХРАНЕНИЕ
CURRENT,alert_type_abouttoautosave_caption,3054,Autosaving in *X...,Сохранение через *X...
CURRENT,alert_type_emp,3054,EMP,ЭМИ
CURRENT,alert_type_emp_caption,3054,*X piece(s) disabled,*X устройств отключено
CURRENT,alert_type_emp_tooltip,3054,"Your ship has been struck by lightning, temporarily disabling some of your equipment.","Ваш корабль был поражен молнией, временно отключив часть вашего оборудования."
CURRENT,tutorial_radiation_title,3054,RADIATION,РАДИАЦИЯ
CURRENT,tutorial_radiationintro,3054,We are going to learn about radiation.,Мы собираемся узнать о радиации.
