alert_title | ALERTS | ОПОВЕЩЕНИЯ

alert_type_abouttoautosave | AUTOSAVE | АВТОСОХРАНЕНИЕ

alert_type_abouttoautosave_caption | Autosaving in *X... | Автосохранение в *X...

alert_type_autotradeinactive | AUTO-TRADE INACTIVE | АВТОТОРГОВЛЯ НЕАКТИВНА

alert_type_autotradeinactive_tooltip | One or more of your auto-orders have been made inactive. This may be because you owe a large payment to X. | Один или несколько ваших автозаказов стали неактивными. Это может быть связано с тем, что вы задолжали крупный платеж X.

alert_type_co2 | CO2 WARNING | ПРЕДУПРЕЖДЕНИЕ О СО2

alert_type_co2_caption | *X% Fatal | *X% Критический

alert_type_co2_tooltip | There is a dangerous build up of CO2 inside your ship. If it reaches 100%, your crew will suffocate. Consider buying a CO2 Scrubber and connecting it to a storage tank. | Внутри вашего корабля наблюдается опасное скопление CO2. Если оно достигнет 100%, ваш экипаж задохнется. Подумайте о покупке Скруббера CO2 и подключении его к Резервуару для хранения.

alert_type_crewoverworked | HIRE MORE CREW | НАНЯТЬ БОЛЬШЕ ЭКИПАЖА

alert_type_dead | DEATHS | УМЕРШИЕ

alert_type_dead_caption | *X dead | *X мертв

alert_type_dehydrated | CREW DEHYDRATED | ЭКИПАЖ ОБЕЗВОЖЕН

alert_type_emp | EMP | ЭМИ

alert_type_emp_caption | *X piece(s) disabled | *X элемент(ов) отключены

alert_type_emp_tooltip | Your ship has been struck by lightning, temporarily disabling some of your equipment. | В твой корабль ударила молния, временно выведя из строя часть оборудования.

alert_type_famished | CREW FAMISHED | ЭКИПАЖ СИЛЬНО ГОЛОДЕН

alert_type_heavydamage | HEAVY DAMAGE | СИЛЬНЫЙ УРОН

alert_type_heavydamage_caption | Damage *X% | Повреждения *X%

alert_type_hostileforces | HOSTILE CONTACT | ВРАЖДЕБНЫЙ КОНТАКТ

alert_type_hostileforces_caption | *X enemy ships | *X вражеских кораблей

alert_type_hostilesinbound | HOSTILES INBOUND | ВРАГИ ПРИБЛИЖАЮТСЯ

alert_type_hostilesinbound_caption | *X seconds | *X секунд

alert_type_hullbreach | HULL BREACH | ПРОБОИНА В КОРПУСЕ

