blackhole_character_julian | Dr. Julian Martinez | Доктор Джулиан Мартинес
blackhole_character_marcus | Marcus Martinez | Маркус Мартинес
blackhole_character_stargate | Andromeda Project LLC | ООО Проект Андромеда
blackhole_episode_title | Black Hole Sun | Солнце Черной Дыры
blackhole_objective_containers | Unload the Hyperspace Isotopes into Containers [*X/*Y]. *Z Containers used | Разгрузить Гиперпространственные изотопы в Контейнеры [*X/*Y]. Использовано *Z Контейнеров
blackhole_objective_isotopes | Collect Hyperspace Isotopes [*X/*Y] | Собрать Гиперпространственные изотопы [*X/*Y]
blackhole_objective_modulators | Manufacture Hyperspace Modulators [*X/*Y] | Производство Гиперпространственных модуляторов [*X/*Y]
blackhole_objective_returnisotopes | Deliver Hyperspace Isotope Containers [*X/*Y] | Доставить Контейнеры с Гиперпространственными изотопами [*X/*Y]
blackhole_objective_scoop | Acquire a Hyperspace Scoop | Приобрести Гиперпространственный совок
blackhole_objective_visitjulian | Travel to Black Hole Qz247 | Путешествие на Черную дыру Qz247
blackhole_part1_completion1 | Thank you, Captain. I now have what I need to modify this FTL drive for the Short Range Hop. | Спасибо, капитан. Теперь у меня есть все необходимое, чтобы модифицировать этот сверхсветовой привод для прыжка на короткую дистанцию.
blackhole_part1_completion2 | It's going to take me some time to prepare the calculations.  Leave things to me and I'll call you when we're ready for the next phase. | Мне потребуется некоторое время, чтобы подготовить расчеты.  Предоставьте все мне, и я вызову вас, когда мы будем готовы к следующему этапу.
blackhole_part1_hintisotopes1 | Looks like you have a Hyperspace Scoop!  You can use this to gather the Hyperspace Isotopes I need. | Похоже, у вас есть Гиперпространственный совок!  Вы можете использовать его, чтобы собрать нужные мне Гиперпространственные изотопы.
blackhole_part1_hintisotopes2 | You'll need to install the Scoop facing forward on the front of your ship, then connect its pipe output to a storage tank. | Вам нужно будет установить Гиперпространственный совок лицом вперед в передней части корабля, а затем подключить его выходную трубу к резервуару для хранения.
blackhole_part1_hintisotopes3 | The Scoop works only when you are in hyperspace. So you'll need to gather the isotopes over a few FTL jumps. | Гиперпространственный совок работает только тогда, когда вы находитесь в гиперпространстве. Поэтому вам придется собирать изотопы в течение нескольких сверхсветовых прыжков.
blackhole_part1_hintunloading1 | You've collected some Hyperspace Isotopes in a tank! You'll need to pump them into Containers so we can easily move them between ships. | Вы собрали Гиперпространственные изотопы в Резервуар! Вам нужно перекачать их в Контейнеры, чтобы мы могли легко перемещать их между кораблями.
blackhole_part1_hintunloading2 | Buy a LOADER from any trade post and install it near your Hyperspace Isotope tanks. Connect the pipes, and set the loader to 'UNLOAD'. | Купите Погрузчик в любом торговом пункте и установите его рядом с Резервуарами с Гиперпространственными изотопами. Подключите трубы и установите Погрузчик в режим 'РАЗГРУЗКА'.
blackhole_part1_hintunloading3 | You should also designate some storage space for the Isotope containers. | Вы также должны выделить место для хранения Контейнеров с изотопами.
blackhole_part1_intro1 | Greetings Captain. My name is Dr. Martinez and I'm reaching out to ask for your help. | Приветствую вас, капитан. Меня зовут доктор Мартинес, и я обращаюсь к вам за помощью.
