bravenewsector_part1_dophase6 | Complete Phase 6 of the Stargate Project | Завершите Фазу 6 Проекта Звездные Врата
bravenewsector_part1_findneubidium | Sample the new minerals | Возьмите образец новых минералов
bravenewsector_part1_findzeleon | Investigate the severe weather | Исследуйте суровую погоду
bravenewsector_part1_representative1 | Greetings Captain. What you've found could prove to be very useful to the Stargate project. | Приветствую, Капитан. То, что вы нашли, может оказаться очень полезным для проекта Звездные Врата.
bravenewsector_part1_representative2 | Since you've used our Stargate to reach the new sector, we believe it's only fair that you assist us with researching the uses of the new resources. | Поскольку вы использовали наши Звездные Врата, чтобы попасть в новый сектор, мы считаем справедливым, чтобы вы помогли нам исследовать применение новых ресурсов.
bravenewsector_part1_representative3 | Your co-operation has been paramount in the project's sucess so far, and it must continue until the project is complete. | Ваше сотрудничество было ключевым для успеха проекта до сих пор, и оно должно продолжаться до его завершения.
bravenewsector_part1_representative4 | Thank you, Captain. We will be in touch when you have completed your research. | Спасибо, Капитан. Мы свяжемся с вами, когда вы завершите свои исследования.
bravenewsector_part1_representative5 | Hello again, Captain. | Снова здравствуйте, капитан.
bravenewsector_part1_representative6 | The results of your research are very promising, and we'd like you to send us some refined samples of the new resources. | Результаты ваших исследований многообещающие, и мы хотели бы, чтобы вы отправили нам несколько обработанных образцов новых ресурсов.
bravenewsector_part1_representative7 | We expect a shipment of Neubidium ingots and the stabilised Zeleon gas. | Мы ожидаем поставки Нейбидиумных слитков и стабилизированного газа Зелеона.
bravenewsector_part1_representative8 | Thank you for your co-operation, Captain. | Спасибо за ваше сотрудничество, Капитан.
bravenewsector_part1_researchneubidium | Research Neubidium Processing | Исследуйте Обработку Нейбидиума
bravenewsector_part1_researchzeleon | Research Zeleon Gas | Исследуйте Газ Зелеона
bravenewsector_part1_title | Brave New Sector, Part 1 | Дивный Новый Сектор, Часть 1
bravenewsector_part1_x1 | Captain? Are you there? | Капитан? Вы на месте?
bravenewsector_part1_x2 | I can't believe it, the Stargate worked! This is my greatest project, my greatest achievement, perhaps my final one too. Maybe I'll have the chance to see the new sector for myself one day. | Не могу в это поверить — Звездные Врата сработали! Это мой величайший проект, возможно, и последнее достижение. Может быть, когда-нибудь у меня будет шанс сам увидеть новый сектор.
bravenewsector_part1_x3 | I believe this is only the beginning though, the Andromeda Project have made it clear they want to reach a new galaxy, not just a new sector. I'm sure they will be in contact soon about the next steps of the Stargate. | Однако это только начало, Проект Андромеда явно стремится достичь новой галактики, а не просто сектора. Я уверен, что они скоро свяжутся по поводу следующих шагов с Звездными Вратами.
bravenewsector_part1_x4 | Thank you Captain, for all your hard work. Goodbye for now. | Спасибо, Капитан, за всю вашу тяжелую работу. До свидания.
bravenewsector_part2_harken_1 | Captain, our sector scan has found new systems. They contain shipyards that are currently being operated by pirates. | Капитан, наше сканирование сектора обнаружило новые системы. Они содержат верфи, которые в настоящее время управляются пиратами.
bravenewsector_part2_harken_10 | That's all from me Captain, good luck. | Это все от меня, Капитан, удачи.
bravenewsector_part2_harken_2 | Their exterior wear leads us to believe that they have been here for at least a century. This sector must have been one of mankind's first attempts to colonise outer-space. | По износу корпуса можно судить, что они здесь как минимум столетие. Этот сектор, вероятно, был одной из первых попыток человечества колонизировать космос.
bravenewsector_part2_harken_3 | There are signs of a massive galactic war in this sector, with derelict ship signals appearing all across our sector map. | В секторе видны следы масштабной галактической войны, сигналы заброшенных кораблей появляются по всей карте.
bravenewsector_part2_harken_4 | The aftermath of the war resulted in pirates gaining control of the sector for themselves. They have since been living here, dormant, surviving from the resources harvested in local asteroid belts and nebulas. | Последствия войны позволили пиратам установить контроль над сектором. С тех пор они живут здесь в относительной изоляции, выживая за счет ресурсов из местных поясов астероидов и туманностей.
bravenewsector_part2_harken_6 | Destroying the fortresses would allow us to set up friendly shipyards and take back control of the sector from the pirates. | Уничтожение крепостей позволит нам создать дружественные верфи и вернуть контроль над сектором у пиратов.
bravenewsector_part2_harken_7 | Be prepared to be met with heavy resistance if you choose to visit them. I have added their positions to your sector map. | Будьте готовы к серьезному сопротивлению, если решите их посетить. Я отметил их позиции на вашей карте сектора.
bravenewsector_part2_harken_8 | There's a shuttle on the way to L*X with surveying equipment on-board. It will allow you to scan the area around your ship. | Челнок уже в пути к L*X с исследовательским оборудованием на борту. Он позволит вам сканировать область вокруг вашего корабля.
bravenewsector_part2_harken_9 | The forgotten battlefields of the sector may contain new research opportunities, I'd recommend that you explore any derelict ships you detect. | Забытые поля сражений могут содержать исследовательские возможности — рекомендую обследовать все заброшенные корабли, которые вы обнаружите.
bravenewsector_part2_receivecompute | Receive a Super Computer | Получите Суперкомпьютер
bravenewsector_part2_receivesensors | Receive LR Hyperspace Sensors [*X/*Y] | Получите Гиперпространственные Сенсоры LR [*X/*Y]
bravenewsector_part2_summary | Uncover the history of the new sector. | Раскройте историю нового сектора.
bravenewsector_part2_surveywarning | There's a shuttle on the way to L*X with surveying equipment on-board. The equipment can only be used in the new sector, so you'll need to send a ship through the Stargate to start surveying. | Челнок уже в пути к L*X с исследовательским оборудованием. Оборудование можно использовать только в новом секторе, поэтому вам нужно будет пройти через Звездные Врата, чтобы начать работу.
bravenewsector_part2_title | Brave New Sector, Part 2 | Дивный Новый Сектор, Часть 2
bravenewsector_part2_x1 | Hello again Captain, the Andromeda Project is very impressed with the samples you've sent them. They want your work on the Stargate to continue. | Снова здравствуйте, Капитан, Проект Андромеда очень впечатлен образцами, которые вы им отправили. Они хотят, чтобы ваша работа над Звездными Вратами продолжалась.
bravenewsector_part2_x3 | I must warn you, there are rumours that their plan is to take the Stargate fully under their control. They will charge anyone who wants to use it a fortune, preventing any competition and harvesting all the resources in the new galaxy for themselves. They will become more powerful than any entity we have seen before. | Я должен предупредить вас, ходят слухи, что их план - полностью взять Звездные Врата под свой контроль. Они будут взимать с любого, кто захочет их использовать, целое состояние, предотвращая любую конкуренцию и собирая все ресурсы в новой галактике для себя. Они станут более могущественными, чем любая сущность, которую мы видели раньше.
bravenewsector_part2_x4 | Please don't let that happen Captain. So much of my life and so many of my projects have been done purely for profit, I can't let this become one of them. As a safeguard against the Andromeda Project, I have installed a back-door that allows you to take control of the Stargate and any devices commanding it. | Пожалуйста, не дайте этому случиться, капитан. Большинство проектов в моей жизни было создано исключительно ради прибыли, я не могу позволить, чтобы этот стал одним из них. В качестве защиты от Проекта Андромеда я установил черный ход, который позволит вам взять под контроль Звездные врата и любые связанные устройства.
bravenewsector_part2_x5 | Please use it if they restrict the use of the Stargate for their own gain. | Пожалуйста, используй его, если они ограничат использование Звездных врат в своих корыстных целях.
bravenewsector_part2_x6 | Unfortunately, I've been given some bad news, and I won't be around for much longer. I would like to give you full ownership of the foundry as a thank you for helping me finish this final project. | К сожалению, мне сообщили плохие новости, и меня не будет намного дольше. Я хотел бы передать вам полное владение фабрикой в знак благодарности за помощь в завершении этого последнего проекта.
bravenewsector_part2_x7 | It seems we have completed it just in time. | Похоже, мы завершили его как раз вовремя.
bravenewsector_part2_x8 | This is our final call, Captain. I wish you the best of luck. Thank you again, and goodbye. | Это наш последний звонок, Капитан. Желаю вам удачи. Еще раз спасибо, и до свидания.
bravenewsector_part3_artemis_1a | Captain? Is that you? What are you doing here? It's so good to see you! | Капитан? Это вы? Что вы здесь делаете? Очень приятно вас видеть!
bravenewsector_part3_artemis_1b | Greetings Captain, the Andromeda Project have hired me to work on synthesising crystals produced by a creature I discovered. I've named them tiddlets. | Приветствую, Капитан, Проект Андромеда нанял меня для работы над синтезом кристаллов, производимых существом, которое я обнаружил. Я назвал их тиддлеты.
bravenewsector_part3_artemis_2a | The Andromeda Project have hired me to work on synthesising the tiddlet crystals that we discovered during our research, and I see they've sent you to provide me with the zeleon. | Проект Андромеда нанял меня для работы над синтезом кристаллов тиддлетов, которые мы обнаружили, и я вижу, что они направили вас, чтобы доставить мне зелеон.
bravenewsector_part3_artemis_2b | Upon death, a crystal is formed at the core of the tiddlet. My job is to find a way to produce these crystals without having to farm any tiddlets in the process. | После смерти в ядре тиддлета формируется кристалл. Моя задача - найти способ производить эти кристаллы, не выращивая при этом тиддлетов.
bravenewsector_part3_artemis_3a | I see you're looking after those tiddlets well! A lot has changed since the tiddlet farm explosion. They are a protected species now and harming them is strictly prohibited. | Вижу, вы хорошо заботитесь о тиддлетах! Многое изменилось с момента взрыва фермы. Теперь они находятся под охраной, и причинять им вред строго запрещено.
bravenewsector_part3_artemis_3b | The neubidium and zeleon you discovered could be key to my research. | Нейбидиум и зелеон, которые вы обнаружили, могут быть ключом к моим исследованиям.
bravenewsector_part3_artemis_4a | A lot has changed since the tiddlet farm explosion. They are a protected species now and harming them is strictly prohibited. | Многое изменилось с момента взрыва фермы тиддлетов. Теперь они охраняемый вид, и причинять им вред строго запрещено.
bravenewsector_part3_artemis_5a | One moment Captain, I've sent a shuttle to receive the resources from you. | Один момент, Капитан, я отправил челнок, чтобы получить ресурсы от вас.
bravenewsector_part3_artemis_5b | Unfortunately, it looks like you don't have the resources I need for my experiment, when you have the required amount come back and I'll retrieve them from you. | К сожалению, у вас пока нет нужных мне ресурсов. Когда соберете необходимое количество, вернитесь — я заберу их у вас.
bravenewsector_part3_artemis_6 | Great! That should be all the resources I need. I'll run the experiments and call you back when I'm done. | Отлично! Это должны быть все ресурсы, которые мне нужны. Я проведу эксперименты и свяжусь с вами, когда закончу.
bravenewsector_part3_artemis_7 | Speak to you soon, Captain! | Скоро поговорим, Капитан!
bravenewsector_part3_artemis_results_1 | Hello Captain! I have incredible results. Using a highly powered zeleon laser we can charge synthetic crystals made of Neubidium to achieve properties similar to that of the tiddlet crystals. | Здравствуйте, Капитан! У меня невероятные результаты. С помощью мощного зелеонового лазера мы можем заряжать синтетические кристаллы из Нейбидиума, чтобы приблизить их свойства к кристаллам тиддлетов.
bravenewsector_part3_artemis_results_3 | This is a fantastic breakthrough but I must warn you that the laser is incredibly radioactive, and will very quickly kill your crew if you don't correctly contain its radiation. | Это фантастический прорыв, но предупреждаю, что лазер чрезвычайно радиоактивен и быстро убьет экипаж, если не сдерживать его излучение должным образом.
bravenewsector_part3_artemis_results_4 | Come back to my system and I'll send you one of my lasers along with some radiation blockers to keep your crew safe. | Вернитесь в мою систему, и я отправлю вам один из моих лазеров вместе с блокаторами радиации, чтобы обезопасить ваш экипаж.
bravenewsector_part3_artemis_results_5 | The next step is to research how this all applies to the Stargate. My hypothesis is that we can use the crystal's energy-density properties to enable jumps much farther than the next sector. | Следующий шаг - исследовать, как все это применимо к Звездным Вратам. Моя гипотеза состоит в том, что мы можем использовать свойства энергетической плотности кристалла, чтобы обеспечить прыжки намного дальше, чем следующий сектор.
bravenewsector_part3_artemis_results_6 | Good luck with your research, Captain. | Удачи с вашими исследованиями, Капитан.
bravenewsector_part3_deliverneubidium | Deliver a sample of Neubidium Ingots [*X/*Y] | Доставьте образец Нейбидиумных Слитков [*X/*Y]
bravenewsector_part3_deliversample | Deliver the resources | Доставьте ресурсы
bravenewsector_part3_deliverzeleon | Deliver a sample of Shielded Zeleon [*X/*Y] | Доставьте образец Экранированного Зелеона [*X/*Y]
bravenewsector_part3_intro_rep1 | Hello again, Captain. Congratulations on completing the latest phase of the Stargate project! We are all very impressed by your commitment and dedication. | Снова здравствуйте, Капитан. Поздравляем с завершением последней фазы проекта Звездные Врата! Мы все очень впечатлены вашей приверженностью и преданностью.
bravenewsector_part3_intro_rep2 | The project has a new task for you. One of our scientists is investigating a new lifeform called tiddlets. | У проекта для вас новая задача. Один из наших ученых исследует новую форму жизни под названием тиддлеты.
bravenewsector_part3_intro_rep3 | Upon death, a crystal is formed at the core of the tiddlet. This crystal has extraordinary energy density, which is exactly what we need to increase the hyperspace range of the Stargate. | После смерти в ядре тиддлета формируется кристалл. Этот кристалл обладает необычайной энергетической плотностью, что именно то, что нам нужно для увеличения дальности гиперпространственных прыжков Звездных Врат.
bravenewsector_part3_intro_rep4 | The Andromeda Project would love to relentlessly farm these tiddlets, but due to recent accidents they have become a strictly protected species. The scientist you're going to visit is researching how to ethically produce their crystals. He believes the new sector's resources will be a breakthrough for his research. | Проект Андромеда, вероятно, стал бы эксплуатировать этих тиддлетов, но из-за недавних событий они теперь под строгой защитой. Ученый, которого вы посетите, изучает, как получать их кристаллы этично. Он считает, что ресурсы нового сектора станут прорывом для его исследований.
bravenewsector_part3_intro_rep5 | Visit him and provide him a sample of the zeleon. | Посетите его и предоставьте ему образец зелеона.
bravenewsector_part3_receiveblockers | Receive Radiation Blockers [*X/*Y] | Получите Блокаторы Радиации [*X/*Y]
bravenewsector_part3_receivecrystal | Receive an Empty Crystal | Получите Пустой Кристалл
bravenewsector_part3_receiveequipment | Receive new equipment from Artemis | Получите новое оборудование от Артемиса
bravenewsector_part3_receivelaser | Receive a Laser Infuser | Получите Лазерный Инфузор
bravenewsector_part3_receivezeleon | Receive Zeleon Energy Cell | Получите Энергетическую Ячейку Зелеона
bravenewsector_part3_summary | Assist the scientist with his research. | Помогите ученому с его исследованиями.
bravenewsector_part3_title | Brave New Sector, Part 3 | Дивный Новый Сектор, Часть 3
