calltoarms_harken_1 | Captain, I'm the chief of security for this sector, and I need your help. | Капитан, я начальник безопасности этого сектора, и мне нужна ваша помощь.
calltoarms_harken_2 | All across the sector, there are people in trouble who need our assistance. | По всему сектору есть люди в беде, которым нужна наша помощь.
calltoarms_harken_3 | I'm spread too thin. I can't be everywhere. You're more than capable, and I'll be there to offer advice when I can. | Я слишком перегружен. Не могу уследить за всем. Ваших способностей достаточно, и я буду рядом, чтобы дать совет, когда смогу.
calltoarms_harken_4 | If you chose to help, I've marked the locations on your map, as GOLD HIGHLIGHTS. | На случай, если вы решите помочь, я отметил местоположения на вашей карте ЗОЛОТЫМИ МАРКЕРАМИ.
calltoarms_harken_5 | Thank you, Captain. | Спасибо, Капитан.
calltoarms_harkenrailroad_1 | My name is Commander Harken, and I'm the Chief of Private Security for the sector. | Меня зовут Командир Харкен, и я Начальник Частной Безопасности сектора.
calltoarms_harkenrailroad_2 | There is a crisis underway, Captain.  Commercial vessels are going missing, all across the sector.  I suspect foul play, and I need your help to investigate. | Происходит кризис, Капитан.  Торговые суда пропадают по всему сектору.  Я подозреваю нечестную игру, и мне нужна ваша помощь для расследования.
calltoarms_harkenrailroad_3 | We've recieved reports of a shipwreck nearby. I believe it to be the wreckage of THE INTERSTELLAR PROSPECTOR - a large commercial vessel that went missing yesterday. | Мы получили сообщения о кораблекрушении поблизости. Я полагаю, что это обломки Межзвёздного Разведчика - большого торгового судна, пропавшего вчера.
calltoarms_harkenrailroad_4 | Travel to the shipwreck and look for a Black Box Flight Recorder in the wreckage.  This device will contain a log of their final moments. | Отправляйтесь к месту кораблекрушения и ищите Бортовой Самописец в обломках.  Это устройство будет содержать записи их последних моментов.
calltoarms_harkenrailroad_5 | To collect the flight recorder you'll need to install a DRONE BAY and at least one LOGISTICS DRONE. You can buy them from any Shipyard or Colony. | Чтобы собрать Бортовой Самописец, вам нужно установить ОТСЕК ДЛЯ ДРОНОВ и как минимум один ЛОГИСТИЧЕСКИЙ ДРОН. Вы можете купить их на любой Верфи или Колонии.
calltoarms_harkenrailroad_6 | I've marked the location of the shipwreck on your map as a Gold Highlight.  Good luck, Captain. | Я отметил местоположение кораблекрушения на вашей карте как Золотой Маркер.  Удачи, Капитан.
