debugbuildpanel_armour | Armour | Броня
debugbuildpanel_cable | Cable | Кабель
debugbuildpanel_damage | Damage | Повреждение
debugbuildpanel_entity | Entity | Объект
debugbuildpanel_equipment | Equipment | Оборудование
debugbuildpanel_floor | Floor | Пол
debugbuildpanel_frame | Frame | Рама
debugbuildpanel_habitation | Habitation | Каюты
debugbuildpanel_hull | Hull | Корпус
debugbuildpanel_interior | Interior | Интерьер
debugbuildpanel_pipe | Pipe | Трубы
debugbuildpanel_scaffold | Scaffold | Каркасы
debugbuildpanel_wall | Wall | Стена
