dialogeditor_back | Back | Назад
dialogeditor_background | BG img | BG img
dialogeditor_caption | Caption | Надпись
dialogeditor_component | Component | Компонент
dialogeditor_create | Create | Создать
dialogeditor_front | Front | Вперед
dialogeditor_grid | Grid | Сетка
dialogeditor_panel | Panel | Панель
dialogeditor_reloadlanguage | Reload Language | Перезагрузить язык
dialogeditor_select | Select | Выберите
dialogeditor_test | Test | Тест
dialogeditor_title | Dialog Editor | Редактор диалогов
dialogeditor_window | Window | Окно
