dsi_action_canceldeal | Cancel the deal with X | Отменить сделку с X
dsi_action_payx | Pay X (*X owed) | Заплатить X (долг: *X)
dsi_character_dogma | DOGMA Security | Охрана DOGMA
dsi_character_rep | Andromeda Project Representative | Представитель Проекта Андромеда
dsi_character_x | Alexander James Elistar | Александр Джеймс Элистар
dsi_character_y | Raymond Darnell | Рэймонд Дарнелл
dsi_funding_title | Funding Received | Получено Финансирование
dsi_objective_revenue | Total sales revenue: $*X | Общая выручка от продаж: $*X
dsi_part1_action_callx | Call X | Позвонить X
dsi_part1_action_deliverframes | Deliver 10 Stargate Frames | Доставить 10 Рам Звездных Врат
dsi_part1_advert1 | My name is Alexander James Elistar, and I'm the chairman and founder of A.J.E Industries.  I have a business proposition for you.  If you would be interested in setting up a production facility for me, I believe with some luck and a good deal of hard work we can both make substantial returns. | Меня зовут Александр Джеймс Элистар, и я председатель и основатель A.J.E Industries.  У меня есть деловое предложение для вас.  Если вы будете заинтересованы в создании производственного объекта для меня, я верю, что с некоторой удачей и хорошей работой мы оба сможем получить существенную прибыль.
dsi_part1_advert2 | Please give me a call to discuss the details. | Пожалуйста, позвоните мне, чтобы обсудить детали.
dsi_part1_call1 | Captain.  Perhaps you are already aware, but there are big plans underway within this sector.  There are designs to build something... incredible, a transportation system with near infinite range, requiring state of the art manufacturing and industry. | Капитан.  Возможно, вы уже знаете, но в этом секторе разрабатываются большие планы.  Есть проекты построить нечто... невероятное, транспортную систему с практически бесконечной дальностью, требующую современнейшего производства и промышленности.
dsi_part1_call2 | A stargate, big enough for our most massive fleets, shuttling humanity between galaxies as if they were nothing but neighbouring stars.  A new multi-galactic era for humanity. | Звездные Врата, достаточно большие для наших самых массивных флотов, перемещающие человечество между галактиками, как будто они не более чем соседние звезды.  Новая мультигалактическая эра для человечества.
dsi_part1_call3 | In all my years I've never known so much capital to be allocated to one project. | За все мои годы я никогда не видел, чтобы столько капитала выделялось на один проект.
dsi_part1_call4 | There is a golden opportunity here for us, but the barriers to entry are high.  I have the assets, the capital, and the facilities that we need to fulfil the Andromeda Project's massive ambitions. | Здесь для нас золотая возможность, но барьеры для входа высоки.  У меня есть активы, капитал и мощности, которые нам нужны для выполнения масштабных амбиций Проекта Андромеда.
dsi_part1_call5 | Sadly, my days of running the shop floor in person are long behind me.  I need a floor manager, somebody who will oversee the day to day operations for me.  And my years of experience have taught me to spot talent when I see it. | К сожалению, мои дни личного управления производством давно прошли.  Мне нужен начальник цеха, который будет контролировать повседневные операции.  Мои годы опыта научили меня распознавать талант, когда я его вижу.
dsi_part1_call6 | Here is my proposal.  I'll provide the factory station, and the seed capital so you are fully funded.  You'll set up the production facility for me, and oversee day to day operations, manufacturing parts for the Andromeda Project to their specifications. | Вот мое предложение.  Я предоставлю заводскую станцию и стартовый капитал, чтобы вы были полностью профинансированы.  Вы создадите производственный объект для меня и будете контролировать повседневные операции, производя детали для Проекта Андромеда по их спецификациям.
dsi_part1_call7 | We'll split the profits 50/50. | Мы разделим прибыль 50/50.
dsi_part1_call8 | And believe me when I say, there will be plenty to go around. | И поверьте, всем хватит.
dsi_part1_callfromrep1 | This is a message for A.J.E FOUNDRY.  We've received your samples and can report that they have passed comfortably within our engineering tolerances.  You are formally approved as licensed industry partners, and may now manufacture all items in our design manifest. | Это сообщение для A.J.E FOUNDRY.  Мы получили ваши образцы и можем сообщить, что они с запасом прошли наши инженерные допуски.  Вы официально утверждены как лицензированные промышленные партнеры и теперь можете производить все элементы из нашего проектного манифеста.
dsi_part1_callfromrep2 | Batches of completed parts may now be submitted to the Andromeda Project through the open Marketplace. You will find our buyers ready to release funds for any parts manufactured to specification. | Партии готовых деталей теперь могут быть отправлены в Проект Андромеда через Рынок. Вы обнаружите, что наши покупатели готовы выделить средства за любые детали, произведенные по спецификации.
dsi_part1_callfromrep3 | Thank you for your endeavours, and good luck. | Спасибо за ваши усилия, и удачи.
dsi_part1_debrief1 | Fantastic work, Captain.  I had high expectations, but the process was even more smooth than I hoped.  We've made ourselves known to the Andromeda Project now, but this is just the beginning. | Фантастическая работа, Капитан.  У меня были высокие ожидания, но процесс прошел даже более гладко, чем я надеялся.  Мы заявили о себе перед Проектом Андромеда, но это только начало.
