mission_accept | Accept | Принять
mission_accepted | Accepted | Принято
mission_acceptonlayer | Accept and assign to *X | Принять и назначить *X
mission_arenaprep_summary | Prepare your ship and crew for the upcoming battle!\nUnpausing the game will begin combat. | Подготовьте свой корабль и экипаж к предстоящей битве!\nВозобновление игры начнет бой.
mission_arenaprep_title | Prepare for battle! | Приготовьтесь к битве!
mission_arenaprep_useeditor | OPTIONAL: Use the ship editor to prepare | ОПЦИОНАЛЬНО: Используйте редактор кораблей для подготовки
mission_assignedto | (Assigned to *X) | (Назначено *X)
mission_assignedtolayer | Accepted and assigned to L*X | Принято и назначено L*X
mission_bypassed | BYPASSED | ПРОЙДЕНО
mission_cannotaccept | You cannot accept this mission | Вы не можете принять эту миссию
mission_cannotassigntolayer | Cannot assign to *X | Невозможно назначить *X
mission_collected | COLLECTED | СОБРАНО
mission_combat_accept | We have marked the location of the hostile forces on your map. Good hunting. | Мы отметили местоположение вражеских сил на вашей карте. Удачной охоты.
mission_combat_alldestroyed | All hostile forces have been destroyed. Total payment $*X. | Все вражеские силы уничтожены. Общая оплата $*X.
mission_combat_attacknow | You have located the hostile forces! Destroy them immediately. | Вы обнаружили вражеские силы! Уничтожьте их немедленно.
mission_combat_description1 | There is a small fleet of hostile ships operating illegally at a nearby star system in this sector. | В близлежащей звездной системе в этом секторе действует небольшой флот вражеских кораблей, работающих незаконно.
mission_combat_description2 | They have been harassing trade and humanitarian ships for too long. | Они слишком долго нападали на торговые и гуманитарные корабли.
mission_combat_description3 | Travel to the system, engage them in combat and destroy them. | Отправляйтесь в систему, вступите с ними в бой и уничтожьте их.
mission_combat_destroyed | You have destroyed *X hostiles out of *Y | Вы уничтожили *X врагов из *Y
mission_combat_failure | The remaining hostile forces have escaped. | Оставшиеся вражеские силы сбежали.
mission_combat_location | The hostile ships are located at system S*X. | Вражеские корабли находятся в системе S*X.
mission_combat_mines_description1 | Pirate forces have created a dangerous minefield in a busy shipping lane. | Пиратские силы создали опасное минное поле на оживленном торговом маршруте.
mission_combat_mines_description2 | Their aim appears to be to cripple any trade ships that come too close, then rob the stranded ships of valuable cargo. | Их цель, похоже, состоит в том, чтобы повредить любые торговые корабли, которые подойдут слишком близко, а затем ограбить застрявшие корабли от ценного груза.
mission_combat_mines_description3 | Travel to the system and destroy the minefield, before the pirate forces show up. | Отправляйтесь в систему и уничтожьте минное поле, прежде чем появятся пиратские силы.
mission_combat_mines_requirement | You will need a weapon system to destroy the mines from a distance. | Вам понадобится оружейная система для уничтожения мин на расстоянии.
mission_combat_objective | Locate and engage hostile forces | Обнаружить и атаковать вражеские силы
mission_combat_piratecount | Reports suggest there are *X ships in the hostile fleet, hiding out in star system *Y. | Сообщения указывают, что во вражеском флоте *X кораблей, скрывающихся в звездной системе *Y.
mission_combat_requirements | You will require an armed combat vessel to accept this mission. | Вам потребуется вооруженный боевой корабль для принятия этой миссии.
mission_combat_success | Destroyed *X/*Y Hostiles | Уничтожено *X/*Y Врагов
mission_combat_title_armouredthugs | Eradicate armoured thugs | Уничтожить бронированных головорезов
mission_combat_title_communityships | Attack and destroy hostile pirate gang | Атаковать и уничтожить вражескую пиратскую банду
mission_combat_title_mercenarystation | Destroy hostile mercenary weapons platform | Уничтожить вражескую наемную оружейную платформу
mission_combat_title_mines | Clear dangerous minefield | Очистить опасное минное поле
mission_combat_title_pirategang | Neutralise pirate gang | Нейтрализовать пиратскую банду
mission_combat_title_roguefighters | Attack and destroy rogue fighters | Атаковать и уничтожить мятежные истребители
mission_completed | COMPLETED | ЗАВЕРШЕНО
mission_contractcompleted | Contract Completed | Контракт Завершен
mission_courseplotted | COURSE PLOTTED | КУРС ПРОЛОЖЕН
mission_deliver | Deliver | Доставить
mission_delivered | DELIVERED | ДОСТАВЛЕНО
mission_delivery_alldelivered | All cargo has been supplied. Good luck. | Весь груз доставлен. Удачи.
mission_delivery_delivery | Supplied *X out of *Y items. | Доставлено *X из *Y предметов.
mission_delivery_description | I've got *X boxes of supplies that need delivering. | У меня есть *X ящиков припасов, которые нужно доставить.
mission_delivery_descriptionfurther | The destination is *Y Sector Jumps away, in Sector *X. | Место назначения находится в *Y Прыжках Между Секторами, в Секторе *X.
mission_delivery_destination | The destination is in this Sector, at Star System S*X. | Место назначения находится в этом Секторе, в Звездной Системе S*X.
mission_delivery_location | Travel to the delivery system | Отправиться в систему доставки
mission_delivery_lost | The remaining *X items of cargo are unaccounted for. | Оставшиеся *X предметов груза не учтены.
mission_delivery_outoftime | It is too late - you will no longer be paid for the remaining cargo. | Слишком поздно - вам больше не заплатят за оставшийся груз.
mission_delivery_received | Received *X out of *Y items. Total payment due $*Z. | Получено *X из *Y предметов. Общая причитающаяся оплата $*Z.
mission_delivery_shuttle | A shuttle is on route to you now with the supplies. | Челнок уже в пути к вам с припасами.
mission_delivery_success | Delivered *X out of *Y items | Доставлено *X из *Y предметов
mission_delivery_timed | These goods are required immediately. You'll have just *X minutes. (+50% pay) | Эти товары требуются немедленно. У вас будет всего *X минут. (+50% оплата)
mission_delivery_timeremaining | You have just *X seconds remaining to make the delivery! | У вас осталось всего *X секунд для совершения доставки!
mission_delivery_title | Courier mission: Deliver cargo to nearby system | Курьерская миссия: Доставить груз в близлежащую систему
mission_delivery_titlefurther | Deliver cargo to another sector | Доставить груз в другой сектор
mission_delivery_toolate | Received *X out of *Y items, but the time limit has now expired. | Получено *X из *Y предметов, но срок теперь истек.
mission_delivery_turnin | A shuttle is on its way to collect the cargo. | Челнок уже в пути для сбора груза.
mission_delivery_wrongdestination | Some of the cargo has been delivered to the wrong location. You will not be paid. | Часть груза была доставлена не в то место. Вам не заплатят.
mission_difficulty | This mission has been assigned a difficulty rating of *X. | Этой миссии присвоен рейтинг сложности *X.
mission_difficulty_short | DIFFICULTY *X | СЛОЖНОСТЬ *X
mission_episode_1 | EPISODE 1 | ЭПИЗОД 1
mission_failed | FAILED | ПРОВАЛЕНО
mission_flightready_description1 | All ships must pass basic flight ready certification before being allowed on operations. | Все корабли должны пройти базовую сертификацию готовности к полету, прежде чем им будет разрешено участвовать в операциях.
mission_flightready_description2 | A ship requires each of the following capabilities in order to be certified 'Flight Ready': | Корабль требует каждой из следующих возможностей для получения сертификата 'Готовность К Полету':
mission_flightready_engines | Engines capable of propulsion | Двигатели, способные к движению
mission_flightready_engines_help | Engines for propulsion.  Test fire your engines (From the TACTICAL view) to certify them. | Двигатели для движения.  Испытайте ваши двигатели (Из ТАКТИЧЕСКОГО режима), чтобы сертифицировать их.
mission_flightready_ftl | An FTL Drive capable of Hyperspace jumps | Гипердвигатель, способный совершать гиперпространственные прыжки
mission_flightready_ftljump | Jump to the marked destination | Прыгнуть к отмеченному месту назначения
mission_flightready_ftljump_help | An FTL Drive.  Test your new FTL engine by making a jump to the destination marked on the map. | Гипердвигатель.  Испытайте ваш новый Гипердвигатель, совершив прыжок к месту назначения, отмеченному на карте.
mission_flightready_lifesupport | Life support to make the interior habitable [*X%] | Система жизнеобеспечения, чтобы сделать интерьер пригодным для жизни [*X%]
mission_flightready_lifesupport_help | Life support to make the cabin breathable.  Use an Airduct to pressurise the cabin, connected to an Oxygen Loader to supply the air. | Система жизнеобеспечения, чтобы сделать каюту пригодной для дыхания.  Используйте Воздуховод для наполнения каюты давлением, подключенный к Погрузчику Кислорода для подачи воздуха.
mission_flightready_movement | Test the engines from the TACTICAL screen | Испытать двигатели на экране ТАКТИЧЕСКИЙ
mission_flightready_name | Flight Ready | Готовность К Полету
