nomadobjective_accepted1 | You will need to turn your ships into a long term self sufficient fleet. | Вам нужно будет превратить свои корабли в долгосрочный самодостаточный флот.
nomadobjective_accepted2 | Bring as many people with you as you can, and don't look back. | Заберите с собой как можно больше людей и не оглядывайтесь назад.
nomadobjective_award | NOMAD REWARD | НАГРАДА КОЧЕВНИКА
nomadobjective_current | You currently have *X residents within your fleet. | В настоящее время в вашем флоте *X жителей.
nomadobjective_description1 | It's possible we won't ever be able to stop the void collapse anomaly. | Возможно, нам никогда не удастся остановить аномалию коллапса пустоты.
nomadobjective_description2 | It may just keep expanding forever. There may be nowhere safe for us to stop. | Она может продолжать расширяться вечно. Возможно, нам не удастся найти безопасное место для остановки.
nomadobjective_description3 | In which case we need to get used to living on self sufficient ships, indefinitely. | В таком случае нам нужно привыкнуть жить на самодостаточных кораблях бесконечно долго.
nomadobjective_nextbonus | Next bonus when population reaches *X residents - $*Y. | Следующий бонус, когда население достигнет *X жителей - $*Y.
nomadobjective_success | *X fleet residents | *X жителей флота
nomadobjective_successbonus | Population has reached *X residents. Funding bonus $*Y. | Население достигло *X жителей. Финансовый бонус $*Y.
nomadobjective_title | SPECIAL MISSION: NOMAD | СПЕЦИАЛЬНАЯ МИССИЯ: КОЧЕВНИК
nomadobjective_total | Your highest population was *X residents within your fleet. | Наибольшая численность населения вашего флота составила *X жителей.
