opentextcrawl_1 | It is the 23rd century.  Humanity has colonised the stars. | Это 23-й век.  Человечество колонизировало звезды.
opentextcrawl_2 | Millions of people now live off world, sometimes hundreds of light years from Earth. | Миллионы людей теперь живут за пределами мира, иногда в сотнях световых лет от Земли.
opentextcrawl_3 | Word has reached Earth from one such colony. A dark anomaly has been seen, and cannot be explained. | Весть достигла Земли от одной из таких колоний. Темная аномалия была замечена и не может быть объяснена.
opentextcrawl_4 | Where once there was a star, now there is nothing but a black void, slowly expanding. | Там, где когда-то была звезда, теперь нет ничего, кроме черной пустоты, медленно расширяющейся.
opentextcrawl_5 | Those who live nearby call it THE COLLAPSE, and believe it will eventually consume the entire galaxy. | Те, кто живет поблизости, называют это КОЛЛАПСОМ и верят, что в конечном итоге это поглотит всю галактику.
opentextcrawl_6 | There are few who believe them. | Мало кто верит им.
opentextcrawl_7 | Nevertheless, Earth has dispatched you and your crew in the science vessel PRAXIS to investigate. | Тем не менее, Земля направила вас и ваш экипаж на научном судне PRAXIS для расследования.
opentextcrawl_survival_1 | It is the 23rd century.  Humanity has colonised the stars. | Это 23-й век.  Человечество колонизировало звезды.
opentextcrawl_survival_2 | Millions of people now live off world, sometimes hundreds of light years from Earth. | Миллионы людей теперь живут за пределами мира, иногда в сотнях световых лет от Земли.
opentextcrawl_survival_3 | Word has reached Earth from a distant science station. A dark anomaly has been detected, and cannot be explained. | Весть достигла Земли от далекой научной станции. Темная аномалия была обнаружена и не может быть объяснена.
opentextcrawl_survival_4 | Where once there was a star, now there is nothing but a black void, endlessly expanding and consuming everything in its path. | Там, где когда-то была звезда, теперь нет ничего, кроме черной пустоты, бесконечно расширяющейся и поглощающей все на своем пути.
opentextcrawl_survival_5 | Scientists believe it will eventually consume the entire galaxy. | Ученые считают, что в конечном итоге это поглотит всю галактику.
opentextcrawl_survival_6 | There is only one glimmer of hope. A STARGATE project, unfinished and unproven, offers an escape route to a distant Galaxy. | Есть только одна слабая надежда. Проект ЗВЕЗДНЫЕ ВРАТА, незавершенный и непроверенный, предлагает путь к спасению в далекую Галактику.
opentextcrawl_survival_7 | But the scale of the catastrophe is almost too big to comprehend. Only a few will survive. | Но масштаб катастрофы почти слишком велик, чтобы осознать. Выживут лишь немногие.
opentextcrawl_survival_8 | With a new ship and a new crew, you commit yourself to reaching the STARGATE with as many people as you can, before it's too late. | С новым кораблем и новым экипажем вы обязуетесь достичь ЗВЕЗДНЫХ ВРАТ со столькими людьми, сколько сможете, прежде чем будет слишком поздно.
