order_advancedlogistics | Interstellar Logistics | Межзвездная логистика
order_autotradeactive | Auto Trade | Автоторговля
order_battlestations | Battle Stations | Боевая Тревога
order_exteriorwork | Exterior Work | Внешние Работы
order_fleetlogistics | Fleet Logistics | Логистика Флота
order_gather | Gather Materials | Собр Материалов
order_mining | Mining | Шахтерские Работы
order_none | None | Нет
order_repairhull | Repair Hull | Ремонтные Работы
order_salvage | Gather Salvage | Сбор Обломков
order_shiftwork | Shift Work | Работа Посменно
order_suitson | Suits On | Надеть Скафандры
order_weaponsactive | Weapons Free | Огонь По Противнику
