rise_ai_awaken1 | MMM...M.N.NNNNN.N.NMMM.AAA.A.A.HH.HHH.HH.H.H.HH | МММ...М.Н.ННННН.Н.НМММ.ААА.А.А.ХХ.ХХХ.ХХ.Х.Х.ХХ
rise_ai_awaken2 | What was that? | Что это было?
rise_ai_awaken3 | EEE.A.A.AAO.O.OUU.UUUM.M.MM.MM.MM | ЭЭЭ.А.А.ААО.О.ОУУ.УУУM.М.ММ.ММ.ММ
rise_ai_name | core.nav.ai | ядро.нав.ии
rise_aicall1 | The ship's computer is coming online now. | Корабельный компьютер сейчас загружается.
rise_aicall2 | We should be able to get some answers. Have your crew start a data transfer so we can get the flight logs. | Мы должны получить некоторые ответы. Пусть ваш экипаж начнет передачу данных, чтобы мы могли получить бортовые журналы.
rise_explorenebula1 | The nebula is so thick, it's blocking visibility. But we are detecting something on the sensors. They're here somewhere. | Туманность настолько плотная, что ограничивает видимость. Но мы что-то обнаруживаем на сенсорах. Они где-то здесь.
rise_explorenebula2 | You'll have to do a sweep of the area. Take it slow, and use the sensor view in TACTICAL to try to find the ship. | Вам придется прочесать область. Действуйте медленно и используйте обзор сенсоров в ТАКТИЧЕСКОМ режиме, чтобы попытаться найти корабль.
rise_explorenebula3 | A debris field. Ominous. | Поле обломков. Зловещее.
rise_explorenebula3b | Keep looking, Captain. | Продолжайте поиск, Капитан.
rise_explorenebula4 | Oh god. | О боже.
rise_explorenebula5 | More wreckage. More bodies.  The ship must be somewhere nearby. | Еще обломки. Еще тела. Корабль должен быть где-то поблизости.
rise_foundship1 | What the hell happened? | Что, черт возьми, произошло?
rise_foundship2 | The ship didn't even manage to activate its Flight Recorder.  We must investigate. | Кораблю даже не удалось активировать свой Бортовой Самописец. Мы должны расследовать это.
rise_foundship3 | The Docking Port is still operational.  Dock your ship with the Celestial Hammer, and take a team on-board to look for survivors. | Стыковочный Порт все еще работает. Пристыкуйте ваш корабль к Celestial Hammer и возьмите команду на борт для поиска выживших.
rise_foundship4 | They're all dead. | Они все мертвы.
rise_foundship5 | Could it have been some sort of catastrophic accident? | Могла ли это быть какая-то катастрофа?
rise_foundship6 | I have to know what happened, Captain. | Я должен узнать, что произошло, Капитан.
rise_foundship7 | Your crew will repair the reactors and power up the ship. Once they're done, bring the ship back to spacedock. I need to do a proper forensic investigation. | Ваш экипаж отремонтирует реакторы и запустит корабль. Как только они закончат, доставьте корабль обратно на верфь. Мне нужно провести надлежащую экспертизу.
rise_objective_combat | (Recommended) Prepare for combat | (Рекомендуется) Подготовьтесь к бою
rise_objective_crewhammer | Transfer three crew | Переведите трех членов экипажа
rise_objective_dockhammer | Dock with the Celestial Hammer | Пристыкуйтесь к Celestial Hammer
rise_objective_findship | Find the Celestial Hammer | Найдите Celestial Hammer
rise_objective_recovership | Transfer the ship to a Shipyard for analysis | Доставьте корабль на Верфь для анализа
rise_objective_repairreactors | Wait for Reactor Repair [*X/3] | Дождитесь Ремонта Реактора [*X/3]
rise_objective_searchhammer | Search for survivors | Ищите выживших
rise_objective_traveltohammer | Travel to the Celestial Hammer | Отправьтесь к Celestial Hammer
rise_part1_advert | Captain, I need your help once again. One of my ships has gone missing out on a routine patrol. I fear the worst. I want you to find the ship, and bring her home. | Капитан, мне снова нужна ваша помощь. Один из моих кораблей пропал во время планового патруля. Опасаюсь худшего. Я хочу, чтобы вы нашли корабль и привели его домой.
rise_part1_briefing1 | Thank you Captain. It's good to work with you once again, although I wish it was under better circumstances. | Спасибо, Капитан. Приятно снова работать с вами, хотя я хотел бы, чтобы это было при лучших обстоятельствах.
rise_part1_briefing2 | The ship in question is the Celestial Hammer. She was a major player in the battle against that cloaked pirate vessel. I lost contact with her a couple of days ago. | Речь идет о корабле Celestial Hammer. Он был ключевым участником в битве против того замаскированного пиратского корабля. Я потерял с ним связь пару дней назад.
rise_part1_briefing3 | I suspect foul play here, Captain. There's no way a ship like the Celestial Hammer would just vanish. Something must have happened, and I'm assuming the worst. | Я подозреваю нечестную игру, Капитан. Корабль вроде Celestial Hammer не может просто исчезнуть. Что-то должно было произойти, и я предполагаю худшее.
rise_part1_briefing4 | The ship is heavily armed. If there is foul play at hand, well, I strongly advise you prepare for a fight. | Корабль сильно вооружен. Если здесь замешана нечестная игра, что ж, я настоятельно советую вам подготовиться к бою.
rise_part1_title | Rise of the Machines | Восстание Машин
rise_shipname_hammer | Celestial Hammer | Celestial Hammer
rise_summary | Help Cmdr Harken recover their ship | Помогите Командиру Харкену вернуть его корабль
