save_cloudsavefailed_body | The game failed to save to the cloud, the game has been saved locally instead.\n\nPlease check that you have enough storage in the Steam Cloud and try again. | Не удалось сохранить игру в облаке, вместо этого она была сохранена локально.\n\nПожалуйста, проверь, достаточно ли у тебя места в облаке Steam, и попробуй еще раз.
save_cloudsavefailed_header | WARNING: Cloud Save Failed | ПРЕДУПРЕЖДЕНИЕ: Облачное сохранение не удалось
save_demofullgame_load_body | The demo of The Last Starship can only load save games saved with the Demo. | Демоверсия The Last Starship может загружать только сохранения, сохраненные в демоверсии.
save_demofullgame_load_header | Full Game Only | Только полная версия игры
save_episodewarning_body | Due to incompatible changes in this version, your progress in active episodes will be reset. | Из-за несовместимых изменений в этой версии ваш прогресс в активных эпизодах будет сброшен.
save_episodewarning_header | WARNING: Episode Progress | ПРЕДУПРЕЖДЕНИЕ: Прогресс эпизода
save_stargateresetwarning_body | Due to new phases or storylines surrounding the stargate, your stargate progress has been reset. | Из-за новых этапов или сюжетных линий, связанных со звездными вратами, твой прогресс в звездных вратах был сброшен.
save_stargateresetwarning_header | WARNING: Stargate Progress | ПРЕДУПРЕЖДЕНИЕ: Прогресс Звездных Врат
save_warning_body | You have loaded a game with a future save format, you may experience that some parts of the game do not work correctly | Вы загрузили игру с будущим форматом сохранения, некоторые части игры могут работать некорректно
save_warning_header | WARNING: Loading future save version | ПРЕДУПРЕЖДЕНИЕ: Загрузка будущей версии сохранения
