shipeditor_brush_box | BOX TOOL | КВАДРАТ
shipeditor_brush_freehand | FREEHAND | КИСТЬ
shipeditor_brush_oval | OVAL TOOL | КРУГ
shipeditor_commit | CONFIRM | ПОДТВЕРДИТЬ
shipeditor_draw | DRAW | РИСОВАТЬ
shipeditor_equipment_autobuy | Enable Auto Buy | Включить Автопокупку
shipeditor_equipment_autobuyconfirm | Confirm Auto Buy Changes | Подтвердить Изменения Автопокупки
shipeditor_equipment_autobuyenable | Auto Buy *X | Автопокупка *X
shipeditor_equipment_available | Trading Post has *X available | Торговый Пост имеет *X в наличии
shipeditor_equipment_expected | You will be missing *X when ongoing deliveries/logistics complete | Вам будет не хватать *X, когда текущие поставки/логистика завершатся
shipeditor_equipment_expectedcost | Expected Future Cost: *X | Ожидаемая Будущая Стоимость: *X
shipeditor_equipment_immediatecost | Immediate Cost: *X | Немедленная Стоимость: *X
shipeditor_equipment_incoming | You have *X incoming | У вас *X входящих
shipeditor_equipment_manualbuy | Buy All Available | Купить Все Доступное
shipeditor_equipment_missing | You require *X | Вам требуется *X
shipeditor_equipment_outgoing | You have *X outgoing | У вас *X исходящих
shipeditor_equipment_title | Missing Equipment | Отсутствующее Оборудование
shipeditor_equipment_totalcost | Total Cost | Общая Стоимость
shipeditor_erase | ERASE | СТЕРЕТЬ
shipeditor_mode_armour | Armour | Броня
shipeditor_mode_createship | Create Ship | Создать Корабль
shipeditor_mode_deconstruct | Destroy | Разрушить
shipeditor_mode_dock | Dock | Стыковка
shipeditor_mode_equipment | Equipment | Оборудование
shipeditor_mode_eyedropper | Eyedropper | Пипетка
shipeditor_mode_habitation | Habitation | Каюты
shipeditor_mode_hull | Hull | Корпус
shipeditor_mode_interior | Floors | Полы
shipeditor_mode_paintstencils | Repaint Walls | Перекрасить Стены
shipeditor_mode_scaffold | Scaffold | Каркас
shipeditor_mode_spawn | Spawn | Объекты
shipeditor_mode_stencils | Walls | Стены
shipeditor_mode_walls | Walls | Стены
shipeditor_paint | PAINT | КРАСИТЬ
shipeditor_paint_custom | Custom Paint | Пользовательская Краска
shipeditor_paint_detailprimary | Detail Primary | Детали Первичные
shipeditor_paint_detailsecondary | Detail Secondary | Детали Вторичные
shipeditor_paint_detailtertiary | Detail Tertiary | Детали Третичные
