thefinalstand_ai_name | ANDROMEDA SHIP CONTROL | УПРАВЛЕНИЕ КОРАБЛЕМ АНДРОМЕДА
thefinalstand_andromedaflagship_name | ANDROMEDA FLAGSHIP | ФЛАГМАН АНДРОМЕДЫ
thefinalstand_andromedahq_name | ANDROMEDA HQ | ШТАБ-КВАРТИРА АНДРОМЕДЫ
thefinalstand_artemis1 | Hello again Captain! | И снова здравствуй, капитан!
thefinalstand_artemis2 | After some careful analysis of the Stargate's blueprints, I have found the backdoor that the late Alexander James Elistar has left you. | После тщательного анализа чертежей Звездных врат я обнаружил тот черный ход, который оставил вам покойный Александр Джеймс Элистар.
thefinalstand_artemis3 | You will use this backdoor to upload a small virus that I have written to their command centre within the HQ. It will disable the station's offensive capabilities and place itself under your command. | Вы воспользуетесь этим черным ходом, чтобы загрузить в командный центр штаб-квартиры небольшой вирус, который я написал. Он отключит боевые системы станции и поставит ее под ваше управление.
thefinalstand_backdoor_action | Trigger Backdoor | Активировать черный ход
thefinalstand_battle_harken1 | Great work Captain! But my sensors are detecting a massive signature headi- | Отличная работа, капитан! Но мои сенсоры фиксируют массивный сигнатурный объект, направляющи-
thefinalstand_battle_rep1 | Commander Harken! I see that my first fleet has failed to deal with you. I suppose if I want something done properly I should do it myself. | Командир Харкен! Я вижу, что моя первая флотилия не справилась с вами. Полагаю, если я хочу, чтобы дело было сделано как следует, мне придется сделать это самому.
thefinalstand_battleintro_dogma1 | This is DOGMA Private Security force, we are en-route to the disturbance. ETA: imminent. | Это частная охранная служба DOGMA, мы выдвигаемся к месту происшествия. Время прибытия: скоро.
thefinalstand_battleintro_harken1 | There are multiple hostile signatures inbound on our position! You must get in close range of the HQ and upload the virus. I'll do my best to keep their ships off you. | К нашей позиции приближается множество враждебных сигнатур! Вы должны приблизиться к штабу и загрузить вирус. Я сделаю все возможное, чтобы их корабли не подходили к вам.
thefinalstand_battleintro_harken2 | They're about to arrive, hurry! | Они вот-вот прибудут, поторопись!
thefinalstand_battleintro_rep1 | I gave you a very clear warning, Captain. You could've had anything in the universe as our business partner. | Я дал вам очень ясное предупреждение, капитан. В качестве нашего делового партнера вы могли бы получить что угодно во Вселенной.
thefinalstand_battleintro_rep2 | Now you must be destroyed. | Теперь вы будете уничтожены.
thefinalstand_battleintro_rep3 | It was a pleasure working with you. | Было приятно работать с вами.
thefinalstand_battleoutro_harken1 | This is a message for Andromeda HQ. I am Commander Harken, Chief of Private Security for this sector, and I command you to stand down. | Это сообщение для штаба Андромеды. Я - командер Харкен, начальник частной охраны этого сектора, и приказываю вам отступить.
thefinalstand_battleoutro_harken2 | The Andromeda Navy in this sector has been destroyed, you are now blockaded, there is nothing left to fight for. | Флот Андромеды в этом секторе уничтожен, вы заблокированы, больше не за что сражаться.
thefinalstand_battleoutro_harken3 | It's over, Captain. The Andromeda HQ will be placed under the jurisdiction of the Intergalactic Security Council while I make the necessary arrests. The access codes for the Stargate are back under your control. | Все кончено, капитан. Штаб-квартира Андромеды будет передана под юрисдикцию Межгалактического совета безопасности, пока я произведу необходимые аресты. Коды доступа к Звездным вратам снова под вашим контролем.
thefinalstand_battleoutro_harken4 | The current leadership of the Andromeda Project will be dismantled and the new galaxy will be freed from their control. | Нынешнее руководство Проекта Андромеда будет ликвидировано, а новая галактика освобождена от их контроля.
thefinalstand_battleoutro_harken5 | You've proven that you can be trusted with control of the Stargate, so I'll leave it in your hands. | Вы доказали, что вам можно доверить контроль над Звездными вратами, поэтому я оставляю их в ваших руках.
thefinalstand_battleoutro_harken6 | Goodbye Captain, and good luck with your new place in the galaxy. | Прощайте, капитан, и удачи вам на новом месте в галактике.
thefinalstand_battleoutro_rep1 | I don't understand, how is that possible!? | Я не понимаю, как это возможно!?
thefinalstand_battleoutro_rep2 | Send all available power to railguns, set target to- | Направь всю доступную энергию на рельсотроны, установи цель на-
thefinalstand_battleoutro_ship1 | DANGER: POWER SYSTEMS DETERIORATING. POWER GRID OVERLOADED. | ОПАСНОСТЬ: УХУДШЕНИЕ СОСТОЯНИЯ ЭНЕРГОСИСТЕМ. ЭНЕРГОСИСТЕМЫ ПЕРЕГРУЖЕНЫ.
thefinalstand_battleoutro_ship2 | DANGER: GENERATOR STATUS CRITICAL. | ОПАСНОСТЬ: СОСТОЯНИЕ ГЕНЕРАТОРА КРИТИЧЕСКОЕ.
thefinalstand_battleprep_1 | Hello Captain, it's good to see you. These are all of the ships I control in this sector, the rest are on the other side of the Stargate, unable to reach us. | Здравствуйте, капитан, рад вас видеть. Это все корабли, которые я контролирую в этом секторе, остальные находятся по ту сторону Звездных врат и не могут до нас добраться.
thefinalstand_battleprep_2 | My officers have pin-pointed the position of their HQ. Upon arrival we expect to be met with heavy resistance from their private security forces. | Мои офицеры точно определили местоположение их штаба. По прибытии мы ожидаем сильного сопротивления со стороны их частных сил безопасности.
thefinalstand_battleprep_3 | I should be able to grab their attention away from your fleet while you get close and take control of the station. | Я смогу отвлечь их внимание от вашего флота, пока вы подберетесь ближе и возьмете станцию под контроль.
thefinalstand_battleprep_4 | Good luck Captain, I'll see you on the battlefield. | Удачи, капитан, увидимся на поле боя.
thefinalstand_boss_artemis1 | Captain, I can route a signal to their powergrid and overload their generators, tell me when to trigger it! | Капитан, я могу направить сигнал в их энергосистему и перегрузить генераторы, скажите, когда их активировать!
thefinalstand_boss_harken1 | I've lost both of my frigates Captain! I don't have enough firepower to win this! | Я потерял оба фрегата, капитан! У меня недостаточно огневой мощи, чтобы победить!
thefinalstand_boss_harken2 | This is the Andromeda Navy's flagship! You should have access to its command centre from the HQ! | Это флагман флота Андромеды! У вас должен быть доступ к его командному центру из штаб-квартиры!
thefinalstand_boss_overloadcaption | OVERLOAD GENERATOR | ГЕНЕРАТОР ПЕРЕГРУЗКИ
thefinalstand_call_action | Call Harken | Связаться Харкен
thefinalstand_end_objective_leave | Leave the HQ | Покинуть штаб-квартиру
thefinalstand_harken1 | Greetings Captain, I was worried you had taken their side in all of this. | Приветствую, капитан. Я опасался, что вы приняли их сторону во всем этом.
