tutorial_air_title | OXYGEN | КИСЛОРОД
tutorial_aircables | The AIRDUCT needs to be powered from the REACTOR.  Select CABLES from the CONSTRUCTION menu. | ВОЗДУХОВОД должен быть запитан от РЕАКТОРА.  Выберите КАБЕЛИ в меню КОНСТРУКЦИЯ.
tutorial_aircabletoreactor | Drag a power cable from the REACTOR to the AIRDUCT, connecting the red circles.\n\nPOWER CABLES are used to connect reactors to any equipment that needs power.\n\nPOWER CABLES are red and must connect red circles on equipment. | Перетащите кабель питания от РЕАКТОРА к ВОЗДУХОВОДУ, соединив красные круги.\n\nКАБЕЛИ ПИТАНИЯ используются для подключения реакторов к любому оборудованию, которому требуется питание.\n\nКАБЕЛИ ПИТАНИЯ красного цвета и должны соединять красные круги на оборудовании.
tutorial_airdone | The AIRDUCT is activated and is pressurising the cabin! The atmosphere will soon be breathable. | ВОЗДУХОВОД активирован и нагнетает давление в салон! Скоро атмосфера станет пригодной для дыхания.
tutorial_airinstallairduct | We now need to provide a breathable atmosphere for our crew. This is done with an AIRDUCT.\n\nInstall an AIRDUCT somewhere near the Reactor. | Теперь нам нужно обеспечить дыхательную атмосферу для нашего экипажа. Это можно сделать с помощью ВОЗДУХОВОДА.\n\nУстановите ВОЗДУХОВОД где-нибудь рядом с Реактором.
tutorial_airinstallairloader | The AIRDUCT needs OXYGEN, in the same way as the REACTOR needs FUEL. We can use an OXYGEN LOADER to provide OXYGEN.\n\nInstall an OXYGEN LOADER near the AIRDUCT. | ВОЗДУХОВОДУ нужен КИСЛОРОД, так же как и РЕАКТОРУ нужно Топливо. Мы можем использовать Погрузчик кислорода для обеспечения КИСЛОРОДОМ.\n\nУстановите Погрузчик кислорода рядом с ВОЗДУХОВОДОМ.
tutorial_airpipes | We need to connect the OXYGEN LOADER into the AIRDUCT using PIPES.\n\nSelect PIPES from the CONSTRUCTION menu. | Нам нужно соединить Погрузчик кислорода с ВОЗДУХОВОДОМ с помощью ТРУБ.\n\nВыберите ТРУБЫ из меню КОНСТРУКЦИЯ.
tutorial_airpipetoairduct | Drag a PIPE from the OXYGEN LOADER to the AIRDUCT, connecting the BLUE circles. | Перетащите трубу из Погрузчика кислорода в ВОЗДУХОВОД, соединив синие круги.
tutorial_battlestations_title | BATTLE STATIONS | БОЕВЫЕ СТАНЦИИ
tutorial_battlestationsactivate | BATTLE STATIONS must be activated before your weapons can be used.\n\nThis will tell your crew to prepare for battle! | БОЕВЫЕ СТАНЦИИ должны быть активированы до того, как вы сможете использовать оружие.\n\nЭто прикажет вашему экипажу приготовиться к бою!
tutorial_battlestationshighlightcrew | Your crew will run to the weapons to deploy them.\n\nGatling guns don't require any crew to deploy them. | Ваш экипаж будет бегать к оружию, чтобы развернуть его.\n\nПулеметы не требуют никакого экипажа для их развертывания.
tutorial_battlestationshighlightguns | The gun barrels will begin to extend when they arrive.\n\nWhen the barrels are fully extended they will be ready to fire! | Стволы пушек начнут выдвигаться, когда они прибудут на место.\n\nКогда стволы будут полностью выдвинуты, они будут готовы к стрельбе!
tutorial_battlestationsstart | We are now going to learn how to deploy our weapons for combat.\n\nThe game has been paused for now. | Сейчас мы научимся применять оружие в бою.\n\nНа данный момент игра поставлена на паузу.
tutorial_battlestationssuccess | Well done, your weapons are now successfully deployed for battle! | Молодец, теперь ваше оружие успешно развернуто для боя!
tutorial_buy_shiftclick | NOTE: You can SHIFT CLICK to buy in multiples of 5. | ПРИМЕЧАНИЕ: Вы можете нажимать SHIFT CLICK, чтобы покупать кратно 5.
tutorial_buyship_title | PURCHASING SHIPS | ПОКУПКА КОРАБЛЕЙ
tutorial_buyshipbuy | Click on the BUY button to purchase the JMC MINING STATION. | Нажмите на кнопку КУПИТЬ, чтобы приобрести JMC MINING STATION.
tutorial_buyshipinspect | Click on the JMC MINING STATION, an old unused industrial station for sale. | Нажмите на JMC MINING STATION, старую неиспользуемую промышленную станцию, выставленную на продажу.
tutorial_buyshipstart | We are now going to learn about selecting and buying ships. | Сейчас мы узнаем, как выбирать и покупать корабли.
tutorial_buyshipsuccess | Well done, you have purchased the JMC MINING STATION. | Отлично, вы приобрели станцию JMC MINING STATION.
tutorial_camera_title | CAMERA CONTROLS | УПРАВЛЕНИЕ КАМЕРОЙ
tutorial_cameracontrols | Use {PanUp1}{PanLeft1}{PanDown1}{PanRight1} or the ARROW KEYS to move the view around.\n\nZoom the view using the MOUSE WHEEL, or {ZoomIn}/{ZoomOut} on the keyboard.\n\nDrag the view by holding the MIDDLE MOUSE BUTTON. | Используйте {PanUp1}{PanLeft1}{PanDown1}{PanRight1} или клавиши со стрелками для перемещения вида вокруг.\n\nУвеличивайте вид с помощью колесика мыши или {ZoomIn}/{ZoomOut} на клавиатуре.\n\nПеретаскивайте вид, удерживая среднюю кнопку мыши.
tutorial_combat_title | COMBAT | КОМБАТ
tutorial_combatbattlestations | The effect of the EMP is wearing off!\n\nDeploy your weapons and make your crew ready to fight by clicking on BATTLE STATIONS. | Эффект ЭМИ ослабевает!\n\nРазверните оружие и приготовьте экипаж к бою, нажав на БОЕВЫЕ СТАНЦИИ.
tutorial_combatkeepmoving | Make sure to keep moving during combat, this increases your EVASION and makes you a harder target to hit. | Во время боя обязательно двигайтесь, это повышает вашу ЭВАЗИОННОСТЬ и делает вас более сложной мишенью для поражения.
tutorial_combatopenweaponscontrol | Open the weapons control panel. | Откройте панель управления оружием.
tutorial_combatrange | You can see the range of weapons by hovering over them. Weapons will shoot at enemy ships in their range. | Наведя курсор на оружие, вы можете увидеть его радиус действия. Оружие будет стрелять по вражеским кораблям в радиусе своего действия.
tutorial_combatselectcannon | Your guns can also target specific points on enemy ships.\n\nFirst, select which guns you would like to use.\n\nYou can SHIFT CLICK to select multiple guns. | Ваши пушки также могут нацеливаться на определенные точки на вражеских кораблях.\n\nСначала выберите, какие пушки вы хотите использовать.\n\nВы можете нажать SHIFT CLICK, чтобы выбрать несколько пушек.
tutorial_combatselecttarget | Target their weapon systems so that they can't damage you further. | Нацельтесь на их оружейные системы, чтобы они не смогли нанести вам дополнительный урон.
tutorial_combatstart | We are now going to learn some basic combat techniques. | Сейчас мы изучим основные боевые приемы.
tutorial_combatsuccess | Well done. You have learned how to use weapons. Now fire at will at the pirate ship! | Отлично. Вы научились пользоваться оружием. Теперь стреляйте по пиратскому кораблю по своему усмотрению!
tutorial_combatswitchtotacticalview | Switch to tactical mode. | Переключитесь в тактический режим.
tutorial_docking_title | DOCKING | СТЫКОВКА
tutorial_dockingapproachship_x | Use your main ship engines to get close to the *X. | Используйте Двигатели корабля, чтобы приблизиться к *X.
tutorial_dockingcheckthrusters | In order to be able to dock successfully, your ship needs at least four working THRUSTERS.\n\nUse a different ship, or purchase and install four thrusters at a nearby trading post. | Чтобы успешно пристыковаться, вашему кораблю нужно как минимум четыре работающих Маневровых двигателя.\n\nИспользуйте другой корабль или купите и установите четыре Маневровых двигателя в ближайшем торговом пункте.
tutorial_dockingmaneuver | Use your THRUSTERS to maneuver your ship so that RED diamonds of your docking ports align with the docking port of the *X.\n\nWhen aligned correctly, they will both turn YELLOW.\n\nKeep the ships aligned until the docking bridge is fully extended. | Используя свои Маневровые двигатели, маневрируйте кораблем так, чтобы красные ромбы ваших Стыковочных портов совпали со Стыковочным портом *X.\n\nПри правильном выравнивании они оба станут ЖЕЛТЫМИ.\n\nУдерживайте корабли выровненными, пока стыковочный мостик не будет полностью выдвинут.
tutorial_dockingmaneuverkeys | Use the Maneuvering controls to move the ship into position.\n\nYou can also use the keys {ManoeuvreUp}, {ManoeuvreLeft}, {ManoeuvreDown}, {ManoeuvreRight} to move, and {ManoeuvreClockwise} and {ManoeuvreCounterClockwise} to rotate the ship. | Для перемещения корабля в нужное положение используйте элементы управления Маневрирование.\n\nВы также можете использовать клавиши {ManoeuvreUp}, {ManoeuvreLeft}, {ManoeuvreDown}, {ManoeuvreRight} для перемещения, и {ManoeuvreClockwise} и {ManoeuvreCounterClockwise} для поворота корабля.
tutorial_dockingopenmaneuver | Open the MANEUVERING THRUSTER controls. | Откройте элементы управления МАНЕВРОВЫМИ ДВИГАТЕЛЯМИ.
tutorial_dockingstart | We are now going to learn how to dock your ship to another ship. | Сейчас мы узнаем, как пристыковать свой корабль к другому кораблю.
tutorial_dockingsuccess | Well done. You have docked successfully! | Молодцы. Вы успешно состыковались!
tutorial_dockingswitchtotactical | To get started, switch to TACTICAL mode by clicking the button or pressing {ToggleTactical}. | Чтобы начать, перейдите в режим ТАКТИКА, нажав на кнопку или нажав {ToggleTactical}.
tutorial_dockingzoomin | Zoom in so that you can see the docking guides more clearly. They are RED diamonds extending from the docking ports. | Увеличьте масштаб, чтобы лучше разглядеть направляющие для стыковки. Это красные бриллианты, выходящие из стыковочных портов.
tutorial_dsiclicktodismantle | Any equipment can be dismantled by left-clicking. | Любое оборудование можно разобрать, щелкнув левой кнопкой мыши.
tutorial_dsiclosedismantle | We can stop dismantling by clicking the dismantle button again or by closing the construction menu.\n\nClose the menu by clicking the CONSTRUCTION button or by pressing ESC. | Мы можем остановить демонтаж, снова нажав на кнопку демонтажа или закрыв меню строительства.\n\nЗакройте меню, нажав на кнопку КОНСТРУКЦИЯ или нажав ESC.
tutorial_dsidismantle | Dismantling equipment removes it from your ship and places it in a box so you can install it later. | Демонтируя оборудование, вы снимаете его с корабля и кладете в коробку, чтобы установить позже.
tutorial_dsidismantletitle | DISMANTLING | ДЕМОНТАЖ
tutorial_dsihighlightruinedequipment | This equipment is ruined, so you'll receive scrap metal when you dismantle it. | Это Оборудование испорчено, поэтому при его демонтаже вы получите Металлолом.
tutorial_dsihighlightsmelter | Let's use the scrap metal to produce metal ingots in the smelter. Right-click on the smelter. | Давайте используем Металлолом для производства Железных слитков в Плавильной печи. Щелкните правой кнопкой мыши на Плавильной печи.
tutorial_dsisetrecipe | Right-clicking on equipment allows you to set recipes. Set the smelter recipe to scrap metal. | Щелкнув правой кнопкой мыши на Оборудовании, вы можете задать рецепты. Установите рецепт Плавильной печи на Металлолом.
tutorial_dsisetupdone | The smelter will now start producing metal ingots after it has finished heating up. | Теперь Плавильная печь начнет производить Железные слитки после окончания нагрева.
tutorial_dsismelterrecipes | RECIPES | РЕЦЕПТЫ
tutorial_end_title | END OF TUTORIAL | КОНЕЦ РУКОВОДСТВА
tutorial_engines_title | ENGINES | ДВИГАТЕЛИ
tutorial_enginesconnectpipes | Let's start with the starboard engine. Use the pipes menu to run a pipe from the engine to your existing yellow fuel lines. | Начнем с правого Двигателя. Используйте меню трубы, чтобы провести трубу от Двигателя к существующим желтым топливным линиям.
tutorial_enginesconnectpower | Now use the CABLES menu to power up the engine, by connecting it to your existing red power lines. | Теперь используйте меню КАБЕЛИ, чтобы запитать Двигатель, подключив его к существующим красным линиям питания.
tutorial_enginesinformation | Engines require both POWER and FUEL to operate. We must connect both engines to fuel and power. | Для работы Двигателей необходимы ПИТАНИЕ и ТОПЛИВО. Мы должны подключить оба Двигателя к Топливу и питанию.
tutorial_enginesintro | The ship has two factory fitted engines ready to go, but we need to connect them up. | На корабле установлены два готовых к работе Двигателя, но нам нужно их подключить.
tutorial_enginesoperational | Both of our engines are now operational. | Теперь оба Двигателя работают.
tutorial_enginesportside | Now repeat the process with the port engine. Connect the fuel and power lines to start the engine. | Теперь повторите процесс с левым Двигателем. Подключите топливные и силовые линии, чтобы запустить Двигатель.
tutorial_enginesstarboardside | Fantastic work! The Starboard engine is now starting up. | Фантастическая работа! Двигатель правого борта запущен.
tutorial_fabrication_title | FABRICATION | ФАБРИКАЦИЯ
tutorial_fabricationclosefab1 | Close the Equipment Panel by clicking the X in the top right corner, or pressing ESC. | Закройте панель Оборудования, нажав на X в правом верхнем углу или нажав ESC.
tutorial_fabricationclosefab2 | Close the Equipment Panel by clicking the X in the top right corner, or pressing ESC. | Закройте панель Оборудования, нажав на X в правом верхнем углу или нажав ESC.
tutorial_fabricationconfigureass1 | We need to configure the ASSEMBLY TABLE in the same way.\n\nRIGHT CLICK on the assembly table. | Нам нужно настроить Сборочный стол таким же образом.\n\nПравый щелчок на Сборочном столе.
tutorial_fabricationconfigureass2 | Select STARGATE FRAME from the drop-down menu. | Выберите РАМА ЗВЕЗДНЫХ ВРАТ из выпадающего меню.
tutorial_fabricationconfigurefab1 | We need to configure the new equipment to make the products that we want.\n\nRIGHT CLICK on the FABRICATOR to configure it. | Нам нужно настроить новое оборудование, чтобы оно производило нужные нам продукты.\n\nПРАВЫЙ КЛИК на ФАБРИКАТОР, чтобы настроить его.
tutorial_fabricationconfigurefab2 | This drop-down menu shows all of the components that we can manufacture in a FABRICATOR.\n\nSelect FRAME from the list. | В этом выпадающем меню показаны все компоненты, которые мы можем изготовить на ФАБРИКАТОРЕ.\n\nВыберите РАМА из списка.
tutorial_fabricationinstallassemblytable | Those components are then assembled into finished products on an ASSEMBLY TABLE.\n\nInstall an ASSEMBLY TABLE somewhere near the FABRICATOR. | Затем эти компоненты собираются в готовые изделия на Сборочном столе.\n\nУстановите Сборочный стол где-нибудь рядом с Фабрикатором.
tutorial_fabricationinstallfabricator | Components are manufactured in a FABRICATOR, using raw materials like METAL INGOTS.\n\nInstall a FABRICATOR somewhere in the South East quadrant of the station. | Компоненты изготавливаются в Фабрикаторе, используя такое сырье, как Железные слитки.\n\nУстановите Фабрикатор где-нибудь в юго-восточном квадранте станции.
tutorial_fabricationpower | This new equipment needs power.  Build POWER CABLES to connect your REACTOR to the FABRICATOR and ASSEMBLY TABLE. | Этому новому Оборудованию нужно питание. Постройте кабели питания, чтобы соединить ваш Реактор с Фабрикатором и Сборочным столом.
tutorial_fabricationworking | Your crew are now fabricating FRAMES out of METAL INGOTS, then assembling those FRAMES into STARGATE FRAMES, which we can sell to the STARGATE project for profit. | Ваш экипаж сейчас изготавливает РАМЫ из ЖЕЛЕЗНЫХ СЛИТКОВ, затем собирает их в РАМЫ ЗВЕЗДНЫХ ВРАТ, которые мы можем продать проекту СТАРГЕЙТ для получения прибыли.
tutorial_finance_title | CONTRACTS | КОНТРАКТЫ
tutorial_financearrived | We have arrived at the destination system. | Мы прибыли в систему назначения.
tutorial_financeassigntransport | This mission requires us to transport a group of people from here to another location in the sector.\n\nClick the accept button to assign this contract to the PROCYON. | Эта миссия требует, чтобы мы доставили группу людей отсюда в другое место в секторе.\n\nНажмите кнопку Принять, чтобы назначить этот контракт на PROCYON.
tutorial_financeclosesectormap | Close the SECTOR MAP by clicking the X in the top right corner, or by pressing ESC. | Закройте КАРТУ СЕКТОРА, нажав на X в правом верхнем углу или нажав ESC.
tutorial_financeftlwindow | Open the FTL screen to order the FTL jump. | Откройте экран сверхсветовой скорости, чтобы заказать сверхсветовой прыжок.
tutorial_financehyperspace | We are in hyperspace! | Мы в гиперпространстве!
tutorial_financejump | Click the JUMP button to jump to hyperspace. | Нажмите кнопку ПРЫЖОК, чтобы перейти в гиперпространство.
tutorial_financemissioncomplete | The passengers have all arrived safely. You will now be paid the fee and will also receive points toward your Humanitarian rating - giving you access to more difficult and lucrative missions. | Все пассажиры прибыли в целости и сохранности. Теперь вам будет выплачен гонорар, а также начислены очки в рейтинг Гуманитарий, что даст вам доступ к более сложным и прибыльным миссиям.
tutorial_financemissionscreen | Now that our ship is up and running, we need to earn our way.  We can complete contracts for financial reward and reputation.\n\nOpen the CONTRACTS screen to see a list of available contracts. | Теперь, когда наш корабль запущен, нам нужно зарабатывать.  Мы можем выполнить контракты, чтобы получить финансовое вознаграждение и репутацию.\n\nОткройте экран КОНТРАКТЫ, чтобы увидеть список доступных контрактов.
tutorial_financepassengersinbound | The passengers will be delivered to the PROCYON by shuttle. | Пассажиры будут доставлены на PROCYON на Челноке.
tutorial_financepreparejump | Click on PREPARE JUMP to align the ship and prepare for hyperspace. | Нажмите на ПОДГОТОВИТЬ ПРЫЖОК, чтобы выровнять корабль и подготовиться к гиперпространству.
tutorial_financepreparingjump | The PROCYON will align for hyperspace, and prepare the FTL drive to make the jump. | PROCYON выравнивается для перехода в гиперпространство и готовит Сверхсветовой привод к совершению прыжка.
tutorial_financesectormap | All passengers have been delivered to the PROCYON, and our FTL drive is operational. We must now plot an FTL jump to their destination.\n\nOpen the SECTOR MAP. | Все пассажиры доставлены на PROCYON, и наш Сверхсветовой привод работает. Теперь мы должны спланировать сверхсветовой прыжок к месту назначения.\n\nОткройте карту сектора.
