wolf_character_harken | Commander Harken | Командир Харкен
wolf_character_harken_short | CMDR HARKEN | КОМАНДИР ХАРКЕН
wolf_character_ryker | Captain Amelia Ryker | Капитан Амелия Райкер
wolf_episode_title | Wolf In Sheep's Clothing | Волк В Овечьей Шкуре
wolf_part1_action_collectwreckage | Collect Wreckage | Собрать Обломки
wolf_part1_action_deliver | Deliver | Доставить
wolf_part1_action_payscavenger | Pay Scavenger $*X | Заплатить Мусорщику $*X
wolf_part1_completion1 | We've analysed the black box recordings and the evidence is already pretty clear.  There's a pirate vessel out there somewhere, preying on high value commercial vessels.  They wait in silence, until the ship is alone, isolated, and defenseless.  They come out of nowhere and attack without warning, and before anybody can respond they've destroyed the ship and looted the cargo. | Мы проанализировали записи бортовых самописцев, и доказательства уже довольно ясны.  Где-то там пиратский корабль, охотящийся на ценные коммерческие суда.  Они ждут в тишине, пока корабль не окажется один, изолированный и беззащитный.  Они появляются из ниоткуда и атакуют без предупреждения, и прежде чем кто-либо может отреагировать, они уничтожают корабль и грабят груз.
wolf_part1_completion2 | Most likely to be sold for vast profits to the Stargate Project - who don't seem keen to ask questions. | Вероятнее всего, для продажи с огромной прибылью Проекту Звездные Врата - которые, похоже, не стремятся задавать вопросы.
wolf_part1_completion3 | So far they haven't left a single living witness. But the sensor data tells the full story. We've manged to extract another sensor image of the attacker. | Пока они не оставили ни одного живого свидетеля. Но данные сенсоров рассказывают всю историю. Нам удалось извлечь еще одно сенсорное изображение нападавшего.
wolf_part1_completion4 | It's another grainy photograph, but it's all we have to go on.  This is without doubt the vessel responsible for all this death and destruction. | Это еще одна зернистая фотография, но это все, на что мы можем опираться.  Это без сомнения корабль, ответственный за всю эту смерть и разрушение.
wolf_part1_completion5 | We need to find a way to track them down, and destroy them.  We will be in touch soon, Captain. | Нам нужно найти способ выследить их и уничтожить.  Мы скоро свяжемся с вами, Капитан.
wolf_part1_completion6 | In the mean time, we suggest you tend to your ships. If you've taken damage, you can repair the hull at any SHIPYARD. Use the funds we've sent to upgrade your defenses. | А пока мы предлагаем вам позаботиться о ваших кораблях. Если вы получили повреждения, вы можете отремонтировать корпус на любой ВЕРФИ. Используйте средства, которые мы отправили, для модернизации вашей защиты.
wolf_part1_dronehint | Your ship will need a drone bay and drones to collect the flight recorder. | Вашему кораблю понадобится отсек для дронов и дроны для сбора бортового самописца.
wolf_part1_firstrecorder | You've recovered the flight recorder! Bring it to me. I'm onboard The Vanguard - sending our location now. | Вы восстановили бортовой самописец! Привезите его ко мне. Я на борту The Vanguard - отправляю наше местоположение сейчас.
wolf_part1_firstwreckage | Once you've collected all the Ship Wreckage, bring it to me along with the Flight Recorders. I'm onboard The Vanguard - sending our location now. | Как только вы соберете все Обломки Корабля, привезите их ко мне вместе с Бортовыми Самописцами. Я на борту The Vanguard - отправляю наше местоположение сейчас.
wolf_part1_flightrecordercount | You've delivered *X/*Y of the Flight Recorders | Вы доставили *X/*Y Бортовых Самописцев
wolf_part1_intro1 | My name is Commander Harken, and I'm the Chief of Private Security for the sector. | Меня зовут Командир Харкен, и я Начальник Частной Охраны сектора.
wolf_part1_intro2 | You have found the remains of the Interstellar Prospector. Please bring its Black Box Flight Recorder to me, and I will explain more. | Вы нашли останки Interstellar Prospector. Пожалуйста, привезите его Бортовой Самописец ко мне, и я объясню больше.
wolf_part1_intro3 | In order to collect the Flight Recorder you will need Drones, launched from a Drone Bay on your ship.  If you don't already have this equipment, you'll need to buy at least one DRONE BAY, and at least one LOGISTICS DRONE, from any colony or shipyard. | Для сбора Бортового Самописца вам понадобятся Дроны, запускаемые из Отсека Для Дронов на вашем корабле.  Если у вас еще нет этого оборудования, вам нужно будет купить как минимум один ОТСЕК ДЛЯ ДРОНОВ и как минимум один ЛОГИСТИЧЕСКИЙ ДРОН на любой колонии или верфи.
wolf_part1_objective_drones | Install a Drone Bay and at least one Logistics Drone | Установить Отсек Для Дронов и как минимум один Логистический Дрон
wolf_part1_objective_recoverbox1 | Recover Flight Recorder from UMC Interstellar Prospector | Восстановить Бортовой Самописец с UMC Interstellar Prospector
wolf_part1_objective_recoverbox2 | Recover Flight Recorder from UMC Infinite Horizon | Восстановить Бортовой Самописец с UMC Infinite Horizon
wolf_part1_objective_recoverbox3 | Recover Flight Recorder from UMC Celestial Hauler | Восстановить Бортовой Самописец с UMC Celestial Hauler
wolf_part1_objective_recoverwreckage | Collect the wreckage of UMC Stellar Horizon from System S*X [*Y/*Z] | Собрать обломки UMC Stellar Horizon из Системы S*X [*Y/*Z]
wolf_part1_objective_returnfirstrecorder | Return the Flight Recorder to Commander Harken | Вернуть Бортовой Самописец Командиру Харкену
wolf_part1_objective_returnrecorders | Return the Flight Recorders to Commander Harken [*Y/*Z] | Вернуть Бортовые Самописцы Командиру Харкену [*Y/*Z]
wolf_part1_objective_returnwreckage | Return the Wreckage to Commander Harken [*Y/*Z] | Вернуть Обломки Командиру Харкену [*Y/*Z]
wolf_part1_objective_scavenger | Recover the Flight Recorder from Scavenger Vessel | Восстановить Бортовой Самописец у Корабля Мусорщиков
wolf_part1_recorderhint | The flight recorder should be near the derelict L*X. Move towards it so that your drones can pick it up. | Бортовой самописец должен быть рядом с заброшенным L*X. Двигайтесь к нему, чтобы ваши дроны могли его подобрать.
wolf_part1_recoverwreckage | WRECKAGE | ОБЛОМКИ
wolf_part1_scavenger1 | Got my hands on something you might be looking for.  A recording of the screams and static from the ship's final moments.  You want it, I know it.  Scavengers rights says it's mine. | Заполучил кое-что, что вы, возможно, ищете.  Запись криков и помех из последних моментов корабля.  Вы хотите её, я знаю это.  Право мусорщика говорит, что она моя.
wolf_part1_scavenger2 | Luckily for you, you can have your precious data, so long as I get my finders fee.  It'll cost you $*X for the secrets.  Cross me and it will be the last mistake you make. | К счастью для вас, вы можете получить свои драгоценные данные, пока я получу свою плату за находку.  Это будет стоить вам $*X за секреты.  Обманите меня, и это будет последняя ошибка, которую вы совершите.
wolf_part1_scavenger3 | Funds received. Pleasure doing business. | Средства получены. Приятно иметь дело.
wolf_part1_scavenger4 | We'll drop your Flight Recorder out the cargo hold and be on our way. | Мы выбросим ваш Бортовой Самописец из грузового отсека и отправимся в путь.
wolf_part1_sendingshuttle | Standby while I dock my ship with yours, Captain, to collect the items you've recovered so far. Thank you for your efforts. | Ожидайте, пока я пристыкую свой корабль к вашему, Капитан, чтобы забрать предметы, которые вы восстановили. Спасибо за ваши усилия.
