action_closedoors | Закрыть Все Двери
action_closevents | Закрыть Все Клапаны
action_opendoors | Открыть Все Двери
action_openvents | Открыть Все Клапаны
alert_title | ОПОВЕЩЕНИЯ
alert_type_abouttoautosave | АВТОСОХРАНЕНИЕ
alert_type_abouttoautosave_caption | Сохранение через *X...
alert_type_autotradeinactive | АВТОТОРГОВЛЯ НЕАКТИВНА
alert_type_autotradeinactive_tooltip | Один или несколько ваших автоматических заказов были деактивированы. Возможно, это связано с большим долгом перед X.
alert_type_co2 | ОПАСНОСТЬ CO2
alert_type_co2_caption | *X% Смертельно
alert_type_co2_tooltip | Внутри вашего корабля опасное скопление CO2. Если оно достигнет 100%, ваш экипаж задохнется. Рассмотрите возможность покупки Скруббера CO2 и подключения его к резервуару для хранения.
alert_type_crewoverworked | ТРЕБУЕТСЯ БОЛЬШЕ ЭКИПАЖА
alert_type_dead | СМЕРТИ
alert_type_dead_caption | *X мертвых
alert_type_dehydrated | ЭКИПАЖ ОБЕЗВОЖЕН
alert_type_emp | ЭМИ
alert_type_emp_caption | *X устройств отключено
alert_type_emp_tooltip | Ваш корабль был поражен молнией, временно отключив часть вашего оборудования.
alert_type_famished | ЭКИПАЖ ИСТОЩЕН
alert_type_heavydamage | СЕРЬЕЗНЫЙ УРОН
alert_type_heavydamage_caption | Урон *X%
alert_type_hostileforces | ВРАЖДЕБНЫЙ КОНТАКТ
alert_type_hostileforces_caption | *X вражеских кораблей
alert_type_hostilesinbound | ВРАГИ ПРИБЛИЖАЮТСЯ
alert_type_hostilesinbound_caption | *X секунд
alert_type_hullbreach | ПРОЛОМ КОРПУСА
alert_type_hullbreach_caption | Ремонт *X%
alert_type_hullbreach_tooltip | В корпусе вашего корабля есть пробоина, и салон разгерметизируется. Ваш экипаж устранит пробоину, но вам следует закрыть Клапаны Дверей, чтобы изолировать область.
alert_type_hungry | ЭКИПАЖ ГОЛОДЕН
alert_type_lowbattery | БАТАРЕИ РАЗРЯЖЕНЫ
alert_type_lowbattery_caption | *X%
alert_type_lowbattery_tooltip | Ваши батареи разряжены. Вероятно, ваши реакторы не вырабатывают достаточно энергии для удовлетворения потребностей вашего корабля. Вам потребуется либо больше Реакторов, либо больше батарей, либо и то, и другое.
alert_type_lowfood | МАЛО ЕДЫ
alert_type_lowftl | МАЛО ГИПЕРТОПЛИВА
alert_type_lowfuel | МАЛО ТОПЛИВА
alert_type_lowoxygen | МАЛО КИСЛОРОДА
alert_type_lowresource_caption | *X
alert_type_lowwater | МАЛО ВОДЫ
alert_type_meteorshower | МЕТЕОРИТНЫЙ ДОЖДЬ
alert_type_none | НЕТ ОПОВЕЩЕНИЙ
alert_type_nostorage | НЕТ МЕСТА ДЛЯ ХРАНЕНИЯ
alert_type_oxygen | Кислород должен быть не менее 50%, чтобы быть пригодным для дыхания.
alert_type_powercut | ОТКЛЮЧЕНИЕ ПИТАНИЯ
alert_type_powercut_nofuel | Подача топлива прервана
alert_type_powercut_tooltip | Ваш реактор отключился. Вероятно, подача топлива была прервана.  Рассмотрите возможность использования резервуаров для хранения, чтобы создать постоянный запас топлива для вашего Реактора.
alert_type_radiation | ОБЛУЧЕНИЕ
alert_type_radiation_caption | *X облучены
alert_type_severely_dehydrated | ЭКИПАЖ СИЛЬНО ОБЕЗВОЖЕН
alert_type_stargatelosingpower | ЗВЕЗДНЫЕ ВРАТА ТЕРЯЮТ ПИТАНИЕ
alert_type_stargatelosingpower_caption | *X МВт / *Y МВт Поставляется
alert_type_stargatelosingpower_tooltip | Звездные врата не получают достаточно энергии. Используйте передатчики энергии для снабжения Звездных Врат энергией.
alert_type_starving | ЭКИПАЖ ГОЛОДАЕТ
alert_type_suffocating | ЭКИПАЖ ЗАДЫХАЕТСЯ
alert_type_suffocating_caption | *X задыхается
alert_type_test | ТЕСТОВОЕ ОПОВЕЩЕНИЕ
alert_type_thirsty | ЭКИПАЖ ИСПЫТЫВАЕТ ЖАЖДУ
analyticsconsentdialog_accept | Принять
analyticsconsentdialog_moreinfo | Подробнее...
analyticsconsentdialog_reject | Отклонить
analyticsconsentdialog_text | Нам необходимо собирать данные об использовании, чтобы лучше понимать, как люди играют, и улучшать игру. \n\nМы не собираем никакой личной информации. Если вы согласны с этим, пожалуйста, нажмите кнопку Принять.
analyticsconsentdialog_title | Сбор Телеметрических Данных
award_rewards | Награды
battle_title | БИТВА
blackhole_character_julian | Доктор Джулиан Мартинес
blackhole_character_marcus | Маркус Мартинес
blackhole_character_stargate | Проект Андромеда
blackhole_episode_title | Солнце Черной Дыры
blackhole_objective_containers | Разгрузите Гиперпространственные Изотопы в Контейнеры [*X/*Y]. Использовано контейнеров: *Z
blackhole_objective_isotopes | Соберите Гиперпространственные Изотопы [*X/*Y]
blackhole_objective_modulators | Произведите Гиперпространственные Модуляторы [*X/*Y]
blackhole_objective_returnisotopes | Доставьте Контейнеры с Гиперпространственными Изотопами [*X/*Y]
blackhole_objective_scoop | Приобретите Гиперпространственный Совок
blackhole_objective_visitjulian | Отправьтесь к Черной Дыре Qz247
blackhole_part1_completion1 | Спасибо, Капитан. Теперь у меня есть все необходимое для модификации этого Гипердвигателя для Короткого Прыжка.
blackhole_part1_completion2 | Мне потребуется время для подготовки расчетов.  Оставьте это мне, и я свяжусь с вами, когда будем готовы к следующей фазе.
blackhole_part1_hintisotopes1 | Похоже, у вас есть Гиперпространственный Совок!  Вы можете использовать его для сбора Гиперпространственных Изотопов, которые мне нужны.
blackhole_part1_hintisotopes2 | Вам нужно установить Совок лицевой стороной вперед на носу вашего корабля, затем подключить его трубный выход к резервуару для хранения.
blackhole_part1_hintisotopes3 | Совок работает только в гиперпространстве. Поэтому вам придется собирать изотопы за несколько гиперпрыжков.
blackhole_part1_hintunloading1 | Вы собрали немного Гиперпространственных Изотопов в резервуар! Вам нужно перекачать их в Контейнеры, чтобы мы могли легко перемещать их между кораблями.
blackhole_part1_hintunloading2 | Купите ПОГРУЗЧИК на любом торговом посту и установите его рядом с вашими резервуарами Гиперпространственных Изотопов. Подключите трубы и установите погрузчик в режим 'РАЗГРУЗКА'.
blackhole_part1_hintunloading3 | Вам также следует выделить место для хранения контейнеров с Изотопами.
blackhole_part1_intro1 | Приветствую, Капитан. Меня зовут Доктор Мартинес, и я обращаюсь к вам с просьбой о помощи.
blackhole_part1_intro2 | Мы с братом уже несколько лет изучаем высокоэнергетические выбросы частиц на орбите черной дыры, которую вы видите позади нас.  Ее официальное обозначение — Qz247 - коллапсировавшие остатки звезды, существовавшей пару миллиардов лет назад.
blackhole_part1_intro3 | Поломка оборудования поставила моего брата в крайне опасное положение, и мне нужна ваша помощь.
blackhole_part1_return1 | Вы собрали материалы, которые мне нужны! Привезите их ко мне к Qz247, чтобы завершить контракт.
blackhole_part1_sendingshuttle | Я отправляю к вам челнок, Капитан. Пусть ваш экипаж загрузит Гиперпространственные Изотопы для меня.
blackhole_part1_setup2 | Спасибо, что предложили свои услуги, Капитан.
blackhole_part1_setup3 | Проект Звездные Врата финансировал наши исследования с самого начала.  Они покупают все данные, которые мы можем собрать, и чем ближе мы подлетаем к горизонту событий, тем больше данных получают наши сенсоры. С каждой миссией мы заходили все ближе.
blackhole_part1_setup4 | В прошлый раз мы зашли слишком далеко.  Мой брат Маркус взял исследовательский корабль и подлетел ближе, чем когда-либо были раньше.  Прямо к краю.  Ближе, чем кто-либо до него.
blackhole_part1_setup5 | Я потерял с ним связь, и он там уже долгое время.  Он все еще виден на сенсорах, и его корабль все еще цел.  Гравитационные силы и замедление времени будут экстремальными.  Но с вашей помощью мы его спасем.
blackhole_part1_setup6 | Есть только один способ добраться до него, не упав в черную дыру самим.  Нам придется совершить чрезвычайно короткий ГИПЕРПРОСТРАНСТВЕННЫЙ ПРЫЖОК.
blackhole_part1_setup6b | Используя модифицированный Гипердвигатель, вы совершите один гиперпространственный прыжок к черной дыре, спасете моего брата Маркуса, затем развернетесь и выпрыгнете обратно.  Это будет опасно, но это единственный способ избежать затягивания самим.
blackhole_part1_setup7 | Мне нужны материалы для синтеза необходимых ресурсов.  Вы можете помочь мне с этим, пока я работаю над расчетами. Мне понадобятся Гиперпространственные Изотопы - вы сможете собрать их довольно легко, но сначала вам нужно будет приобрести Гиперпространственный Совок.
blackhole_part1_setup7b | Затем вам нужно будет использовать Погрузчик, чтобы начать разгружать изотопы в контейнеры.
blackhole_part1_setup8 | Я строю Прыжковый Гипердвигатель, который позволит вам совершить прыжок.  Ему потребуются некоторые модификации.  Мне нужно, чтобы вы изготовили для меня некоторые детали. Я знаю, что у вас есть производственные мощности рядом с проектом Звездные Врата.  Вы сможете изготовить эти детали для меня без особых проблем.
blackhole_part1_setup9 | Привезите эти материалы ко мне, и мы сможем перейти к фазе 2.
blackhole_part1_title | Солнце Черной Дыры
blackhole_part2_finished1 | Отличная работа, Капитан.  Я немедленно начну синтезировать Гипертопливо.  Это займет некоторое время.
blackhole_part2_finished2 | Я знаю, что Проект Звездные Врата связался с вами, и я знаю, что они хотят свои данные.  Понимаю, но давайте помнить, что приоритет - безопасное спасение моего брата.  Иногда они не ценят людей.
blackhole_part2_finished3 | Я свяжусь с вами, когда буду готов начать спасение.
blackhole_part2_intro1 | Капитан.  Мои модификации Гипердвигателя завершены.  Мы готовы к фазе 2 спасения моего брата.
blackhole_part2_intro2 | Пожалуйста, приезжайте ко мне, и я объясню, что мне от вас нужно.
blackhole_part2_objective_dock | Состыкуйтесь с Джулианом Мартинесом
blackhole_part2_objective_dronebay | Получите Отсек Для Дронов
blackhole_part2_objective_drones | Получите Логистический Дрон
blackhole_part2_objective_lasers | Получите 2x Шахтерских Лазера
blackhole_part2_objective_mine | Добудьте Тилиевую Руду [*X/*Y]
blackhole_part2_objective_refine | Обработайте Тилиевые Кристаллы [*X/*Y]
blackhole_part2_objective_return | Верните Тилиевые Кристаллы Доктору Мартинесу [*X/*Y]
blackhole_part2_objective_smelter | Получите 1x Плавильную Печь
blackhole_part2_objective_totilium | Отправьтесь к поясу астероидов с месторождениями Тилиума
blackhole_part2_return1 | Похоже, у вас достаточно Тилиевых Кристаллов.  Привезите Тилиевые Кристаллы ко мне, чтобы закрыть контракт.
blackhole_part2_return2 | Я отправлю челнок за Тилиевыми Кристаллами. Спасибо, Капитан!
blackhole_part2_setup1 | Капитан. Спасибо, что приехали.
blackhole_part2_setup2 | Я завершил работу над модифицированным Гипердвигателем, используя те радиоактивные гиперпространственные изотопы, которые вы предоставили.
