shipeditor_shipyardrequired2 | чтобы применить ваши изменения
shipeditor_stat_Capacity | Каюты
shipeditor_stat_Damage | Урон
shipeditor_stat_Mass | Масса
shipeditor_stat_Toughness | Прочность
shipeditor_stat_Value | Стоимость
shipeditor_stencil | НАКЛЕЙКИ
shipeditor_stencils_paint | Краски
shipeditor_stencils_selectedpaint | Выбранная Краска
shipeditor_stencils_stencil | Наклейки
shipeditor_symmetry | СИММЕТРИЯ
shipeditor_symmetry_leftclickdrag | [ЛКМ] Перетащить
shipeditor_symmetry_rightclicktoggle | [ПКМ] Переключить
shipeditor_symmetry_short | С
shipeditor_tooltip_armour | Улучшите свой корпус броневыми панелями для поглощения урона
shipeditor_tooltip_createship | Создайте совершенно новый корабль с нуля
shipeditor_tooltip_deconstruct | Разберите свой корабль клетка за клеткой
shipeditor_tooltip_dock | Установите стыковочный порт. Каждому кораблю нужен хотя бы один работающий стыковочный порт.
shipeditor_tooltip_equipment | Поставьте в очередь установку оборудования внутри вашего корабля.
shipeditor_tooltip_eyedropper | Позволяет выбрать краску с внешней стороны вашего корабля (также можно использовать, нажав клавишу "{AltTool}")
shipeditor_tooltip_habitation | Расширьте свой жилой отсек для поддержки большего количества экипажа и пассажиров
shipeditor_tooltip_hull | Измените форму корпуса вашего звездолета
shipeditor_tooltip_interior | Откройте внутреннее пространство вашего звездолета для создания кают
shipeditor_tooltip_paintfloor | Переключить окраску напольных плиток вашего корабля
shipeditor_tooltip_painthabitation | Переключить окраску внешних панелей жилых помещений вашего корабля
shipeditor_tooltip_painthull | Переключить окраску внешних панелей корпуса вашего корабля
shipeditor_tooltip_paintscaffold | Переключить окраску каркасов на вашем корабле
shipeditor_tooltip_paintstencils | Измените цвет наклеек, нанесенных на стены вашего корабля
shipeditor_tooltip_paintwalls | Переключить окраску базового цвета стен вашего корабля
shipeditor_tooltip_scaffold | Добавьте каркасы для поддержки оборудования на внешней стороне вашего корабля
shipeditor_tooltip_spawn | Создайте оборудование и ресурсы внутри вашего корабля. (Только в Творческом Режиме)
shipeditor_tooltip_stencils | Примените или удалите наклейки на стенах вашего корабля
shipeditor_tooltip_walls | Постройте стены внутри вашего звездолета, чтобы разделить внутреннее пространство
shiplibrary_affordableonly | Только Доступные
shiplibrary_hullonly | [ПУСТОЙ КОРПУС]
smelt_title | Переплавить *X
soundchannelviewer_title | Звуковые Каналы
sounddspeditor_title | Редактор DSP
soundeditor_attacktitle | Атака
soundeditor_dsptitle | DSP
soundeditor_frequencytitle | Частота
soundeditor_instancetitle | Тип Экземпляра
soundeditor_loopdelaytitle | Задержка Цикла
soundeditor_looptitle | Тип Цикла
soundeditor_mindistancetitle | Мин. Дистанция
soundeditor_newdsp | Добавить DSP
soundeditor_nexteventtitle | Следующее Событие
soundeditor_play | Воспроизвести
soundeditor_positiontitle | Тип Позиции
soundeditor_releasetitle | Освобождение
soundeditor_soundnametitle | Название Звука
soundeditor_sourcetypetitle | Тип Звука
soundeditor_stop | Стоп
soundeditor_sustaintitle | Поддержка
soundeditor_title | Редактор Звука
soundeditor_volumetitle | Громкость
soundinstanceeditor_title | Редактор Экземпляра Звука
soundparametereditor_chaintitle | Цепь
soundparametereditor_linktitle | Связано С
soundparametereditor_smoothing | Сглаживание
soundparametereditor_title | Параметр Звука
soundparametereditor_typetitle | Тип
soundparametereditor_updatetitle | Тип Обновления
special_dronebatchcollection | Пакетный Сбор Дронами
special_mininglaseraccuracy | Точность Шахтерского Лазера
special_mininglaseraccuracy2 | Точность Шахтерского Лазера 2
special_sectorsurvey | Исследование Сектора
special_stargatepart1 | Проект Андромеда Фазы 1, 2
special_stargatepart2 | Проект Андромеда Фаза 3
special_stargatepart3 | Проект Андромеда Фазы 4, 5
special_tracksplitter | Конвейеры Разделителя
speed_paused | ПАУЗА
speed_slow | МЕДЛЕННО
stargate_available_subtitle | Фаза *X Доступна
stargate_award_subtitle | Фаза *X Завершена
stargate_award_title | ПРОГРЕСС ЗВЕЗДНЫХ ВРАТ
stargate_energy_received | ПОЛУЧЕНО: *X МВт
stargate_energy_required | ТРЕБУЕТСЯ: *X МВт
stargate_help | Чтобы передать завершенные части проекту Звездных Врат, продайте их на любом торговом посту в секторе
stargate_jumping | ПРЫЖОК ВЫПОЛНЯЕТСЯ
stargate_power_button | СТАРТ
stargate_power_fraction | ПОДАНО:\n*X МВт / *Y МВт
stargate_power_on_failed | ПРОВАЛ
stargate_powered_off | ОТКЛЮЧЕНО
stargate_powering_on | ЗАПУСК
stargate_ready_for_jump | ГОТОВЫ К ПРЫЖКУ
stargate_testfire_help | Капитан, Звездные Врата готовы к первому тесту. Если будет подано достаточно энергии, они должны предоставить нам доступ к близлежащему неисследованному сектору.
stargate_unlocked_subtitle | Окно Звездных Врат разблокировано
stargate_warming_up | РАЗОГРЕВ
