techtree_node_caption_neubidiumprocessing | Минерал, собранный с местного астероида, никогда раньше не встречался, мы должны исследовать его применение.
techtree_node_caption_quantumprocessing | Симуляции предсказывают, что новые заряженные кристаллы позволяют Звездным Вратам перемещать корабли в разные галактики. Компьютерные системы Звездных Врат необходимо модернизировать для этого.
techtree_node_caption_reactorefficiencyrepeatable | Тратьте чипы данных, чтобы постоянно повышать эффективность наших реакторов.
techtree_node_caption_recycling1 | Улучшает всю переработку систем жизнеобеспечения до 90% эффективности
techtree_node_caption_recycling2 | Доводит всю переработку систем жизнеобеспечения до 100% эффективности
techtree_node_caption_robotarmspeed | Удваивает скорость всех Рук Робота
techtree_node_caption_robotarmspeedrepeatable | Тратьте чипы данных, чтобы постоянно увеличивать скорость наших рук робота.
techtree_node_caption_science | Открывает улучшения во всех областях продвинутой физики
techtree_node_caption_sectorsurvey | Открывает исследование текущего сектора для поиска новых систем поблизости.
techtree_node_caption_SmartAutomation | Открывает чертеж для Умной Руки Робота
techtree_node_caption_stargatepart1 | Открывает Фазы 1 и 2 Проекта Андромеда.
techtree_node_caption_stargatepart2 | Открывает Фазу 3 Проекта Андромеда.
techtree_node_caption_stargatepart3 | Открывает Фазы 4 и 5 Проекта Андромеда.
techtree_node_caption_trackspeed1 | Удваивает скорость всех Конвейеров
techtree_node_caption_trackspeed2 | Утраивает скорость всех Конвейеров
techtree_node_caption_zeleonenergycontainment | Стабильный Зелеон - это безопасный, энергоемкий газ, который можно использовать для продвинутого хранения энергии.
techtree_node_caption_zeleongasrefining | Новый газ, который мы наблюдали, кажется довольно нестабильным и излучает большое количество энергии, наши ученые должны найти безопасный способ собрать и стабилизировать его.
techtree_node_title_advancedtracks | Продвинутые Конвейеры
techtree_node_title_Automation | Автоматизация
techtree_node_title_CompactAutomation | Компактные Руки Робота
techtree_node_title_deflectorbeams | Лучи Дефлектора
techtree_node_title_droneassembly | Сборка Дронов
techtree_node_title_droneintelligence | Интеллект Дронов
techtree_node_title_dronespeed1 | Скорость Дронов 1
techtree_node_title_dronespeed2 | Скорость Дронов 2
techtree_node_title_dronespeedrepeatable | Скорость Дронов
techtree_node_title_EnergyTransmission | Передача Энергии
techtree_node_title_habitation | Выживание
techtree_node_title_hydroponics1 | Гидропоника 1
techtree_node_title_hydroponics2 | Гидропоника 2
techtree_node_title_hydroponicsrepeatable | Гидропоника
techtree_node_title_Logistics1 | Логистика
techtree_node_title_Logistics2 | Логистика Уровень 2
techtree_node_title_Logistics3 | Логистика Уровень 3
techtree_node_title_Metallurgy1 | Металлургия Уровень 1
techtree_node_title_Metallurgy2 | Металлургия Уровень 2
techtree_node_title_metallurgyrepeatable | Металлургия
techtree_node_title_mininglaseraccuracy | Точность Шахтерского Лазера
techtree_node_title_mininglaseraccuracy2 | Точность Шахтерского Лазера 2
techtree_node_title_neubidiumfabrication | Изготовление Нейбидиума
techtree_node_title_neubidiumprocessing | Обработка Нейбидиума
techtree_node_title_quantumprocessing | Квантовая Обработка
techtree_node_title_reactorefficiencyrepeatable | Эффективность Реактора
