tutorial_battlestationshighlightcrew | Ваш экипаж побежит к оружию, чтобы активировать его.\n\nПулеметы не требуют экипажа для активации.
tutorial_battlestationshighlightguns | Стволы орудий начнут выдвигаться, когда они прибудут.\n\nКогда стволы полностью выдвинутся, они будут готовы к стрельбе!
tutorial_battlestationsstart | Теперь мы научимся активировать наше оружие для боя.\n\nИгра приостановлена на данный момент.
tutorial_battlestationssuccess | Отлично, ваше оружие теперь успешно активировано для боя!
tutorial_buy_shiftclick | <b>ПРИМЕЧАНИЕ</b>: Вы можете <b>ЗАЖАТЬ SHIFT И КЛИКНУТЬ</b> для покупки кратно 5.
tutorial_buyship_title | ПОКУПКА КОРАБЛЕЙ
tutorial_buyshipbuy | Нажмите кнопку <b>КУПИТЬ</b>, чтобы приобрести <b>JMC MINING STATION</b>.
tutorial_buyshipinspect | Нажмите на <b>JMC MINING STATION</b>, старую неиспользуемую промышленную станцию на продажу.
tutorial_buyshipstart | Теперь мы научимся выбирать и покупать корабли.
tutorial_buyshipsuccess | Отлично, вы приобрели <b>JMC MINING STATION</b>.
tutorial_camera_title | УПРАВЛЕНИЕ КАМЕРОЙ
tutorial_cameracontrols | Используйте <b>{PanUp1}{PanLeft1}{PanDown1}{PanRight1}</b> или <b>КЛАВИШИ СТРЕЛОК</b> для перемещения камеры.\n\nИзменяйте масштаб колесом мыши или клавишами <b>{ZoomIn}</b>/<b>{ZoomOut}</b>.\n\nПеретаскивайте камеру, удерживая <b>СРЕДНЮЮ КНОПКУ МЫШИ</b>.
tutorial_combat_title | БОЙ
tutorial_combatbattlestations | Эффект <b>ЭМИ</b> проходит!\n\nАктивируйте оружие и подготовьте экипаж к бою, нажав на <b>БОЕВОЙ РЕЖИМ</b>.
tutorial_combatkeepmoving | Обязательно продолжайте движение во время боя, это увеличивает ваше <b>УКЛОНЕНИЕ</b> и делает вас более сложной целью для попадания.
tutorial_combatopenweaponscontrol | Откройте панель управления оружием.
tutorial_combatrange | Наведите курсор на оружие, чтобы увидеть его радиус действия. Орудие будет стрелять по вражеским кораблям в пределах этого радиуса.
tutorial_combatselectcannon | Ваши орудия также могут нацеливаться на конкретные точки на вражеских кораблях.\n\nСначала выберите, какие орудия вы хотите использовать.\n\nМожно <b>ЗАЖАТЬ SHIFT И КЛИКНУТЬ</b>, чтобы выбрать несколько орудий одновременно.
