tutorial_stargatejumpsuccess | Отлично. Теперь вы можете совершать прыжки между секторами!
tutorial_stargatescreen_title | ПРОЕКТ ЗВЕЗДНЫЕ ВРАТА
tutorial_stargatescreen1 | Давайте обратим наше внимание на <b>ПРОЕКТ ЗВЕЗДНЫЕ ВРАТА</b>.\n\nМы можем посмотреть наш прогресс с экрана Звездные Врата.\n\nОткройте экран <b>ЗВЕЗДНЫЕ ВРАТА</b>.
tutorial_stargatescreen2 | Этот экран показывает фазы, требующие строительства для завершения <b>ЗВЕЗДНЫХ ВРАТ</b>.\n\nМы в <b>ФАЗЕ</b> 1. Работа только началась.
tutorial_stargatescreen3 | С левой стороны экрана вы можете увидеть требования для завершения <b>ФАЗЫ</b> 1.\n\nНам нужно произвести:\n- 100 <b>РАМ ЗВЕЗДНЫХ ВРАТ</b>\n- 10 <b>СМОЛЫ ЗВЕЗДНЫХ ВРАТ</b>
tutorial_stargatescreen4 | Эти компоненты <b>ФАЗЫ</b> 1 легко производить, и у нас уже есть то, что нам нужно на борту.\n\nНо мы можем продать их <b>ПРОЕКТУ ЗВЕЗДНЫЕ ВРАТА</b> за небольшое состояние.
tutorial_stargatescreen5 | Закройте экран <b>ЗВЕЗДНЫЕ ВРАТА</b>, снова щелкнув по панели инструментов (или нажав ESC).
tutorial_stargatewindowclosewindow | Теперь вы можете закрыть экран Звездные Врата.
tutorial_stargatewindowhighlightcomponent | Каждый компонент, который вам нужно произвести, находится слева.\nНаведя мышь на значок компонента, вы увидите, как его произвести.
tutorial_stargatewindowhighlightframes1 | Чтобы завершить Фазу 2, нам нужно продолжать производить Рамы Звездных Врат.\n\nВместо 10 нам теперь нужно 200!
tutorial_stargatewindowhighlightframes2 | Продайте ваши рамы на торговом посту, чтобы отправить их Проекту Андромеда.
tutorial_stargatewindowhighlightphase2 | Выберите Фазу 2, чтобы увидеть, что вам нужно произвести для этой фазы.
tutorial_stargatewindowhighlightphases | Строительство Звездных Врат разделено на фазы, и каждая фаза требует все больше ресурсов.\nВы только что завершили Фазу 1.
tutorial_stargatewindowintro | Экран Звездные Врата показывает все, что вам нужно произвести для завершения текущей фазы.
tutorial_stargatewindowopenwindow | Нажмите на кнопку Звездные Врата на вашей панели инструментов, чтобы открыть экран Звездные Врата.
tutorial_survey_title | СКАНИРОВАНИЕ СЕКТОРА
tutorial_surveyhighlightsectorsurveysystem | Наведя курсор на текущую систему, вы увидите радиус вокруг сканируемой системы и прогресс сканирования в поиске новых точек интереса.\n\nОткройте <b>КАРТУ СЕКТОРА</b> и нажмите <b>ДАЛЕЕ</b>, чтобы ускорить исследование.
tutorial_surveyinstallcomputers | Установите суперкомпьютер на один из ваших кораблей.\n\nЭто обучение возобновится после этого.
tutorial_surveyinstallsensors | Установите Гиперпространственные Сенсоры или Гиперпространственные Сенсоры LR на один из ваших кораблей.\n\nЭто обучение возобновится после этого.\n\nЕсли вы играете в режиме Boldly Go, ваш корабль также должен находиться в новом секторе.
tutorial_surveyintro | Мы собираемся узнать, как исследовать область вокруг вашего корабля.\n\nПервый шаг - просканировать локальную область сектора, окружающего ваш корабль, используя <b>СКАНИРОВАНИЕ СЕКТОРА</b>.\n\nВ Boldly Go может быть просканирован только новый сектор.\n\nДля этого требуются гиперпространственные сенсоры.
tutorial_surveylocalsurveyintro | Следующий шаг - выполнить <b>ЛОКАЛЬНОЕ ИССЛЕДОВАНИЕ</b>.\n\nЛокальные исследования позволяют получить доступ к точкам интереса через Гипердвигатель.\n\nКорабли должны иметь установленные суперкомпьютеры и должны находиться в одном секторе для участия в локальном исследовании.
tutorial_surveyoutro | Нажмите <b>ДАЛЕЕ</b>, чтобы ускорить исследование.
tutorial_surveystartlocalsurvey | Зоны интереса истекут через некоторое время, если они не исследованы. Несколько кораблей могут участвовать в локальном исследовании.\n\nНажмите на точку интереса, чтобы начать локальное исследование.
tutorial_surveystartsectorsurvey | Сканирование сектора ищет зоны интереса в секторе вокруг системы, в которой находится ваш корабль.\n\nСканирование остановится после завершения. Только один корабль в системе может выполнять сканирование сектора.\n\nНажмите на кнопку, чтобы начать сканирование сектора.
