format_currency | $*X
format_per_square | *X / кв
ftl_galacticjump | Это будет финальное путешествие вашего флота.\nБудьте готовы к долгому путешествию в галактику Андромеды и спасите столько, сколько сможете!
galaxymap_civilians | ГРАЖДАНСКИЕ
galaxymap_colony | КОЛОНИЯ
galaxymap_comet | КОМЕТА
galaxymap_demo | ДЕМО
galaxymap_derelict | ЗАБРОШЕННЫЙ ОБЪЕКТ
galaxymap_distresscall | СИГНАЛ БЕДСТВИЯ
galaxymap_endof | КОНЕЦ
galaxymap_entrysystem | Прибытие
galaxymap_exitsystem | В Следующий Сектор
galaxymap_fleet | ВЫ ЗДЕСЬ
galaxymap_fortress | КРЕПОСТЬ
galaxymap_hostile | ВРАЖДЕБНЫЕ СИЛЫ
galaxymap_jumpgate | ПРЫЖКОВЫЕ ВРАТА
galaxymap_noescape | НЕТ ВЫХОДА
galaxymap_objectives | КОНТРАКТЫ СЕКТОРА
galaxymap_playtest | ТЕСТИРОВАНИЕ
galaxymap_sectorgone | ПОГЛОЩЕНО АНОМАЛИЕЙ
galaxymap_sectornumber | СЕКТОР *X
galaxymap_shipyard | ВЕРФЬ
galaxymap_starbase | ЗВЕЗДНАЯ БАЗА
galaxymap_survivalexit | Доберитесь до ЗВЕЗДНЫХ ВРАТ!
galaxymap_switchsector | Переключить Вид Сектора
galaxymap_title | КАРТА СЕКТОРА
galaxymap_unreachable | НЕДОСТУПНО
hud_abortjump | Отменить Прыжок
hud_aligning | Выравнивание...
hud_battlestations | БОЕВОЙ РЕЖИМ
hud_buyship | КУПИТЬ
hud_cabins | Каюты: *X/*Y
hud_camerattracking | Слежение Камеры
hud_collector_tooltip_gathering | Сбор *X *Y в секунду
hud_collector_tooltip_totalgathered | ВСЕГО СОБРАНО
hud_convertsplittertotrack | [ПКМ] Преобразовать в конвейер
hud_converttracktosplitter | [ПКМ] Преобразовать в разделитель
hud_debugbuild | Отладка
hud_deselectlayer | СНЯТЬ ВЫБОР КОРАБЛЯ
hud_direction_down | Правый Борт
hud_direction_left | Корма
hud_direction_right | Нос
hud_direction_up | Левый Борт
hud_disabled | Отключено
hud_drones_deployed | ВНИМАНИЕ - ДРОНЫ В КОСМОСЕ: *X
hud_editor | РЕДАКТОР
hud_enabled | Включено
hud_endcreativemode | Творческий Режим завершится
hud_endcreativemode2 | Когда вы прыгнете в гиперпространство
hud_endcreativemodefull | Творческий Режим завершится, когда вы прыгнете в гиперпространство
hud_endcreativemodewarning | ВЫХОД ИЗ ТВОРЧЕСКОГО РЕЖИМА
hud_fabricateship | ПОСТРОИТЬ КОРАБЛЬ
hud_ftl | Гипердвигатель
hud_ftl_jump_tooltip | [ПКМ] Прыжок
hud_ftlcharging | Зарядка...
hud_ftlcooldown | Перезарядка...
hud_ftlexcluded | Остаться
hud_ftlincluded | Прыгнуть
hud_ftlloading | Загрузка...
hud_ftlnodestination | НЕТ ПУНКТА НАЗНАЧЕНИЯ
hud_ftlshipnotviablewarning | Кораблю нужен корпус или каркас для перехода в гиперпространство
hud_ftlwaiting | Ожидание...
hud_hyperspace | ГИПЕРПРОСТРАНСТВО
hud_idle | Ожидание
hud_install | Установить
