mission_type_refugees | Беженцы
mission_type_rescue | Спасение
mission_type_SectorDestroy | Уничтожить Вражеские Силы
mission_type_sectorevacuate | Эвакуировать Сектор
mission_type_sectorjumpgate | Прыжковые Врата (Сектор)
mission_type_SectorProtect | Защитить (Сектор)
mission_type_SectorRescue | Спасти (Сектор)
mission_type_tutorialflightready | МЕСТО НАЗНАЧЕНИЯ
mission_youarehere | ВЫ ЗДЕСЬ
missions_title | КОНТРАКТЫ
newmainmenu_abandon | ПОКИНУТЬ ИГРУ
newmainmenu_aiselection_auto | Управляется ИИ - Автовыбор
newmainmenu_aiselection_none | Управляется Игроком
newmainmenu_arena | РЕЖИМ АРЕНЫ
newmainmenu_arena_collapsestats | СКРЫТЬ ИНФОРМАЦИЮ
newmainmenu_arena_combatratings | БОЕВОЙ РЕЙТИНГ
newmainmenu_arena_expandstats | ПОКАЗАТЬ ИНФОРМАЦИЮ
newmainmenu_arena_generateenemyfleet | СОЗДАТЬ
newmainmenu_arena_greenteamtitle | ЗЕЛЕНАЯ КОМАНДА
newmainmenu_arena_redteamtitle | КРАСНАЯ КОМАНДА
newmainmenu_arena_selectship | ВЫБЕРИТЕ КОРАБЛЬ
newmainmenu_arena_shipquantity | Количество
newmainmenu_arena_tradevalues | СТОИМОСТЬ КОРАБЛЕЙ
newmainmenu_autosavewarning | Предупреждение о загрузке автосохранения
newmainmenu_battle | БИТВА
newmainmenu_begingame | НАЧАТЬ ИГРУ
newmainmenu_cancel | ОТМЕНА
newmainmenu_chooseship | ВЫБЕРИТЕ СТАРТОВЫЙ КОРАБЛЬ
newmainmenu_cloudquotaremaining | Использовано: *X / *Y (осталось *Z%)
newmainmenu_confirm | ПОДТВЕРДИТЬ
newmainmenu_createnewexport | СОЗДАТЬ НОВЫЙ ЭКСПОРТ
newmainmenu_createnewsave | СОЗДАТЬ НОВОЕ СОХРАНЕНИЕ
newmainmenu_createnewupload | СОЗДАТЬ НОВЫЙ ЭЛЕМЕНТ МАСТЕРСКОЙ
newmainmenu_createship | СОЗДАТЬ НОВЫЙ КОРАБЛЬ
newmainmenu_darkmode | Темный Режим Карты Галактики
newmainmenu_debug_freespace | Включить Отладку FreeSpace
newmainmenu_defensiveenemies | Мирные Враги
newmainmenu_defensiveenemiestooltip | Вражеские корабли будут атаковать вас только после того, как вы первыми выберете их целью.
newmainmenu_deletegame | УДАЛИТЬ ИГРУ
newmainmenu_deleteship | УДАЛИТЬ КОРАБЛЬ
newmainmenu_editship | РЕДАКТИРОВАТЬ КОРАБЛЬ
newmainmenu_exitsaves | Автосохранение при выходе
newmainmenu_exportship | ЭКСПОРТИРОВАТЬ КОРАБЛЬ
newmainmenu_filter | ПОИСК...
newmainmenu_importfriendly | ИМПОРТИРОВАТЬ ДРУЖЕСТВЕННЫЙ
newmainmenu_importhostile | ИМПОРТИРОВАТЬ ВРАЖЕСКИЙ
newmainmenu_includedocked | ВКЛЮЧИТЬ ПРИСТЫКОВАННЫЕ КОРАБЛИ В ЭКСПОРТ
newmainmenu_loadgame | ЗАГРУЗИТЬ ИГРУ
newmainmenu_loadgamedev | ЗАГРУЗИТЬ ИГРУ (DEV)
newmainmenu_loadship | ЗАГРУЗИТЬ КОРАБЛЬ
newmainmenu_locked | (ЗАБЛОКИРОВАНО)
newmainmenu_lockedindemo | ЗАБЛОКИРОВАНО В ДЕМО
newmainmenu_mainmenu | ГЛАВНОЕ МЕНЮ
newmainmenu_multisectorsim | Мультисистемная Симуляция
newmainmenu_multisectorsimtooltip | Включает мультисистемную симуляцию, позволяя разделить ваш флот между несколькими системами/секторами одновременно.
newmainmenu_multisystem_simulation | Включить Мультисистемную Симуляцию
newmainmenu_newgame | НОВАЯ ИГРА
newmainmenu_newgameoptions | Настройки Игры
newmainmenu_parallax | Использовать Эффект Параллакса
newmainmenu_quit | ВЫХОД
