object_potplant | Горшочное Растение
object_powercoil | Катушка Питания
object_powercoilcharged | Заряженная Катушка Питания
object_powerinjector | Инжектор Питания
object_preciousmetals | Драгоценные Металлы
object_preciousore | Драгоценная Руда
object_processorcomponent | Процессор
object_proximitymine | Шахта
object_quantumcomputegridcomponent | Квантовая Вычислительная Сеть
object_quantumprocessorcomponent | Квантовый Процессор
object_quantumwafercomponent | Квантовая Пластина
object_radiationblocker | Блокатор Радиации
object_radiationblocker_description | Блокатор радиации, значительно снижает всю проходящую через него радиацию. Размещайте между вашим экипажем и оборудованием, излучающим радиацию.
object_radiationemitter | Излучатель Радиации
object_radiationemitter_description | Излучает радиацию. Для тестирования новой механики радиации (не имеет игрового применения).
object_railgun | Рельсотрон
object_railgun_description | Чрезвычайно точная оружейная система дальнего боя, которая стреляет твердой металлической болванкой. Рельсотрон - это точное оружие, которое может пробить броню корпуса и уничтожить оборудование внутри целевого корабля. Однако оружие потребляет огромное количество энергии для перезарядки после каждого выстрела.
object_railgunshell | Рельсовые Пули
object_railgunshell_description | Ящик боеприпасов для Рельсотрона.
object_reactor | Реактор
object_reactor_description | Сжигает высокоэнергетическое Топливо для производства энергии. Должен снабжаться Топливом (через трубу). Затем используйте кабели для подключения к другому энергооборудованию.\nГенерирует максимальную выходную мощность 100МВт.
object_refinedmetreon | Обработанный Метреон
object_refinedtilium | Тилиевые Кристаллы
object_refinery | Химический Завод
object_refinery_description | Автоматическая промышленная машина для переработки сырьевых химикатов и газов.
object_refugee | Беженец
object_repairstructure | Ремонт Структурных Повреждений
object_repairstructure_description | Местная верфь может отремонтировать тяжелые структурные повреждения на вашем корабле за определенную цену.
object_researchcredit | Чип Данных
object_researchcredit_description | Этот процессорный чип содержит информацию, которая может быть использована для ускорения наших текущих исследований или улучшения эффективности нашего оборудования.
object_robotarm | Рука Робота
object_robotarmshort | Короткая Рука Робота
object_robotarmsmart | Умная Рука Робота
object_ruinedequipment | Разрушенное Оборудование
object_sciencestation | Научная Станция
object_sciencestation_description | Рабочая станция для ученого для проведения ценных исследований.
object_scientist | Ученый
object_scrapmetal | Металлолом
object_scrubber | Скруббер CO2
object_scrubber_description | Извлекает углекислый газ из атмосферы. Его выход должен быть подключен трубой к резервуару для хранения, иначе он заблокируется.
object_seeds | Семена
object_seeds_description | Маленький мешок смешанных овощных семян, которые вы, возможно, сможете вырастить в Гидропонном Саду.
object_sewage | Отходы Канализации
object_sewagemachine | Переработчик Отходов
object_sewagemachine_description | Забирает отходы канализации с жилого отсека, разделяет твердые и жидкие отходы и частично перерабатывает их. Устройство выдает грязную воду и компост.
object_sewagepipe | Канализационная Труба
object_sewagepipe_description | Эта труба извлекает отходы канализации из жилого отсека сверху. Затем вы можете направить отходы канализации в резервуар для хранения и (в конечном итоге) переработать их обратно в воду.  Труба ДОЛЖНА БЫТЬ НЕПОСРЕДСТВЕННО ПОД ЖИЛЫМ ОТСЕКОМ для функционирования.
object_shieldedcanistercomponent | Экранированная Канистра
object_shieldedzeleoncanister | Экранированный Зелеон
object_ShipWreckage | Обломки Корабля
object_short_bullets | Патроны
object_short_cannonshell | Снаряды
object_short_deuterium | Дейтерий
object_short_ftlcharge | Гипертопливо
object_short_oxygen | Кислород
object_short_railgunshell | Пули
object_shuttle | Челнок
object_smallstoragecrate | Малое Хранилище
object_smallstoragecrate_description | Малое хранилище, хранит один тип ресурса, но в 4 раза больше обычного количества на клетку
object_smalltable | Маленький Столик
object_smalltank | Средний Резервуар
object_smalltank_description | Резервуар для хранения, который может хранить жидкости и газы.
object_smelter | Плавильная Печь
object_smelter_description | Эта промышленная обрабатывающая машина может плавить руды в пригодные для использования металлические слитки. После установки нажмите на неё, чтобы изменить тип руды.
object_sofa | Диван
object_solarpanel | Солнечная Панель
object_solarpanel_description | Они должны быть установлены снаружи вашего корабля с каркасом для поддержки. Каждая панель генерирует 10МВт.
object_spacesuit | Космический Скафандр
object_spacesuitpod | Капсула Для Скафандра
object_spacesuitpod_description | Место хранения для космических скафандров, которым требуется пополнение кислорода.
object_stableisotopes | Стабильные Изотопы
object_stablezeleon | Стабильный Зелеон
object_stairs | Лестница
object_stairs_description | Экипаж и пассажиры могут получить доступ к верхнему жилому отсеку только по лестнице.
object_stargateactuator | Привод Звездных Врат
object_stargatecapacitor | Конденсатор Звездных Врат
object_stargatereceiver | Приемник Звездных Врат
object_stargateresin | Смола Звездных Врат
object_stargatestructure | Рама Звездных Врат
object_storagecrate | Хранилище
object_storagecrate_description | Хранилище, хранит один тип ресурса, но в 4 раза больше обычного количества на клетку
object_supercomputer | Суперкомпьютер
object_supercomputer_description | Мощный компьютер для числовой обработки и моделирования важных исследований.
object_table | Стол
object_tank | Огромный Резервуар
object_tank_description | Массивный резервуар, который может хранить большое количество жидкости или газа.
object_telepathicsensor | Телепатическая Сенсорная Станция
object_telepathicsensor_description | Сенсор, способный обнаруживать телепатические волны.
object_thruster | Маневровый Двигатель
object_thruster_description | Маневровый двигатель. Должен быть прикреплен к стене корабля. Обеспечивает тягу для бокового и вращательного движения.
object_tiddlet | Тиддлет
object_tiliumore | Тилиевая Руда
object_tinytank | Малый Резервуар
object_tinytank_description | Резервуар для хранения, который может хранить жидкости и газы.
object_track | Конвейер
object_tracksplitter | Разделитель
object_warpalignmentcomputer | Компьютер Выравнивания Искривления
object_wastewater | Сточные Воды
object_water | Вода
object_waterpurifier | Очиститель Воды
object_waterpurifier_description | Берет грязную воду из переработки канализации или из естественного льда - и очищает её в безопасную питьевую воду.
object_weaponsconsole | Центр Управления Оружием
object_weaponsconsole_description | Терминал, где Оружейный Офицер может управлять несколькими видами оружия одновременно.
object_weaponsspecialist | Оружейный Офицер
object_zeleonenergycell | Энергетическая Ячейка Зелеона
object_zeleongas | Газ Зелеона
opentextcrawl_1 | Это 23-й век.  Человечество колонизировало звезды.
opentextcrawl_2 | Миллионы людей теперь живут за пределами мира, иногда в сотнях световых лет от Земли.
opentextcrawl_3 | Весть достигла Земли от одной из таких колоний. Темная аномалия была замечена и не может быть объяснена.
opentextcrawl_4 | Там, где когда-то была звезда, теперь нет ничего, кроме черной пустоты, медленно расширяющейся.
opentextcrawl_5 | Те, кто живет поблизости, называют это КОЛЛАПСОМ и верят, что в конечном итоге это поглотит всю галактику.
opentextcrawl_6 | Мало кто верит им.
opentextcrawl_7 | Тем не менее, Земля направила вас и ваш экипаж на научном судне PRAXIS для расследования.
opentextcrawl_survival_1 | Это 23-й век.  Человечество колонизировало звезды.
opentextcrawl_survival_2 | Миллионы людей теперь живут за пределами мира, иногда в сотнях световых лет от Земли.
opentextcrawl_survival_3 | Весть достигла Земли от далекой научной станции. Темная аномалия была обнаружена и не может быть объяснена.
opentextcrawl_survival_4 | Там, где когда-то была звезда, теперь нет ничего, кроме черной пустоты, бесконечно расширяющейся и поглощающей все на своем пути.
opentextcrawl_survival_5 | Ученые считают, что в конечном итоге это поглотит всю галактику.
opentextcrawl_survival_6 | Есть только одна слабая надежда. Проект ЗВЕЗДНЫЕ ВРАТА, незавершенный и непроверенный, предлагает путь к спасению в далекую Галактику.
opentextcrawl_survival_7 | Но масштаб катастрофы почти слишком велик, чтобы осознать. Выживут лишь немногие.
opentextcrawl_survival_8 | С новым кораблем и новым экипажем вы обязуетесь достичь ЗВЕЗДНЫХ ВРАТ со столькими людьми, сколько сможете, прежде чем будет слишком поздно.
opentextcrawlindustry_1 | Это 23-й век.  Человечество колонизировало звезды.
opentextcrawlindustry_2 | Миллионы людей теперь живут за пределами мира, иногда в сотнях световых лет от Земли.
opentextcrawlindustry_3 | Началась эра массовой индустриализации космоса, питающая ненасытное желание энергии и металла.
opentextcrawlindustry_4 | Могущественные компании контролируют обширные области космоса, поддерживаемые несметными запасами богатства.
opentextcrawlindustry_5 | Генеральный директор одной из таких компаний - INTERSTELLAR MINING CORPORATION - бросил вызов человечеству построить звездные врата настолько мощные, что они смогут достичь нашей ближайшей Галактики.
opentextcrawlindustry_6 | Триллионы долларов финансирования были отложены.
opentextcrawlindustry_7 | Время идеально для небольшой предприимчивой и трудолюбивой команды шахтеров, чтобы начать новую карьеру - и сколотить состояние в звездах.
opentextcrawlstory_1 | Это 23-й век.  Человечество колонизировало звезды.
opentextcrawlstory_2 | Миллионы теперь процветают на далеких мирах, живя в сотнях световых лет от Земли.
opentextcrawlstory_3 | По мере того, как космос становится новым рубежом, разворачивается эра беспрецедентных исследований и экспансии.
opentextcrawlstory_4 | Могущественные корпорации доминируют над целыми регионами, но за пределами их досягаемости лежат неизведанные территории, наполненные несказанными тайнами и безграничными возможностями.
opentextcrawlstory_5 | Генеральный директор INTERSTELLAR MINING CORPORATION бросил дерзкий вызов: построить звездные врата, достаточно мощные, чтобы достичь нашей ближайшей галактики.
opentextcrawlstory_6 | С триллионами финансирования, готовыми к захвату, сцена подготовлена для бесстрашных искателей приключений, чтобы проложить свой собственный путь в космосе.
opentextcrawlstory_7 | Примете ли вы вызов и проложите свой собственный курс среди звезд?
order_autotradeactive | Автоторговля
order_battlestations | Боевая Тревога
order_exteriorwork | Внешние Работы
order_fleetlogistics | Логистика Флота
order_gather | Собр Материалов
order_mining | Шахтерские Работы
order_none | Нет
order_repairhull | Ремонтные Работы
order_salvage | Сбор Обломков
order_shiftwork | Работа Посменно
order_suitson | Надеть Скафандры
order_weaponsactive | Огонь По Противнику
orders_crew | ЭКИПАЖ
orders_doors | ДВЕРИ
orders_logistics | ЛОГИСТИКА
origin_community | СООБЩЕСТВО
origin_official | ОФИЦИАЛЬНЫЙ
origin_shipcommunity | КОРАБЛИ СООБЩЕСТВА
origin_shipofficial | ОФИЦИАЛЬНЫЕ КОРАБЛИ
origin_shipsteam | ПОДПИСАННЫЕ КОРАБЛИ ИЗ МАСТЕРСКОЙ STEAM
origin_shipsteamuser | КОРАБЛИ ЗАГРУЖЕННЫЕ В МАСТЕРСКУЮ STEAM
origin_shipuser | ПОЛЬЗОВАТЕЛЬСКИЕ КОРАБЛИ
origin_steam | ПОДПИСКА ИЗ МАСТЕРСКОЙ STEAM
origin_steamuser | ЗАГРУЖЕНО В МАСТЕРСКУЮ STEAM
origin_user | ПОЛЬЗОВАТЕЛЬСКИЙ
phase_title | Фаза *X
powergrid_batteryhint | Установите несколько Батарей, чтобы запастись энергией из Реактора.
powergrid_category_battery | БАТАРЕИ
powergrid_category_defenses | ОБОРОНА
powergrid_category_engines | ДВИГАТЕЛИ
powergrid_category_FTL | ГИПЕРДВИГАТЕЛИ
powergrid_category_lifesupport | ЖИЗНЕОБЕСПЕЧЕНИЕ
powergrid_category_logistics | ЛОГИСТИКА
powergrid_category_other | ПРОЧЕЕ
powergrid_category_reactor | РЕАКТОР
powergrid_category_science | НАУКА
powergrid_category_stargate | ЗВЕЗДНЫЕ ВРАТА
powergrid_category_weapons | ОРУЖИЕ
powergrid_controls_decrease | [ПКМ] Уменьшить
powergrid_controls_increase | [ЛКМ] Увеличить
powergrid_controls_shift | [Shift] Все
powergrid_controls_title | Управление Энергией
powergrid_demand | ПОТРЕБЛЕНИЕ *X МВт
powergrid_output | ВЫРАБОТКА *X МВт
powergrid_power | ПИТАНИЕ
powergrid_powershortagehint | Ваш корабль не может вырабатывать достаточно энергии. Рассмотрите возможность установки дополнительных Реакторов.
powergrid_stored | НАКОПЛЕНО *X МВт
powergrid_title | ЭНЕРГОСЕТЬ
pressanykey | - продолжить -
profiler_glfinishcaption | glFinish
profiler_name | Имя
profiler_reset | Сброс
profiler_timings | Время
profiler_title | Профилировщик
profiler_totaltime | Всего
rating_combat | Боевой
rating_criminal | Криминальный
rating_hostilesdestroyed | ВРАГИ УНИЧТОЖЕНЫ
rating_humanitarian | Гуманитарный
rating_industry | Промышленный
rating_logistics | Логистический
rating_rank | РАНГ *X
rating_rankincreased | РАНГ ПОВЫШЕН
rating_title_combat | Боевой Рейтинг
rating_title_criminal | Криминальный Рейтинг
