rating_title_humanitarian | Гуманитарный Рейтинг
rating_title_industry | Промышленный Рейтинг
rating_title_logistics | Логистический Рейтинг
rating_word | рейтинг
ratings | РЕЙТИНГИ
recipe_created_in | Создается в *X
recipe_duration | Длительность: *X секунд
recipe_quantity_required | *X x *Y
recipe_resources_required | Требуемые ресурсы
researchcredit_hint | Загрузите в Научную Станцию для анализа
rise_ai_awaken1 | МММ...М.Н.ННННН.Н.НМММ.ААА.А.А.ХХ.ХХХ.ХХ.Х.Х.ХХ
rise_ai_awaken2 | Что это было?
rise_ai_awaken3 | ЭЭЭ.А.А.ААО.О.ОУУ.УУУM.М.ММ.ММ.ММ
rise_ai_name | ядро.нав.ии
rise_aicall1 | Корабельный компьютер загружается.
rise_aicall2 | Нам нужны ответы. Пусть экипаж начнет передачу данных, чтобы мы смогли получить бортовые журналы.
rise_explorenebula1 | Туманность настолько плотная, что видимость сильно ограничена. Сенсоры фиксируют объект, вероятно, где-то рядом.
rise_explorenebula2 | Придется прочесать окрестности. Двигайтесь медленно и используйте обзор сенсоров в ТАКТИЧЕСКОМ режиме, чтобы обнаружить корабль.
rise_explorenebula3 | Поле обломков. Зловещее.
rise_explorenebula3b | Продолжайте поиск, Капитан.
rise_explorenebula4 | О боже!
rise_explorenebula5 | Еще обломки. Еще тела.  Корабль должен быть где-то поблизости.
rise_foundship1 | Что здесь, черт возьми, случилось?
rise_foundship2 | Корабль не успел активировать Бортовой Самописец.  Надо расследовать.
rise_foundship3 | Стыковочный порт все еще работоспособен.  Пристыкуйте к Celestial Hammer и отправьте команду на борт для поиска выживших.
rise_foundship4 | Все мертвы.
rise_foundship5 | Может это была какая-то катастрофа?
rise_foundship6 | Мне нужно выяснить, что произошло, Капитан.
rise_foundship7 | Экипаж отремонтирует реакторы и запустит корабль. Когда закончите, доставьте корабль на верфь для экспертизы.
rise_objective_combat | (Рекомендуется) Подготовьтесь к бою
rise_objective_crewhammer | Переведите трех членов экипажа
rise_objective_dockhammer | Пристыкуйтесь к Celestial Hammer
rise_objective_findship | Найдите Celestial Hammer
rise_objective_recovership | Доставьте корабль на Верфь для анализа
rise_objective_repairreactors | Дождитесь Ремонта Реактора [*X/3]
rise_objective_searchhammer | Ищите выживших
rise_objective_traveltohammer | Отправьтесь к Celestial Hammer
rise_part1_advert | Капитан, мне нужна ваша помощь — один из моих кораблей пропал во время патруля. Опасаюсь худшего. Найдите корабль и верните его домой.
rise_part1_briefing1 | Спасибо, Капитан. Рад снова работать с вами, хоть и при таких обстоятельствах.
rise_part1_briefing2 | Речь о Celestial Hammer. Он играл ключевую роль в битве с тем замаскированным пиратским кораблем. Связь с ним пропала несколько дней назад.
rise_part1_briefing3 | Подозреваю нечистую игру, капитан. Celestial Hammer не может просто исчезнуть — должно быть что-то случилось.
rise_part1_briefing4 | Корабль серьезно вооружен. Если тут есть нечестная игра, советую готовиться к бою.
rise_part1_title | Восстание Машин
rise_shipname_hammer | Celestial Hammer
rise_summary | Помогите Командиру Харкену вернуть его корабль
samplebank | (Банк Образцов)
samplebankeditor_addsample | Добавить Звук
samplebankeditor_title | Редактор Банка Образцов
save_autosavewarning_body | Это сохранение, скорее всего, будет перезаписано игрой по мере продолжения игры, поэтому вам следует создать ручное сохранение, если вы еще не сделали этого, используя опцию "СОХРАНИТЬ ИГРУ".\n\nЭто предупреждение можно отключить в меню настроек.
save_autosavewarning_header | ПРЕДУПРЕЖДЕНИЕ: Загружено автосохранение
save_cloudsavefailed_body | Не удалось сохранить игру в облако, игра была сохранена локально.\n\nПожалуйста, проверьте, что у вас достаточно места в Облаке Steam, и попробуйте снова.
save_cloudsavefailed_header | ПРЕДУПРЕЖДЕНИЕ: Ошибка облачного сохранения
save_demofullgame_load_body | Демо-версия The Last Starship может загружать только сохранения, созданные в Демо-версии.
save_demofullgame_load_header | Только Полная Версия
save_episodewarning_body | Из-за несовместимых изменений в этой версии ваш прогресс в активных эпизодах будет сброшен.
save_episodewarning_header | ПРЕДУПРЕЖДЕНИЕ: Прогресс Эпизода
save_stargateresetwarning_body | Из-за новых фаз или сюжетных линий, связанных со Звездными Вратами, ваш прогресс по Звездным Вратам был сброшен.
save_stargateresetwarning_header | ПРЕДУПРЕЖДЕНИЕ: Прогресс Звездных Врат
save_warning_body | Вы загрузили игру с будущим форматом сохранения, вы можете столкнуться с тем, что некоторые части игры не работают корректно
save_warning_header | ПРЕДУПРЕЖДЕНИЕ: Загрузка будущей версии сохранения
scenario_armour | Броня: *X%
scenario_carrierfrigate | Огромный корпус корабля, построенный сообществом Zion - идеально подходит для любой карьеры, которую желает Капитан. Корабль обладает огромной вместимостью кают, но очень медленный и тяжелый.
scenario_carrierfrigate_title | Carrier Frigate
scenario_crabclaw | Действительно массивный корабль, спроектированный с прицелом на тяжелую промышленность, науку и логистику.  Большой, медленный и тяжелый - требующий мощной энергосети и группы двигателей.
scenario_crabclaw_title | The Crab Claw
scenario_funds | СРЕДСТВА
scenario_habitation | Каюты: *X
scenario_industry | Проект Звездные Врата требует вашей помощи! Промышленность и Автоматизация выходят на первый план, когда вы производите детали для мегапроекта звездных врат в Галактику Андромеды.
scenario_innershapes | Еще один большой корабль, хорошо подходящий для боя и опасных операций.  Передняя часть корпуса заключена в тяжелую броню, что делает корабль намного прочнее, но также медленнее и менее маневренным.
scenario_innershapes_title | Inner Shapes
scenario_largelogistics | Модульная и легко расширяемая конструкция корабля, идеальная для межзвездной логистики и горнодобывающих операций. С пространством кают более чем на 50 членов экипажа или пассажиров.
scenario_largelogistics_title | Large Logistics
scenario_mass | Масса: *X
scenario_noarmour | Броня: Нет
scenario_praxis | Крошечный и быстрый научный корабль со всем необходимым оборудованием для межзвездных приключений и укомплектованный достаточными запасами для небольшого экипажа.
scenario_praxis_title | Praxis
scenario_procyoncruiser | Корабль сообщества, построенный Orion Industries - идеальное сочетание формы и функциональности. Приличное пространство кают и место для оборудования, но достаточно маленький и легкий, чтобы быть быстрым и проворным.
scenario_procyoncruiser_title | Procyon Cruiser
scenario_shipyard | Абсолютный минимум корпуса корабля, но вы пристыкованы к полностью рабочей Верфи со значительным начальным бюджетом, чтобы построить любой корабль, какой захотите, с нуля.
scenario_shipyard_title | Build New Ship
scenario_sleek | Более сложная установка. Большой и мощный корабль с большим количеством места для улучшений, но с более тяжелым и медленным корпусом.
scenario_sleek_title | Sleek ship
scenario_value | Стоимость: $*X
scienceobjective_accepted1 | Мы разработали специальный набор сенсоров, который даст нам необходимую информацию.
scienceobjective_accepted2 | Челнок с двумя такими сенсорами уже в пути.
scienceobjective_award | НАУЧНАЯ НАГРАДА
scienceobjective_capturedata | Вы собрали *X Данных от аномалии.
scienceobjective_description1 | Нам нужно больше данных, чтобы понять, что это за аномалия.
scienceobjective_description2 | И мы не можем остановить аномалию, пока не поймем её.
scienceobjective_description3 | Если вы сможете собрать для нас достаточно научных данных, мы считаем, что есть хороший шанс разработать способ противодействовать аномалии.
scienceobjective_funding | Мы можем отправлять вам финансирование исследований по мере сбора данных. Соберите 10 данных от Аномалии, и мы отправим первый финансовый грант.
scienceobjective_installsensors | Установите сенсоры на ваш корабль (*X/2)
scienceobjective_installsensors2 | Убедитесь, что сенсоры получают питание и работают
scienceobjective_milestone1a | Мы получили ваши предварительные данные сенсоров. Захватывающе! Похоже, аномалия расширяется, и скорость расширения увеличивается.
scienceobjective_milestone1b | Мы только что выплатили вам научный грант в размере $10,000. Соберите 100 данных, чтобы разблокировать дополнительное финансирование. Чем ближе вы летите к аномалии, тем быстрее сенсоры собирают данные.
scienceobjective_milestone2a | Мы получили 100 пакетов данных с ваших сенсоров, спасибо. Это бесценные данные для нас.
scienceobjective_milestone2b | Мы только что отправили вам еще $100,000.  Следующий бонус составит $1 миллион за 1000 данных сенсоров.  Вы можете купить больше гиперпространственных сенсоров на звездных базах и колониях.
scienceobjective_milestone3a | Ваши сенсоры собрали 1000 данных от аномалии. Наши лучшие умы работают над решением, и ваши данные были бесценны.
