blackhole_character_julian | Dr. Julian Martinez | 
blackhole_character_marcus | Marcus Martinez | 
blackhole_character_stargate | Andromeda Project LLC | 
blackhole_episode_title | Black Hole Sun | 
blackhole_objective_containers | Unload the Hyperspace Isotopes into Containers [*X/*Y]. *Z Containers used | 
blackhole_objective_isotopes | Collect Hyperspace Isotopes [*X/*Y] | 
blackhole_objective_modulators | Manufacture Hyperspace Modulators [*X/*Y] | 
blackhole_objective_returnisotopes | Deliver Hyperspace Isotope Containers [*X/*Y] | 
blackhole_objective_scoop | Acquire a Hyperspace Scoop | 
blackhole_objective_visitjulian | Travel to Black Hole Qz247 | 
blackhole_part1_completion1 | Thank you, Captain. I now have what I need to modify this FTL drive for the Short Range Hop. | 
blackhole_part1_completion2 | It's going to take me some time to prepare the calculations.  Leave things to me and I'll call you when we're ready for the next phase. | 
blackhole_part1_hintisotopes1 | Looks like you have a Hyperspace Scoop!  You can use this to gather the Hyperspace Isotopes I need. | 
blackhole_part1_hintisotopes2 | You'll need to install the Scoop facing forward on the front of your ship, then connect its pipe output to a storage tank. | 
blackhole_part1_hintisotopes3 | The Scoop works only when you are in hyperspace. So you'll need to gather the isotopes over a few FTL jumps. | 
blackhole_part1_hintunloading1 | You've collected some Hyperspace Isotopes in a tank! You'll need to pump them into Containers so we can easily move them between ships. | 
blackhole_part1_hintunloading2 | Buy a LOADER from any trade post and install it near your Hyperspace Isotope tanks. Connect the pipes, and set the loader to 'UNLOAD'. | 
blackhole_part1_hintunloading3 | You should also designate some storage space for the Isotope containers. | 
blackhole_part1_intro1 | Greetings Captain. My name is Dr. Martinez and I'm reaching out to ask for your help. | 
blackhole_part1_intro2 | For years now my brother and I have been studying the high energy particle emissions in orbit of the black hole you can see behind us.  Its official designation is Qz247 - the collapsed remnants of a star that lived a couple of billion years ago. | 
blackhole_part1_intro3 | An accident with our equipment has left my brother in dire need of a rescue, and I need your help. | 
blackhole_part1_return1 | You've gathered the materials I need! Bring them back to me at Qz247 to complete the contract. | 
blackhole_part1_sendingshuttle | I'm sending a shuttle to you now, Captain. Get your crew to load the Hyperspace Isotopes for me. | 
blackhole_part1_setup2 | Thank you for offering your services, Captain. | 
blackhole_part1_setup3 | The Stargate project funded our research from the beginning.  They buy all the data we can collect, and the closer we travel to the event horizon, the more data our sensors receive. Every mission, we'd push ourselves to go closer. | 
blackhole_part1_setup4 | The last time, we pushed it too far.  My brother Marcus took the sensor ship and flew closer than we've ever been before.  Right to the edge.  Closer than anyone has ever been. | 
blackhole_part1_setup5 | I've lost all contact, and he's been down there for a long time now.  He's still showing on the sensors, and his ship is still intact.  The gravitational forces and time dilation will be extreme.  But with your help, we're going to rescue him. | 
blackhole_part1_setup6 | There's only one way to get to him without falling into the black hole ourselves.  We're going to have to do an extremely short range HYPERSPACE HOP. | 
blackhole_part1_setup6b | Using a modified FTL Drive you'll do one hyperspace hop toward the black hole, rescue my brother Marcus, then turn around and hop right out.  It will be dangerous, but it's the only way to avoid being dragged in ourselves. | 
