bravenewsector_part1_dophase6 | Complete Phase 6 of the Stargate Project | 
bravenewsector_part1_findneubidium | Sample the new minerals | 
bravenewsector_part1_findzeleon | Investigate the severe weather | 
bravenewsector_part1_representative1 | Greetings Captain. What you've found could prove to be very useful to the Stargate project. | 
bravenewsector_part1_representative2 | Since you've used our Stargate to reach the new sector, we believe it's only fair that you assist us with researching the uses of the new resources. | 
bravenewsector_part1_representative3 | Your co-operation has been paramount in the project's sucess so far, and it must continue until the project is complete. | 
bravenewsector_part1_representative4 | Thank you, Captain. We will be in touch when you have completed your research. | 
bravenewsector_part1_representative5 | Hello again, Captain. | 
bravenewsector_part1_representative6 | The results of your research are very promising, and we'd like you to send us some refined samples of the new resources. | 
bravenewsector_part1_representative7 | We expect a shipment of Neubidium ingots and the stabilised Zeleon gas. | 
bravenewsector_part1_representative8 | Thank you for your co-operation, Captain. | 
bravenewsector_part1_researchneubidium | Research Neubidium Processing | 
bravenewsector_part1_researchzeleon | Research Zeleon Gas | 
bravenewsector_part1_title | Brave New Sector, Part 1 | 
bravenewsector_part1_x1 | Captain? Are you there? | 
bravenewsector_part1_x2 | I can't believe it, the Stargate worked! This is my greatest project, my greatest achievement, perhaps my final one too. Maybe I'll have the chance to see the new sector for myself one day. | 
bravenewsector_part1_x3 | I believe this is only the beginning though, the Andromeda Project have made it clear they want to reach a new galaxy, not just a new sector. I'm sure they will be in contact soon about the next steps of the Stargate. | 
bravenewsector_part1_x4 | Thank you Captain, for all your hard work. Goodbye for now. | 
bravenewsector_part2_harken_1 | Captain, our sector scan has found new systems. They contain shipyards that are currently being operated by pirates. | 
bravenewsector_part2_harken_10 | That's all from me Captain, good luck. | 
bravenewsector_part2_harken_2 | Their exterior wear leads us to believe that they have been here for at least a century. This sector must have been one of mankind's first attempts to colonise outer-space. | 
bravenewsector_part2_harken_2 | Their exterior wear leads us to believe that have been here for at least a century. This sector must have been one of mankind's first attempts to colonise outer-space. | 
bravenewsector_part2_harken_3 | There are signs of a massive galactic war in this sector, with derelict ship signals appearing all across our sector map. | 
bravenewsector_part2_harken_4 | The aftermath of the war resulted in pirates gaining control of the sector for themselves. They have since been living here, dormant, surviving from the resources harvested in local asteroid belts and nebulas. | 
bravenewsector_part2_harken_6 | Destroying the fortresses would allow us to set up friendly shipyards and take back control of the sector from the pirates. | 
bravenewsector_part2_harken_7 | Be prepared to be met with heavy resistance if you choose to visit them. I have added their positions to your sector map. | 
bravenewsector_part2_harken_8 | There's a shuttle on the way to L*X with surveying equipment on-board. It will allow you to scan the area around your ship. | 
bravenewsector_part2_harken_9 | The forgotten battlefields of the sector may contain new research opportunities, I'd recommend that you explore any derelict ships you detect. | 
bravenewsector_part2_receivecompute | Receive a Super Computer | 
bravenewsector_part2_receivesensors | Receive LR Hyperspace Sensors [*X/*Y] | 
bravenewsector_part2_summary | Uncover the history of the new sector. | 
bravenewsector_part2_surveywarning | There's a shuttle on the way to L*X with surveying equipment on-board. The equipment can only be used in the new sector, so you'll need to send a ship through the Stargate to start surveying. | 
bravenewsector_part2_title | Brave New Sector, Part 2 | 
bravenewsector_part2_x1 | Hello again Captain, the Andromeda Project is very impressed with the samples you've sent them. They want your work on the Stargate to continue. | 
bravenewsector_part2_x3 | I must warn you, there are rumours that their plan is to take the Stargate fully under their control. They will charge anyone who wants to use it a fortune, preventing any competition and harvesting all the resources in the new galaxy for themselves. They will become more powerful than any entity we have seen before. | 
