dsi_action_canceldeal | Cancel the deal with X | 
dsi_action_payx | Pay X (*X owed) | 
dsi_character_dogma | DOGMA Security | 
dsi_character_rep | Andromeda Project Representative | 
dsi_character_x | Alexander James Elistar | 
dsi_character_y | Raymond Darnell | 
dsi_funding_title | Funding Received | 
dsi_objective_revenue | Total sales revenue: $*X | 
dsi_part1_action_callX | Call X | 
dsi_part1_action_deliverframes | Deliver 10 Stargate Frames | 
dsi_part1_advert1 | My name is Alexander James Elistar, and I'm the chairman and founder of A.J.E Industries.  I have a business proposition for you.  If you would be interested in setting up a production facility for me, I believe with some luck and a good deal of hard work we can both make substantial returns. | 
dsi_part1_advert2 | Please give me a call to discuss the details. | 
dsi_part1_call1 | Captain.  Perhaps you are already aware, but there are big plans underway within this sector.  There are designs to build something... incredible, a transportation system with near infinite range, requiring state of the art manufacturing and industry. | 
dsi_part1_call2 | A stargate, big enough for our most massive fleets, shuttling humanity between galaxies as if they were nothing but neighbouring stars.  A new multi-galactic era for humanity. | 
dsi_part1_call3 | In all my years I've never known so much capital to be allocated to one project. | 
dsi_part1_call4 | There is a golden opportunity here for us, but the barriers to entry are high.  I have the assets, the capital, and the facilities that we need to fulfil the Andromeda Project's massive ambitions. | 
dsi_part1_call5 | Sadly, my days of running the shop floor in person are long behind me.  I need a floor manager, somebody who will oversee the day to day operations for me.  And my years of experience have taught me to spot talent when I see it. | 
dsi_part1_call6 | Here is my proposal.  I'll provide the factory station, and the seed capital so you are fully funded.  You'll set up the production facility for me, and oversee day to day operations, manufacturing parts for the Andromeda Project to their specifications. | 
dsi_part1_call7 | We'll split the profits 50/50. | 
dsi_part1_call8 | And believe me when I say, there will be plenty to go around. | 
dsi_part1_callfromrep1 | This is a message for A.J.E FOUNDRY.  We've received your samples and can report that they have passed comfortably within our engineering tolerances.  You are formally approved as licensed industry partners, and may now manufacture all items in our design manifest. | 
dsi_part1_callfromrep2 | Batches of completed parts may now be submitted to the Andromeda Project through the open Marketplace. You will find our buyers ready to release funds for any parts manufactured to specification. | 
dsi_part1_callfromrep3 | Thank you for your endeavours, and good luck. | 
dsi_part1_debrief1 | Fantastic work, Captain.  I had high expectations, but the process was even more smooth than I hoped.  We've made ourselves known to the Andromeda Project now, but this is just the beginning. | 
dsi_part1_debrief2 | The later phases of this project will no doubt be much more involved.  But we are perfectly positioned to capitalise on this opportunity.  And there is a lot of opportunity to be had. | 
dsi_part1_debrief3 | There are individuals behind this mega-project with wealth and resources far beyond my comprehension.  But their ambitions far exceed the capabilities of the other ships and people in this sector.  They are going to need our help. | 
dsi_part1_debrief4 | We can take a short break, and I'll give you a call when I'm ready to start work on the next phase of the stargate project. You might want to stop some of your equipment in the meantime, we don't want to waste anything! | 
dsi_part1_debrief5 | Goodbye for now! | 
dsi_part1_installsmelter1 | We need to tidy up the mess, but nothing needs to be wasted.  We can recycle all of the raw materials found on this station. | 
dsi_part1_installsmelter2 | There is an industrial smelter among the boxed equipment.  Install it and power it up, then set it to recycling all of the scrap metal.  This will give us an early supply of Metal Ingots.  A critical resource in manufacturing anything. | 
dsi_part1_manufactureframes1 | If I could draw your attention to this schematic issued by the Andromeda Project.  You can see it's actually quite a simple part.  This is just a structural framework, onto which they'll build everything else. | 
dsi_part1_manufactureframes2 | We can manufacture these parts in just two stages out of Metal Ingots.  I've left a boxed Fabricator and an Assembly Table on the station.  Set them up next to each other, ideally near to the Metal Ingots. | 
dsi_part1_manufactureframes3 | Once they're installed, set the Fabricator to manufacture Frames, then set the Assembly Table to specialise them into finished Stargate Frames.  It's simple stuff, but eventually we will need a huge throughput. | 
dsi_part1_manufactureframes4 | They want us to provide an initial batch of 10 Stargate Frames, for certification.  They'll inspect our work and we'll be approved as official partners in the Andromeda Project. | 
dsi_part1_manufactureframes5 | It shouldn't take too long.  If you run out of metal, remember you can recycle more of the ruined equipment around the facility. | 
dsi_part1_objective_accept | Accept Alexander's proposal | 
dsi_part1_objective_addcrew | Add Crew to the station | 
dsi_part1_objective_callx | Call Alexander about the production facility | 
dsi_part1_objective_dismantleequipment | Dismantle ruined equipment | 
dsi_part1_objective_installairduct | Install Airduct | 
dsi_part1_objective_installassemblytab | Install Assembly Table | 
dsi_part1_objective_installfabricator | Install Fabricator | 
dsi_part1_objective_installreactor | Install Reactor | 
dsi_part1_objective_installsmelter | Install Smelter | 
dsi_part1_objective_manufactureframes | Manufacture Stargate Frames [*X/10] | 
dsi_part1_objective_pressurisefacility | Pressurise Facility [*X%] | 
dsi_part1_objective_produceframes | Produce 200 Stargate Frames [*X/200] | 
dsi_part1_objective_scaleupproduction | Scale up production | 
dsi_part1_objective_sellframes | Sell Stargate Frames [*X/200] | 
dsi_part1_objective_setassemblytab | Set Assembly Table to Stargate Frames | 
dsi_part1_objective_setfabricator | Set Fabricator to Frames | 
dsi_part1_objective_setsmelter | Set Smelter to Scrap Metal | 
dsi_part1_objective_smeltmetallicminerals | Start smelting Metallic Minerals [*X/200] | 
dsi_part1_objective_storeingots | Store Metal Ingots near Smelter [*X/10] | 
dsi_part1_objective_storescrap | Store scrap metal near Smelter [*X/10] | 
dsi_part1_openstargatescreen | Excellent.  Let's have a look at the Manifest that he mentioned, and see what is required next. | 
dsi_part1_payx1 | I knew this would be a very profitable endeavour for us.  The Andromeda Project are so desperately in need of reliable manufacturing facilities that they're paying a fortune. | 
dsi_part1_payx2 | Now, the sales revenue is going to flow through you.  But remember our agreement.  50/50.  I've put a lot of capital in to get us to this point, and I need to start seeing a return. | 
dsi_part1_payx3 | Every time you sell a batch of parts to the Andromeda Project, you'll owe me half the revenue.  I'd appreciate it if you'd pay promptly. | 
dsi_part1_phase2_xcall1 | It looks like it's just a bulk order of the part we already provided.  We need to make 200 more Stargate Frames.  We're already manufacturing them, but we'll need to scale up production or else this will take forever. | 
dsi_part1_phase2_xcall2 | I'm releasing some of the seed money to you.  $600,000 should be enough for you to buy all the equipment we need to scale up.  Remember this isn't a gift.  I still own this station, and all the equipment onboard. | 
dsi_part1_phase2_xcall3 | I suggest you buy more Smelters, more Fabricators, and more Assembly Tables.  A couple of each at least.  All that equipment will draw more juice, so you'll need to expand the power network with more Reactors and Batteries to cope.  And you'll need more crew to do the work. | 
dsi_part1_phase2_xcall4 | If you run out of Metal Ingots, you should be able to buy raw materials from the open Marketplace.  You can usually buy more Scrap Metal, but you'll also find Metallic Minerals for sale which can also be smelted into Metal Ingots. | 
dsi_part1_setupcall1 | Wonderful news. I'm very happy you've agreed to partner with me on this. My factory space station is in position nearby, ready for us to use as our base of operations. | 
dsi_part1_setupcall2 | This is the A.J.E Foundry.  A wonderful industrial facility, perfect for our needs.  I'll just need to provide you with some access codes so you can assume control of the facility. | 
dsi_part1_setupcall3 | Look at that.  For years I manufactured engines and FTL drives right here, for every fleet that passed through the sector.  It's really fallen into disrepair. | 
