equipment_blocked | BLOCKED | 
equipment_factory_make | Make *X | 
equipment_factory_refine | Refine *X | 
equipment_factory_stop | STOP | 
equipment_factory_stopped | STOPPED | 
equipment_output | OUTPUT | 
equipment_power | POWER | 
equipment_robotarm_forcedrop | FORCE DROP | 
equipment_robotarm_nopickup | SELECT TYPE | 
equipment_robotarm_pickupnone | NONE | 
equipment_storagecrate_capacity | CAPACITY | 
equipment_storagecrate_dumping | DUMPING | 
equipment_storagecrate_permitcrewload | CREW LOADING | 
equipment_storagecrate_permitcrewunload | CREW UNLOADING | 
equipment_storagecrate_quantity | STORED: *X/*Y | 
equipment_storagecrate_refill_disable | PRIORITISE CRATE | 
equipment_storagecrate_refill_enable | PRIORITISE ZONES | 
equipment_temperature_short | TEMP | 
equipment_weaponsconsole_connected | Controlled by Weapons Console | 
equipment_weaponsconsole_deselect | NONE | 
equipment_weaponsconsole_extradescription | *X Connected weapons | 
equipment_weaponsconsole_locked | SLOT *X LOCKED | 
equipment_weaponsconsole_noselection | SELECT WEAPON | 
