keybinding_alttool | Alt Editor Tool | 
keybinding_decreasethrust | Engines - | 
keybinding_gamespeed0 | Half Speed | 
keybinding_gamespeed1 | Normal Speed | 
keybinding_gamespeed2 | 2x Speed | 
keybinding_gamespeed3 | 3x Speed | 
keybinding_gamespeed4 | 4x Speed | 
keybinding_gamespeed5 | 5x Speed | 
keybinding_gamespeed6 | 6x Speed | 
keybinding_gamespeed7 | 7x Speed | 
keybinding_gamespeed8 | 8x Speed | 
keybinding_gamespeed9 | 9x Speed | 
keybinding_hudscaledown | Decrease HUD Scale | 
keybinding_hudscaleup | Increase HUD Scale | 
keybinding_increasethrust | Engines + | 
keybinding_ManoeuvreClockwise | Thrust Clockwise | 
keybinding_ManoeuvreCounterClockwise | Thrust C-Clockwise | 
keybinding_ManoeuvreDown | Thrust Down | 
keybinding_ManoeuvreLeft | Thrust Left | 
keybinding_ManoeuvreRight | Thrust Right | 
keybinding_ManoeuvreUp | Thrust Up | 
keybinding_pandown1 | Pan Down (1) | 
keybinding_pandown2 | Pan Down (2) | 
keybinding_panleft1 | Pan Left (1) | 
keybinding_panleft2 | Pan Left (2) | 
keybinding_panright1 | Pan Right (1) | 
keybinding_panright2 | Pan Right (2) | 
keybinding_panup1 | Pan Up (1) | 
keybinding_panup2 | Pan Up (2) | 
keybinding_press_a_key | PRESS A KEY | 
keybinding_recentrehome | Recentre Ship | 
keybinding_revert | RESET | 
keybinding_rotateobject | Rotate Object | 
keybinding_takescreenshot | Screenshot (+ {MetaCtrl}) | 
keybinding_title_action | Action | 
keybinding_title_key | Key | 
keybinding_togglemap | Toggle Map | 
keybinding_togglepause | Pause | 
keybinding_toggletactical | Toggle Tactical | 
keybinding_translatorwindow | Translator Window | 
keybinding_zoomin | Zoom In | 
keybinding_zoomout | Zoom Out | 
