mission_accept | Accept | 
mission_accepted | Accepted | 
mission_acceptonlayer | Accept and assign to *X | 
mission_arenaprep_summary | Prepare your ship and crew for the upcoming battle!\nUnpausing the game will begin combat. | 
mission_arenaprep_title | Prepare for battle! | 
mission_arenaprep_useeditor | OPTIONAL: Use the ship editor to prepare | 
mission_assignedto | (Assigned to *X) | 
mission_assignedtolayer | Accepted and assigned to L*X | 
mission_bypassed | BYPASSED | 
mission_cannotaccept | You cannot accept this mission | 
mission_cannotassigntolayer | Cannot assign to *X | 
mission_collected | COLLECTED | 
mission_combat_accept | We have marked the location of the hostile forces on your map. Good hunting. | 
mission_combat_alldestroyed | All hostile forces have been destroyed. Total payment $*X. | 
mission_combat_attacknow | You have located the hostile forces! Destroy them immediately. | 
mission_combat_description1 | There is a small fleet of hostile ships operating illegally at a nearby star system in this sector. | 
mission_combat_description2 | They have been harassing trade and humanitarian ships for too long. | 
mission_combat_description3 | Travel to the system, engage them in combat and destroy them. | 
mission_combat_destroyed | You have destroyed *X hostiles out of *Y | 
mission_combat_failure | The remaining hostile forces have escaped. | 
mission_combat_location | The hostile ships are located at system S*X. | 
mission_combat_mines_description1 | Pirate forces have created a dangerous minefield in a busy shipping lane. | 
mission_combat_mines_description2 | Their aim appears to be to cripple any trade ships that come too close, then rob the stranded ships of valuable cargo. | 
mission_combat_mines_description3 | Travel to the system and destroy the minefield, before the pirate forces show up. | 
mission_combat_mines_requirement | You will need a weapon system to destroy the mines from a distance. | 
mission_combat_objective | Locate and engage hostile forces | 
mission_combat_piratecount | Reports suggest there are *X ships in the hostile fleet, hiding out in star system *Y. | 
mission_combat_requirements | You will require an armed combat vessel to accept this mission. | 
mission_combat_success | Destroyed *X/*Y Hostiles | 
mission_combat_title_armouredthugs | Eradicate armoured thugs | 
mission_combat_title_communityships | Attack and destroy hostile pirate gang | 
mission_combat_title_mercenarystation | Destroy hostile mercenary weapons platform | 
mission_combat_title_mines | Clear dangerous minefield | 
mission_combat_title_pirategang | Neutralise pirate gang | 
mission_combat_title_roguefighters | Attack and destroy rogue fighters | 
mission_completed | COMPLETED | 
mission_contractcompleted | Contract Completed | 
mission_courseplotted | COURSE PLOTTED | 
mission_deliver | Deliver | 
mission_delivered | DELIVERED | 
mission_delivery_alldelivered | All cargo has been supplied. Good luck. | 
mission_delivery_delivery | Supplied *X out of *Y items. | 
mission_delivery_description | I've got *X boxes of supplies that need delivering. | 
mission_delivery_descriptionfurther | The destination is *Y Sector Jumps away, in Sector *X. | 
mission_delivery_destination | The destination is in this Sector, at Star System S*X. | 
mission_delivery_location | Travel to the delivery system | 
mission_delivery_lost | The remaining *X items of cargo are unaccounted for. | 
mission_delivery_outoftime | It is too late - you will no longer be paid for the remaining cargo. | 
mission_delivery_received | Received *X out of *Y items. Total payment due $*Z. | 
mission_delivery_shuttle | A shuttle is on route to you now with the supplies. | 
mission_delivery_success | Delivered *X out of *Y items | 
mission_delivery_timed | These goods are required immediately. You'll have just *X minutes. (+50% pay) | 
mission_delivery_timeremaining | You have just *X seconds remaining to make the delivery! | 
mission_delivery_title | Courier mission: Deliver cargo to nearby system | 
mission_delivery_titlefurther | Deliver cargo to another sector | 
mission_delivery_toolate | Received *X out of *Y items, but the time limit has now expired. | 
mission_delivery_turnin | A shuttle is on its way to collect the cargo. | 
mission_delivery_wrongdestination | Some of the cargo has been delivered to the wrong location. You will not be paid. | 
mission_difficulty | This mission has been assigned a difficulty rating of *X. | 
mission_difficulty_short | DIFFICULTY *X | 
mission_episode_1 | EPISODE 1 | 
mission_failed | FAILED | 
mission_flightready_description1 | All ships must pass basic flight ready certification before being allowed on operations. | 
mission_flightready_description2 | A ship requires each of the following capabilities in order to be certified 'Flight Ready': | 
mission_flightready_engines | Engines capable of propulsion | 
mission_flightready_engines_help | Engines for propulsion.  Test fire your engines (From the TACTICAL view) to certify them. | 
mission_flightready_ftl | An FTL Drive capable of Hyperspace jumps | 
mission_flightready_ftljump | Jump to the marked destination | 
mission_flightready_ftljump_help | An FTL Drive.  Test your new FTL engine by making a jump to the destination marked on the map. | 
mission_flightready_lifesupport | Life support to make the interior habitable [*X%] | 
mission_flightready_lifesupport_help | Life support to make the cabin breathable.  Use an Airduct to pressurise the cabin, connected to an Oxygen Loader to supply the air. | 
mission_flightready_movement | Test the engines from the TACTICAL screen | 
mission_flightready_name | Flight Ready | 
mission_flightready_power | A Reactor, generating power. | 
mission_flightready_power_help | A reactor to generate power. Use a Fuel Loader to pipe fuel into the Reactor. | 
mission_flightready_title | Make your new ship ready for flight | 
mission_fortress_accept | We have marked the location of the fortress on your map. Good luck, Captain. | 
mission_fortress_description1 | Hostiles have set up a fortress within the sector. It appears to be where they are fabricating their ships. | 
mission_fortress_description2 | The fortress is giving them significant power across the sector and must be dealt with. | 
mission_fortress_description3 | Travel to the fortress, destroy it, and eliminate any remaining hostiles | 
mission_fortress_destroyfortress | Destroy the fortress | 
mission_fortress_destroyhostiles | Eliminate any remaining hostiles | 
mission_fortress_objective | Travel to the fortress | 
mission_fortress_success | The fortress assault was successful. | 
