newmainmenu_abandon | ABANDON GAME | 
newmainmenu_aiselection_auto | AI Controlled - Auto-select | 
newmainmenu_aiselection_none | Player Controlled | 
newmainmenu_arena | ARENA MODE | 
newmainmenu_arena_collapsestats | HIDE INFO | 
newmainmenu_arena_combatratings | COMBAT RATINGS | 
newmainmenu_arena_expandstats | SHOW INFO | 
newmainmenu_arena_generateenemyfleet | GENERATE | 
newmainmenu_arena_greenteamtitle | GREEN TEAM | 
newmainmenu_arena_redteamtitle | RED TEAM | 
newmainmenu_arena_selectship | SELECT A SHIP | 
newmainmenu_arena_shipquantity | Quantity | 
newmainmenu_arena_tradevalues | SHIP VALUES | 
newmainmenu_autosavewarning | Auto-save load warning | 
newmainmenu_battle | BATTLE | 
newmainmenu_begingame | BEGIN GAME | 
newmainmenu_cancel | CANCEL | 
newmainmenu_chooseship | CHOOSE STARTING SHIP | 
newmainmenu_cloudquotaremaining | Used: *X / *Y (*Z% remaining) | 
newmainmenu_confirm | CONFIRM | 
newmainmenu_createnewexport | CREATE NEW EXPORT | 
newmainmenu_createnewsave | CREATE NEW SAVE | 
newmainmenu_createnewupload | CREATE NEW WORKSHOP ITEM | 
newmainmenu_createship | CREATE NEW SHIP | 
newmainmenu_darkmode | Galaxy Map Dark Mode | 
newmainmenu_debug_freespace | Enable FreeSpace Debugging | 
newmainmenu_defensiveenemies | Defensive Enemies | 
newmainmenu_defensiveenemiestooltip | Hostile ships will only target you once you have targeted them first. | 
newmainmenu_deletegame | DELETE GAME | 
newmainmenu_deleteship | DELETE SHIP | 
newmainmenu_editship | EDIT SHIP | 
newmainmenu_exitsaves | Auto-save on exit | 
newmainmenu_exportship | EXPORT SHIP | 
newmainmenu_filter | SEARCH... | 
newmainmenu_importfriendly | IMPORT FRIENDLY | 
newmainmenu_importhostile | IMPORT HOSTILE | 
newmainmenu_includedocked | INCLUDE DOCKED SHIPS IN EXPORT | 
newmainmenu_loadgame | LOAD GAME | 
newmainmenu_loadgamedev | LOAD GAME (DEV) | 
newmainmenu_loadship | LOAD SHIP | 
newmainmenu_locked | (LOCKED) | 
newmainmenu_lockedindemo | LOCKED IN DEMO | 
newmainmenu_mainmenu | MAIN MENU | 
newmainmenu_multisectorsim | Multi-System Simulation | 
newmainmenu_multisectorsimtooltip | Enables multi-system simulation, allowing you to split up your fleet among multiple systems/sectors simultaneously. | 
newmainmenu_multisystem_simulation | Enable Multi-system Simulation | 
newmainmenu_newgame | NEW GAME | 
newmainmenu_newgameoptions | Game Options | 
newmainmenu_parallax | Parallax effect | 
newmainmenu_quit | QUIT | 
newmainmenu_quitmessage | We hope you enjoyed playing the demo of The Last Starship. Your journey has just begun!  Unlock the full game to explore more Story Episodes, Survival Mode, Arena Mode, a full Ship Editor and more! | 
newmainmenu_resume | RESUME | 
newmainmenu_returntomainmenu | RETURN TO MAIN MENU | 
newmainmenu_savegame | SAVE GAME | 
newmainmenu_savetosteamcloud | SAVE TO STEAM CLOUD | 
newmainmenu_setshipname | SET SHIP NAME | 
newmainmenu_settings | SETTINGS | 
newmainmenu_shipeditor | CREATIVE MODE | 
newmainmenu_showautosaves | AUTOSAVES | 
newmainmenu_slowcombat | Slow during combat | 
newmainmenu_steamcloud | STEAM CLOUD | 
newmainmenu_steamworkshop | STEAM WORKSHOP | 
newmainmenu_tooltip_changeship | [LMB] Change ship | 
newmainmenu_tooltip_removeship | [RMB] Remove ship | 
newmainmenu_updateexistingupload | UPDATE EXISTING WORKSHOP ITEM | 
newmainmenu_uploadprogress | UPLOAD PROGRESS: *P % | 
newmainmenu_uploadship | UPLOAD TO STEAM | 
