object_airduct | Airduct | 
object_airduct_description | Pumps oxygen into the surrounding cabin until a breathable atmosphere is achieved. Must be supplied with Oxygen through a pipe. | 
object_airreprocessor | Air Reprocessor | 
object_airreprocessor_description | Converts CO2 into breathable Oxygen. | 
object_assembler | Assembly Table | 
object_asteroid | Asteroid | 
object_battery | Battery | 
object_battery_description | Stores any excess power available in the powergrid, up to 1000Mw. The battery will supply power whenever there is a shortage. | 
object_box | Box | 
object_brokenhopdrive | Broken Hop Drive | 
object_brokenhopdrive_description | Broken hop drive, capable of hopping within systems | 
object_bullets | Bullets | 
object_bullets_description | A box of ammo for a Gatling Gun (PDC). | 
object_cannon | Cannon | 
object_cannon_description | A medium range weapon system that launches a barrage of explosive shells at the target. Cannon shells are excellent at dealing area-of-effect damage to an enemy ship, and will shred hull armour. | 
object_cannonshell | Cannon Shells | 
object_carbondioxide | CO2 | 
object_cargo | Cargo | 
object_chair | Chair | 
object_chargedcrystal | Charged Crystal | 
object_chemicallab | Chemical Lab | 
object_chemicallab_description | A complex piece of scientific equipment.  Can combine multiple different chemical inputs (liquids, gases and solids) into different outputs. The user can cycle the active 'recipe' by clicking on it. | 
object_civilian | Civilian | 
object_coilcomponent | Energy Coil | 
object_comet | Comet | 
object_compost | Compost | 
object_copperingot | Copper Ingot | 
object_copperminerals | Copper Minerals | 
object_crewmember | Crew | 
object_crystalinfuser_description | Laser infuser, infuses objects with energy. No tiddlets were harmed in the making of this equipment. | 
object_data | Data | 
object_deflector | Deflector | 
object_deflector_description | A defensive system that uses a deflector beam to divert incoming rocket shells | 
object_deuterium | Deuterium | 
object_deuterium_description | Fuel for a Fusion Reactor. | 
object_dockingport | Docking Port | 
object_dockingport_description | Provides an access point to the ship so that shuttle craft can dock and undock. | 
object_door | Door | 
object_door_description | A heavy pressure door that can be used to seal off areas in the event of a hull breach or fire. | 
object_dronebay | Drone Bay | 
object_dronebay_description | This equipment is required to launch Logistics Drones from your ship. Drones can gather resources and salvage from space, then bring it back to the ship through the Drone Bay. One Drone Bay can launch multiple Drones. | 
object_emptycomputegridcomponent | Empty Compute Grid | 
object_emptycrystalcomponent | Empty Crystal | 
object_energycell | Energy Cell | 
object_energycellframecomponent | Energy Cell Frame | 
object_energytransmitter | Energy Transmitter | 
object_energytransmitter_description | A large piece of equipment, capable of transmitting up to 200MW to the Stargate. | 
object_engine | Engine | 
object_engine_description | The ship's main source of forward thrust.  Must be supplied with Fuel (via a pipe) and Power (via a cable). | 
object_entity | Entity | 
object_equipment | Equipment | 
object_explosives | Explosives | 
object_fabricator | Fabricator | 
object_fighter | Fighter | 
object_FlightRecorder | Flight Recorder | 
object_food | Food | 
object_framecomponent | Frame | 
object_ftlcharge | FTL Charge | 
object_ftldrive | FTL Drive | 
object_fuel | Fuel | 
object_fuelloader | Fuel Loader | 
object_fuelloader_description | Takes a canister of Fuel, and pumps it into an underfloor pipe. Use pipes to connect this to your Reactor and your Engines. | 
object_fusionreactor | Fusion Reactor | 
object_fusionreactor_description | Uses nuclear fusion of Deuterium to generate large amounts of energy. However the fusion reactor must be 'powered up' with a huge amount of energy before it will generate any power itself.\n\nGenerates a maximum power output of 500MW. | 
object_gascollector | Gas Collector | 
object_gascollector_description | A large exterior vent that sucks in gases from space. Many gases found in nebulas can be used to produce useful resources like Fuel, FTL charges, and explosives. | 
object_gatlinggun | Gatling Gun | 
object_gatlinggun_description | A close range rapid-fire weapon system, primarily designed for defense against incoming fighters and ordnance.  The gatling gun excels at destroying fast-moving targets at close range, but lacks the punch to penetrate armoured targets. | 
object_generator | Generator | 
object_hullbreach | Hull Breach | 
object_hydroponics | Hydroponic Garden | 
object_hydroponics_description | An enclosed greenhouse device that can be used to grow crops, in order to feed your crew.  Requires compost and water, and Seeds to get things started. | 
object_hyperspacecollector | Hyperspace Scoop | 
object_hyperspacecollector_description | The Hyperspace Scoop sits at the front of a starship and faces the direction of travel. During hyperspace a strong magnetic field is projected forward, drawing in large volumes of interstellar matter. The isotopes gathered this way can be refined into FTL Fuel. | 
object_hyperspaceisotopes | Hyperspace Isotopes | 
object_hyperspacesensor | Hyperspace Sensor | 
object_hyperspacesensorlr | Hyperspace Sensor LR | 
object_hyperspacesensorlr_description | A Long Range and extremely sensitive prototype version of the standard hyperspace sensor. | 
object_ice | Water Ice | 
object_icegrinder | Ice Grinder | 
object_icegrinder_description | Grinds giant lumps of ice into small pieces, then warms the ice until it melts into liquid. The resulting water must be filtered before it is safe to drink. | 
object_laserinfuser | Laser Infuser | 
object_lenscomponent | Lens | 
object_lightningrod | Lightning Rod | 
object_lightningrod_description | These are installed in the exterior wall of your ship, reducing the damaging effects of lightning and providing more control over where the lightning strikes. They cannot be repaired, but they will queue the installation of their replacement, when destroyed by lightning. | 
object_loader | Loader | 
object_loader_description | This is a general purpose version of the Fuel Loader and Oxygen Loader, and can take any liquid or gas canister.  Known to heavily confuse new captains.  Use pipes to connect the Loader to other equipment. | 
object_logisticsdrone | Logistics Drone | 
object_logisticsdrone_description | An incredibly useful semi-intelligent robot, capable of gathering salvage from deep space. Can also perform minor repairs to a damaged hull. Must be launched from a Drone Bay. | 
object_metalingot | Metal Ingot | 
object_metallicminerals | Metallic Minerals | 
object_meteor | Meteor | 
object_metreongas | Metreon Gas | 
object_mineralpatch | Mineral Patch | 
object_mininglaser | Mining Laser | 
