tiddlets_character_artemis | Prof. Artemis Toppingbury | 
tiddlets_character_swanson | Dr. Magnus Swanson | 
tiddlets_character_tiddlet | ??? | 
tiddlets_objective_deadcount | *X Dead tiddlets on board | 
tiddlets_objective_delivertiddlets | Deliver the Tiddlets to the Institute for Interstellar Lifeforms | 
tiddlets_objective_drone | Purchase at least one Logistics Drone | 
tiddlets_objective_dronebay | Install at least one Drone Bay | 
tiddlets_objective_investigate | Investigate asteroid S*X | 
tiddlets_objective_recovertiddlets | Recover the Tiddlets [*X/*Y] | 
tiddlets_objective_tiddletscount | *X Tiddlets on board | 
tiddlets_part1_accept | ACCEPT | 
tiddlets_part1_death1 | No! Nooooo! Captain what happened? What did you do?? | 
tiddlets_part1_death2 | ... | 
tiddlets_part1_death3 | It looks like they died of shock during the hyperspace jump.  Oh goodness, this is such horrible news.  Did any of them survive? | 
tiddlets_part1_death4 | We'll have to be so careful from now on, Captain. I suggest a maximum hyperspace jump range of *X light years while you have these creatures on board. We can't let any more of them perish this way. | 
tiddlets_part1_deliver | DELIVER TIDDLETS | 
tiddlets_part1_delivered1 | This is the greatest day of my life! | 
tiddlets_part1_delivered2 | To be the first to discover and study an entirely new life form. One native to deep space! Think of all we can learn from these little creatures! | 
tiddlets_part1_delivered3 | I mean, you'll get some credit for finding them, of course. But I've waited my whole life for a moment like this. | 
tiddlets_part1_delivered4 | Incredible work, Captain. I can't believe how much we've seen, in such a short period of time. | 
tiddlets_part1_delivered5 | I've been analysing the onboard sensor data while you've been travelling around.  They don't exhibit any sort of physical mating behaviour, but there is a detectable energy exchange going on, and always between groups of three. | 
tiddlets_part1_delivered6 | They must be reproducing through some form of telepathy, and only in triplets, and only in hyperspace!  No wonder they're such a rare creature. | 
tiddlets_part1_delivered7 | These findings will make an incredible research paper, Captain.  I'll be sure to credit you as the pilot who found the first living specimens.  I would offer to name the creatures after you, but they already have a name, so apologies for not being able to honour that tradition. | 
tiddlets_part1_delivered8 | You'll be getting a call from Dr Swanson very soon.  He funds my lab and all of my research.  I've talked him into directing some of our research grant to you, as a fair reward. | 
tiddlets_part1_foundtiddlets1 | My gods. You've found them. | 
tiddlets_part1_foundtiddlets2 | Oh god. They're still alive?? | 
tiddlets_part1_foundtiddlets3 | Oh jesus. There's two of them! | 
tiddlets_part1_foundtiddlets4 | Captain, you've made an incredible discovery. We have seen these interstellar lifeforms before, on large asteroids deep in uncharted space. But never alive. And you've found a pair! | 
tiddlets_part1_foundtiddlets5 | We call them the Tiddlets. | 
tiddlets_part1_intro1 | What is a ship like yours doing all the way out here? | 
tiddlets_part1_intro2 | Maybe you can help?  I'm looking for creatures that usually live on small isolated asteroids, like the one in this system. | 
tiddlets_part1_intro3 | If you find anything make sure to tell me. | 
tiddlets_part1_reproduction1 | Oh god, the tiddlets!!! | 
tiddlets_part1_reproduction2 | Oh my goodness, I hope they're ok! What's happening?? | 
tiddlets_part1_reproduction3 | Are you kidding me! They've... They've reproduced! We've just witnessed an interstellar life form, spontaneously reproducing! | 
tiddlets_part1_reproduction4 | Oh this is just such incredible news. But what was the condition? Maybe these ones were already fertile and pregnant? Did you see any mating behaviours? I need to do more analysis. | 
tiddlets_part1_reproduction5 | Keep looking Captain. Bring them all back to us when you're done. | 
tiddlets_part1_sendingshuttle | You managed to bring them back? Amazing! I'll be here in a second. | 
tiddlets_part1_setup1 | I should introduce myself. My name is Artemis Toppingbury, and I'm a professor at the Institute of Interstellar Lifeforms.  We've been trying to find a live Tiddlet for years now. | 
tiddlets_part1_setup2 | This is a massive breakthrough. Bring the Tiddlets on board, carefully, using a Logistics Drone. Once you have them, meet me at the Institute for Interstellar Lifeforms.  We're at Starbase S*X. | 
tiddlets_part1_setup3 | Now we know where to look, we may be able to find more of them in deep space. | 
tiddlets_part1_setup4 | The asteroid where you found them has a large iron and aluminium core, with some unusual crystalline structures on the outside. | 
tiddlets_part1_setup5 | There are similar asteroids within this sector that have been recorded and scanned.  Nobody would bother trying to mine such worthless rocks. They might not have looked too closely. | 
tiddlets_part1_setup6 | I think it's worth searching there for more of these creatures. | 
tiddlets_part1_swanson1 | Captain. On behalf of the Institute for Interstellar Life, thank you. A monumental discovery. | 
tiddlets_part1_swanson2 | Now let's talk real. Scientists like Artemis like to take all the credit, and bask in the glory of their peers. If your name does show up in their research paper, you can bet it will be on the very last page, in the smallest font available. | 
tiddlets_part1_swanson3 | And despite funding his work for years now, my name will be even lower. It's fine really. We have different aims.  He can have the glory. I'm interested in the breakthroughs. The science that comes from these discoveries. The potential. | 
tiddlets_part1_swanson4 | Anyway, thank you for your work, Captain. Here's a reward for your efforts. | 
tiddlets_part1_tiddletdelivery | Deliver Tiddlets | 
tiddlets_part1_title | The Trouble with Tiddlets | 
tiddlets_part2_advert | Captain. We're hoping to run some more experiments on the new life form I discovered. The Toppingbury Tiddlet. If you could visit my institute, I have a contract that may be of interest to you. | 
tiddlets_part2_debrief1 | We've made another interesting discovery!  Our sensors were correct, and it appears some type of tiny crystal has been formed at the core of several of the dead creatures.  Almost like a small diamond. | 
tiddlets_part2_debrief2 | It must have formed in the final moments of their life. All that telepathic energy, focussed into a lethal feedback loop!  Our lab tells us the crystals aren't like anything they've ever seen before.  Let's get the remaining samples in for analysis. | 
tiddlets_part2_debrief3 | Thank you, Captain! | 
tiddlets_part2_finalexperiment1 | *X Tiddlets now on board!  Fascinating, Captain.  It appears the Tiddlet reproductive process occurs even at incredibly short hyperspace distances.\nHow do they find the time? | 
tiddlets_part2_finalexperiment2 | I'll hand you over to my colleague for the final experiment. | 
tiddlets_part2_finalexperiment3 | Captain, the Professor has asked me to oversee this phase of the experiment. | 
tiddlets_part2_finalexperiment4 | I need you to make a long range jump. Beyond the safe tiddlet distance.  We need to know what happens to them under the effects of Hyperspace Shock, and this will also help us to calculate that safe distance more accurately. | 
tiddlets_part2_finalexperiment5 | Get into position and make the long range jump. | 
tiddlets_part2_long | LONG HOP DISTANCE | 
tiddlets_part2_medium | MEDIUM HOP DISTANCE | 
tiddlets_part2_mediumjumps1 | Let's start simple. A couple of medium range hops should do the trick. | 
tiddlets_part2_mediumjumps2 | Excellent. The sensor is working nicely and we are receiving science packets. Let's do one more medium range hop to gather some more data. | 
tiddlets_part2_objective_ftlcharges | Have at least *X FTL fuel | 
tiddlets_part2_objective_installsensors | Install Sensor Stations [*X/*Y] | 
tiddlets_part2_objective_longjump | Make a jump longer than the Tiddlet safe distance | 
tiddlets_part2_objective_mediumjumps | Perform medium range hops [*X/*Y] | 
tiddlets_part2_objective_receivesensors | Receive [*X/*Y] Telepathic Sensor Stations | 
tiddlets_part2_objective_receivetiddlets | Receive [*X/*Y] Tiddlets | 
tiddlets_part2_objective_return1 | Return the Tiddlets to the Institute | 
tiddlets_part2_objective_return2 | Return the bodies to the Institute | 
tiddlets_part2_objective_shortjump | Perform a short range hop | 
tiddlets_part2_objective_visitinstitute | Travel to the Institute for Interstellar Lifeforms | 
