tutorial_air_title | OXYGEN | 
tutorial_aircables | The <b>AIRDUCT</b> needs to be powered from the <b>REACTOR</b>.  Select <b>CABLES</b> from the <b>CONSTRUCTION</b> menu. | 
tutorial_aircabletoreactor | Drag a power cable from the <b>REACTOR</b> to the <b>AIRDUCT</b>, connecting the red circles.\n\nPOWER <b>CABLES</b> are used to connect reactors to any equipment that needs power.\n\nPOWER <b>CABLES</b> are red and must connect red circles on equipment. | 
tutorial_airdone | The <b>AIRDUCT</b> is activated and is pressurising the cabin! The atmosphere will soon be breathable. | 
tutorial_airinstallairduct | We now need to provide a breathable atmosphere for our crew. This is done with an <b>AIRDUCT</b>.\n\nInstall an <b>AIRDUCT</b> somewhere near the Reactor. | 
tutorial_airinstallairloader | The <b>AIRDUCT</b> needs <b>OXYGEN</b>, in the same way as the <b>REACTOR</b> needs <b>FUEL</b>. We can use an <b>OXYGEN LOADER</b> to provide <b>OXYGEN</b>.\n\nInstall an <b>OXYGEN LOADER</b> near the <b>AIRDUCT</b>. | 
tutorial_airpipes | We need to connect the <b>OXYGEN LOADER</b> into the <b>AIRDUCT</b> using <b>PIPES</b>.\n\nSelect <b>PIPES</b> from the <b>CONSTRUCTION</b> menu. | 
tutorial_airpipetoairduct | Drag a <b>PIPE</b> from the <b>OXYGEN LOADER</b> to the <b>AIRDUCT</b>, connecting the <b>BLUE</b> circles. | 
tutorial_battlestations_title | BATTLE STATIONS | 
tutorial_battlestationsactivate | <b>BATTLE STATIONS</b> must be activated before your weapons can be used.\n\nThis will tell your crew to prepare for battle! | 
tutorial_battlestationshighlightcrew | Your crew will run to the weapons to deploy them.\n\nGatling guns don't require any crew to deploy them. | 
tutorial_battlestationshighlightguns | The gun barrels will begin to extend when they arrive.\n\nWhen the barrels are fully extended they will be ready to fire! | 
tutorial_battlestationsstart | We are now going to learn how to deploy our weapons for combat.\n\nThe game has been paused for now. | 
tutorial_battlestationssuccess | Well done, your weapons are now successfully deployed for battle! | 
tutorial_buy_shiftclick | <b>NOTE</b>: You can <b>SHIFT CLICK</b> to buy in multiples of 5. | 
tutorial_buyship_title | PURCHASING SHIPS | 
tutorial_buyshipbuy | Click on the <b>BUY</b> button to purchase the <b>JMC MINING STATION</b>. | 
tutorial_buyshipinspect | Click on the <b>JMC MINING STATION</b>, an old unused industrial station for sale. | 
